Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2022-08-12,Parma,Bari,2,2,D,1
2022-08-13,Palermo,Perugia,2,0,H,0
2022-08-13,Cittadella,Pisa,4,3,H,0
2022-08-13,Como,Cagliari,1,1,D,1
2022-08-14,Spal,Reggiana,1,3,A,0
2022-08-14,Ascoli,Ternana,2,1,H,0
2022-08-14,Benevento,Cesena,0,1,A,0
2022-08-14,Brescia,Sudtirol,2,0,H,0
2022-08-14,Venezia,Genoa,1,2,A,0
2022-08-14,Monza,Frosinone,0,1,A,0
2022-08-19,Bari,Palermo,1,1,D,1
2022-08-20,Ascoli,Spal,1,1,D,1
2022-08-20,Genoa,Benevento,0,0,D,1
2022-08-20,Perugia,Parma,0,0,D,1
2022-08-21,Pisa,Como,2,2,D,1
2022-08-21,Sudtirol,Venezia,1,2,A,0
2022-08-21,Ternana,Reggiana,1,0,H,0
2022-08-21,Cagliari,Cittadella,2,1,H,0
2022-08-21,Cesena,Monza,2,1,H,0
2022-08-21,Frosinone,Brescia,3,0,H,0
2022-08-27,Spal,Cagliari,1,0,H,0
2022-08-27,Palermo,Ascoli,2,3,A,0
2022-08-27,Monza,Ternana,4,1,H,0
2022-08-28,Reggiana,Sudtirol,4,0,H,0
2022-08-28,Benevento,Frosinone,2,1,H,0
2022-08-28,Cittadella,Venezia,1,1,D,1
2022-08-28,Parma,Cesena,1,0,H,0
2022-08-28,Perugia,Bari,1,3,A,0
2022-08-28,Pisa,Genoa,0,1,A,0
2022-08-29,Como,Brescia,0,1,A,0
2022-09-02,Cagliari,Monza,1,0,H,0
2022-09-03,Frosinone,Como,2,0,H,0
2022-09-03,Reggiana,Palermo,3,0,H,0
2022-09-03,Ternana,Cesena,1,1,D,1
2022-09-03,Venezia,Benevento,0,2,A,0
2022-09-03,Genoa,Parma,3,3,D,1
2022-09-03,Bari,Spal,2,2,D,1
2022-09-03,Brescia,Perugia,2,1,H,0
2022-09-03,Ascoli,Cittadella,0,0,D,1
2022-09-04,Sudtirol,Pisa,2,1,H,0
2022-09-09,Palermo,Genoa,1,0,H,0
2022-09-10,Cesena,Bari,0,1,A,0
2022-09-10,Monza,Brescia,1,3,A,0
2022-09-10,Parma,Ternana,2,3,A,0
2022-09-10,Pisa,Reggiana,0,1,A,0
2022-09-10,Perugia,Ascoli,1,0,H,0
2022-09-10,Benevento,Cagliari,0,2,A,0
2022-09-10,Como,Sudtirol,0,2,A,0
2022-09-10,Cittadella,Frosinone,1,0,H,0
2022-09-11,Spal,Venezia,2,0,H,0
2022-09-16,Brescia,Benevento,1,0,H,0
2022-09-17,Ascoli,Parma,1,3,A,0
2022-09-17,Cagliari,Bari,0,1,A,0
2022-09-17,Como,Spal,3,3,D,1
2022-09-17,Frosinone,Palermo,1,0,H,0
2022-09-17,Reggiana,Cittadella,3,0,H,0
2022-09-17,Sudtirol,Cesena,1,1,D,1
2022-09-17,Venezia,Pisa,1,1,D,1
2022-09-17,Genoa,Monza,1,0,H,0
2022-09-18,Ternana,Perugia,1,0,H,0
2022-09-30,Cesena,Como,3,1,H,0
2022-10-01,Monza,Reggiana,1,0,H,0
2022-10-01,Palermo,Sudtirol,0,1,A,0
2022-10-01,Parma,Frosinone,2,1,H,0
2022-10-01,Spal,Genoa,0,2,A,0
2022-10-01,Perugia,Pisa,1,3,A,0
2022-10-01,Cagliari,Venezia,1,4,A,0
2022-10-01,Cittadella,Ternana,0,2,A,0
2022-10-01,Bari,Brescia,6,2,H,0
2022-10-02,Benevento,Ascoli,1,1,D,1
2022-10-07,Genoa,Cagliari,0,0,D,1
2022-10-08,Ternana,Palermo,3,0,H,0
2022-10-08,Venezia,Bari,1,2,A,0
2022-10-08,Frosinone,Spal,2,0,H,0
2022-10-08,Reggiana,Cesena,3,0,H,0
2022-10-08,Brescia,Cittadella,1,1,D,1
2022-10-08,Pisa,Parma,0,0,D,1
2022-10-08,Ascoli,Monza,1,2,A,0
2022-10-09,Como,Perugia,1,0,H,0
2022-10-09,Sudtirol,Benevento,1,1,D,1
2022-10-14,Venezia,Frosinone,1,3,A,0
2022-10-15,Cesena,Genoa,1,2,A,0
2022-10-15,Monza,Como,5,1,H,0
2022-10-15,Palermo,Pisa,3,3,D,1
2022-10-15,Parma,Reggiana,2,0,H,0
2022-10-15,Bari,Ascoli,0,2,A,0
2022-10-15,Benevento,Ternana,2,3,A,0
2022-10-15,Cagliari,Brescia,2,1,H,0
2022-10-15,Cittadella,Spal,0,0,D,1
2022-10-16,Perugia,Sudtirol,1,2,A,0
2022-10-22,Reggiana,Perugia,2,3,A,0
2022-10-22,Spal,Cesena,5,0,H,0
2022-10-22,Sudtirol,Parma,1,0,H,0
2022-10-22,Frosinone,Bari,1,0,H,0
2022-10-22,Como,Benevento,2,1,H,0
2022-10-22,Brescia,Venezia,1,1,D,1
2022-10-22,Ternana,Genoa,1,2,A,0
2022-10-23,Pisa,Monza,4,2,H,0
2022-10-23,Palermo,Cittadella,0,0,D,1
2022-10-24,Ascoli,Cagliari,2,1,H,0
2022-10-28,Bari,Ternana,0,0,D,1
2022-10-29,Spal,Sudtirol,1,1,D,1
2022-10-29,Parma,Como,1,0,H,0
