Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2019-02-22,Cerezo Osaka,Vissel Kobe,1,0,H,0
2019-02-22,Kawasaki Frontale,FC Tokyo,0,0,D,1
2019-02-22,Sagan Tosu,Nagoya Grampus,0,4,A,0
2019-02-22,Sanfrecce Hiroshima,Shimizu S-Pulse,1,1,D,1
2019-02-22,Vegalta Sendai,Urawa Red Diamonds,0,0,D,1
2019-02-22,Gamba Osaka,Yokohama F. Marinos,2,3,A,0
2019-02-22,Kashima Antlers,Oita Trinita,1,2,A,0
2019-02-22,Shonan Bellmare,Hokkaido Consadole Sapporo,2,0,H,0
2019-02-22,Kawasaki Frontale,Kashima Antlers,1,1,D,1
2019-02-22,Sanfrecce Hiroshima,Júbilo Iwata,0,0,D,1
2019-02-22,Yokohama F. Marinos,Vegalta Sendai,2,1,H,0
2019-02-22,Nagoya Grampus,Cerezo Osaka,2,0,H,0
2019-02-22,Shimizu S-Pulse,Gamba Osaka,2,4,A,0
2019-02-22,Vissel Kobe,Sagan Tosu,1,0,H,0
2019-02-22,Oita Trinita,Matsumoto Yamaga,0,1,A,0
2019-02-22,Shonan Bellmare,FC Tokyo,2,3,A,0
2019-02-22,Urawa Red Diamonds,Hokkaido Consadole Sapporo,0,2,A,0
2019-02-22,Hokkaido Consadole Sapporo,Shimizu S-Pulse,5,2,H,0
2019-02-22,Matsumoto Yamaga,Urawa Red Diamonds,0,1,A,0
2019-02-22,Gamba Osaka,Nagoya Grampus,2,3,A,0
2019-02-22,Júbilo Iwata,Oita Trinita,1,2,A,0
2019-02-22,Cerezo Osaka,Sanfrecce Hiroshima,0,1,A,0
2019-02-22,Kashima Antlers,Shonan Bellmare,1,0,H,0
2019-02-22,FC Tokyo,Sagan Tosu,2,0,H,0
2019-02-22,Vegalta Sendai,Vissel Kobe,1,3,A,0
2019-02-22,Yokohama F. Marinos,Kawasaki Frontale,2,2,D,1
2019-02-22,Sagan Tosu,Júbilo Iwata,1,0,H,0
2019-02-22,FC Tokyo,Nagoya Grampus,1,0,H,0
2019-02-22,Hokkaido Consadole Sapporo,Kashima Antlers,1,3,A,0
2019-02-22,Vissel Kobe,Shimizu S-Pulse,1,1,D,1
2019-02-22,Cerezo Osaka,Urawa Red Diamonds,1,2,A,0
2019-02-22,Kawasaki Frontale,Gamba Osaka,0,1,A,0
2019-02-22,Sanfrecce Hiroshima,Matsumoto Yamaga,1,0,H,0
2019-02-22,Oita Trinita,Yokohama F. Marinos,2,0,H,0
2019-02-22,Shonan Bellmare,Vegalta Sendai,2,1,H,0
2019-02-22,Yokohama F. Marinos,Sagan Tosu,0,0,D,1
2019-02-22,Nagoya Grampus,Hokkaido Consadole Sapporo,4,0,H,0
2019-02-22,Urawa Red Diamonds,FC Tokyo,1,1,D,1
2019-02-22,Vegalta Sendai,Cerezo Osaka,0,2,A,0
2019-02-22,Júbilo Iwata,Kashima Antlers,1,1,D,1
2019-02-22,Gamba Osaka,Vissel Kobe,3,4,A,0
2019-02-22,Oita Trinita,Sanfrecce Hiroshima,0,1,A,0
2019-02-22,Matsumoto Yamaga,Kawasaki Frontale,0,2,A,0
2019-02-22,Shimizu S-Pulse,Shonan Bellmare,1,3,A,0
2019-02-22,Kashima Antlers,Nagoya Grampus,2,1,H,0
2019-02-22,Kawasaki Frontale,Cerezo Osaka,1,1,D,1
2019-02-22,Urawa Red Diamonds,Yokohama F. Marinos,0,3,A,0
2019-02-22,Hokkaido Consadole Sapporo,Oita Trinita,1,2,A,0
2019-02-22,FC Tokyo,Shimizu S-Pulse,2,1,H,0
2019-02-22,Sanfrecce Hiroshima,Gamba Osaka,3,0,H,0
2019-02-22,Vegalta Sendai,Sagan Tosu,3,0,H,0
2019-02-22,Shonan Bellmare,Júbilo Iwata,0,2,A,0
2019-02-22,Matsumoto Yamaga,Vissel Kobe,2,1,H,0
2019-02-22,Cerezo Osaka,Hokkaido Consadole Sapporo,0,1,A,0
2019-02-22,Yokohama F. Marinos,Nagoya Grampus,1,1,D,1
2019-02-22,FC Tokyo,Kashima Antlers,3,1,H,0
2019-02-22,Sagan Tosu,Kawasaki Frontale,0,1,A,0
2019-02-22,Júbilo Iwata,Shimizu S-Pulse,1,2,A,0
2019-02-22,Gamba Osaka,Urawa Red Diamonds,0,1,A,0
2019-02-22,Oita Trinita,Vegalta Sendai,2,0,H,0
2019-02-22,Vissel Kobe,Sanfrecce Hiroshima,2,4,A,0
2019-02-22,Shonan Bellmare,Matsumoto Yamaga,1,1,D,1
2019-02-22,Kawasaki Frontale,Shonan Bellmare,2,0,H,0
2019-02-22,Sanfrecce Hiroshima,FC Tokyo,0,1,A,0
2019-02-22,Hokkaido Consadole Sapporo,Yokohama F. Marinos,3,0,H,0
2019-02-22,Urawa Red Diamonds,Vissel Kobe,1,0,H,0
2019-02-22,Matsumoto Yamaga,Sagan Tosu,1,0,H,0
2019-02-22,Nagoya Grampus,Júbilo Iwata,1,0,H,0
2019-02-22,Kashima Antlers,Vegalta Sendai,1,0,H,0
2019-02-22,Shimizu S-Pulse,Cerezo Osaka,1,0,H,0
2019-02-22,Gamba Osaka,Oita Trinita,1,1,D,1
2019-02-22,Cerezo Osaka,Oita Trinita,0,0,D,1
2019-02-22,Vegalta Sendai,Gamba Osaka,2,1,H,0
2019-02-22,Yokohama F. Marinos,Kashima Antlers,2,1,H,0
2019-02-22,FC Tokyo,Matsumoto Yamaga,2,0,H,0
2019-02-22,Sagan Tosu,Shonan Bellmare,0,2,A,0
2019-02-22,Vissel Kobe,Kawasaki Frontale,1,2,A,0
2019-02-22,Júbilo Iwata,Hokkaido Consadole Sapporo,1,2,A,0
2019-02-22,Nagoya Grampus,Sanfrecce Hiroshima,1,0,H,0
2019-02-22,Shimizu S-Pulse,Urawa Red Diamonds,0,2,A,0
2019-02-22,Sanfrecce Hiroshima,Yokohama F. Marinos,0,1,A,0
2019-02-22,Urawa Red Diamonds,Júbilo Iwata,0,1,A,0
2019-02-22,Kashima Antlers,Shimizu S-Pulse,3,0,H,0
2019-02-22,Kawasaki Frontale,Vegalta Sendai,3,1,H,0
2019-02-22,Hokkaido Consadole Sapporo,Vissel Kobe,2,1,H,0
2019-02-22,Matsumoto Yamaga,Cerezo Osaka,0,2,A,0
2019-02-22,Gamba Osaka,FC Tokyo,0,0,D,1
2019-02-22,Oita Trinita,Sagan Tosu,2,0,H,0
2019-02-22,Shonan Bellmare,Nagoya Grampus,1,1,D,1
2019-02-22,Sagan Tosu,Gamba Osaka,3,1,H,0
2019-02-22,Cerezo Osaka,Yokohama F. Marinos,3,0,H,0
2019-02-22,Matsumoto Yamaga,Hokkaido Consadole Sapporo,0,0,D,1
2019-02-22,Vegalta Sendai,Sanfrecce Hiroshima,2,1,H,0
2019-02-22,FC Tokyo,Júbilo Iwata,1,0,H,0
2019-02-22,Shimizu S-Pulse,Kawasaki Frontale,0,4,A,0
2019-02-22,Vissel Kobe,Kashima Antlers,0,1,A,0
2019-02-22,Nagoya Grampus,Urawa Red Diamonds,2,0,H,0
2019-02-22,Shonan Bellmare,Oita Trinita,0,1,A,0
2019-02-22,Kawasaki Frontale,Nagoya Grampus,1,1,D,1
2019-02-22,Sanfrecce Hiroshima,Sagan Tosu,0,1,A,0
2019-02-22,Urawa Red Diamonds,Shonan Bellmare,2,3,A,0
2019-02-22,FC Tokyo,Hokkaido Consadole Sapporo,2,0,H,0
2019-02-22,Júbilo Iwata,Vegalta Sendai,2,0,H,0
2019-02-22,Yokohama F. Marinos,Vissel Kobe,4,1,H,0
2019-02-22,Kashima Antlers,Matsumoto Yamaga,5,0,H,0
2019-02-22,Oita Trinita,Shimizu S-Pulse,1,1,D,1
2019-02-22,Gamba Osaka,Cerezo Osaka,1,0,H,0
2019-02-22,Hokkaido Consadole Sapporo,Gamba Osaka,0,0,D,1
2019-02-22,Shimizu S-Pulse,Vegalta Sendai,4,3,H,0
2019-02-22,Cerezo Osaka,FC Tokyo,1,0,H,0
2019-02-22,Yokohama F. Marinos,Júbilo Iwata,4,0,H,0
2019-02-22,Sagan Tosu,Kashima Antlers,1,0,H,0
2019-02-22,Urawa Red Diamonds,Sanfrecce Hiroshima,0,4,A,0
2019-02-22,Nagoya Grampus,Matsumoto Yamaga,0,1,A,0
2019-02-22,Vissel Kobe,Shonan Bellmare,4,1,H,0
2019-02-22,Oita Trinita,Kawasaki Frontale,0,1,A,0
2019-02-22,Shonan Bellmare,Yokohama F. Marinos,1,2,A,0
2019-02-22,Hokkaido Consadole Sapporo,Sanfrecce Hiroshima,1,0,H,0
2019-02-22,FC Tokyo,Oita Trinita,3,1,H,0
2019-02-22,Vegalta Sendai,Nagoya Grampus,3,1,H,0
2019-02-22,Júbilo Iwata,Vissel Kobe,1,1,D,1
2019-02-22,Sagan Tosu,Cerezo Osaka,0,1,A,0
2019-02-22,Matsumoto Yamaga,Shimizu S-Pulse,1,1,D,1
2019-02-22,Gamba Osaka,Kashima Antlers,1,1,D,1
2019-02-22,Kawasaki Frontale,Urawa Red Diamonds,1,1,D,1
2019-02-22,Kawasaki Frontale,Hokkaido Consadole Sapporo,1,1,D,1
2019-02-22,Kashima Antlers,Cerezo Osaka,2,0,H,0
2019-02-22,Sanfrecce Hiroshima,Shonan Bellmare,2,0,H,0
2019-02-22,Shimizu S-Pulse,Yokohama F. Marinos,3,2,H,0
2019-02-22,FC Tokyo,Vissel Kobe,0,1,A,0
2019-02-22,Júbilo Iwata,Gamba Osaka,0,0,D,1
2019-02-22,Matsumoto Yamaga,Vegalta Sendai,0,1,A,0
2019-02-22,Oita Trinita,Nagoya Grampus,1,1,D,1
2019-02-22,Urawa Red Diamonds,Sagan Tosu,2,1,H,0
2019-02-22,Hokkaido Consadole Sapporo,Sagan Tosu,3,1,H,0
2019-02-22,Vissel Kobe,Oita Trinita,2,2,D,1
2019-02-22,Yokohama F. Marinos,Matsumoto Yamaga,1,0,H,0
2019-02-22,Cerezo Osaka,Júbilo Iwata,2,0,H,0
2019-02-22,Gamba Osaka,Shonan Bellmare,1,0,H,0
2019-02-22,Nagoya Grampus,Shimizu S-Pulse,1,2,A,0
2019-02-22,Vegalta Sendai,FC Tokyo,2,0,H,0
2019-02-22,Sanfrecce Hiroshima,Kawasaki Frontale,3,2,H,0
2019-02-22,Urawa Red Diamonds,Kashima Antlers,1,1,D,1
2019-02-22,Matsumoto Yamaga,Gamba Osaka,1,3,A,0
2019-02-22,FC Tokyo,Yokohama F. Marinos,4,2,H,0
2019-02-22,Vissel Kobe,Nagoya Grampus,5,3,H,0
2019-02-22,Kashima Antlers,Sanfrecce Hiroshima,2,2,D,1
2019-02-22,Oita Trinita,Urawa Red Diamonds,2,0,H,0
2019-02-22,Júbilo Iwata,Kawasaki Frontale,1,3,A,0
2019-02-22,Shonan Bellmare,Cerezo Osaka,0,2,A,0
2019-02-22,Vegalta Sendai,Hokkaido Consadole Sapporo,2,1,H,0
2019-02-22,Sagan Tosu,Shimizu S-Pulse,4,2,H,0
2019-02-22,Shimizu S-Pulse,Vissel Kobe,2,1,H,0
2019-02-22,Kashima Antlers,Júbilo Iwata,2,0,H,0
2019-02-22,Sanfrecce Hiroshima,Cerezo Osaka,1,1,D,1
2019-02-22,Urawa Red Diamonds,Vegalta Sendai,1,0,H,0
2019-02-22,Yokohama F. Marinos,Oita Trinita,1,0,H,0
2019-02-22,Hokkaido Consadole Sapporo,Matsumoto Yamaga,1,1,D,1
2019-02-22,Nagoya Grampus,Shonan Bellmare,0,2,A,0
2019-02-22,FC Tokyo,Gamba Osaka,3,1,H,0
2019-02-22,Kawasaki Frontale,Sagan Tosu,0,0,D,1
2019-02-22,Matsumoto Yamaga,Júbilo Iwata,0,1,A,0
2019-02-22,Cerezo Osaka,Nagoya Grampus,3,0,H,0
2019-02-22,Gamba Osaka,Shimizu S-Pulse,1,0,H,0
2019-02-22,Oita Trinita,Hokkaido Consadole Sapporo,2,1,H,0
2019-02-22,Vegalta Sendai,Kashima Antlers,0,4,A,0
2019-02-22,Yokohama F. Marinos,Urawa Red Diamonds,3,1,H,0
2019-02-22,Sagan Tosu,Sanfrecce Hiroshima,0,2,A,0
2019-02-22,FC Tokyo,Kawasaki Frontale,0,3,A,0
2019-02-22,Shonan Bellmare,Vissel Kobe,3,1,H,0
2019-02-22,Hokkaido Consadole Sapporo,Shonan Bellmare,5,2,H,0
2019-02-22,Matsumoto Yamaga,Sanfrecce Hiroshima,2,2,D,1
2019-02-22,Nagoya Grampus,Gamba Osaka,2,2,D,1
2019-02-22,Vissel Kobe,Yokohama F. Marinos,0,2,A,0
2019-02-22,Kashima Antlers,Sagan Tosu,2,1,H,0
2019-02-22,Cerezo Osaka,Vegalta Sendai,0,0,D,1
2019-02-22,Júbilo Iwata,Urawa Red Diamonds,1,3,A,0
2019-02-22,Shimizu S-Pulse,FC Tokyo,0,2,A,0
2019-02-22,Kawasaki Frontale,Oita Trinita,3,1,H,0
2019-02-22,Vissel Kobe,Gamba Osaka,2,2,D,1
2019-02-22,FC Tokyo,Cerezo Osaka,3,0,H,0
2019-02-22,Sanfrecce Hiroshima,Hokkaido Consadole Sapporo,1,0,H,0
2019-02-22,Shonan Bellmare,Kashima Antlers,3,2,H,0
2019-02-22,Vegalta Sendai,Júbilo Iwata,2,1,H,0
2019-02-22,Yokohama F. Marinos,Shimizu S-Pulse,0,1,A,0
2019-02-22,Kawasaki Frontale,Matsumoto Yamaga,0,0,D,1
2019-02-22,Urawa Red Diamonds,Nagoya Grampus,2,2,D,1
2019-02-22,Sagan Tosu,Oita Trinita,2,2,D,1
2019-02-22,Hokkaido Consadole Sapporo,Urawa Red Diamonds,1,1,D,1
2019-02-22,Shimizu S-Pulse,Matsumoto Yamaga,1,0,H,0
2019-02-22,Kashima Antlers,Yokohama F. Marinos,2,1,H,0
2019-02-22,FC Tokyo,Vegalta Sendai,1,0,H,0
2019-02-22,Gamba Osaka,Sanfrecce Hiroshima,1,1,D,1
2019-02-22,Nagoya Grampus,Kawasaki Frontale,3,0,H,0
2019-02-22,Oita Trinita,Vissel Kobe,1,1,D,1
2019-02-22,Cerezo Osaka,Sagan Tosu,1,2,A,0
2019-02-22,Júbilo Iwata,Shonan Bellmare,2,3,A,0
2019-02-22,Shimizu S-Pulse,Hokkaido Consadole Sapporo,0,8,A,0
2019-02-22,FC Tokyo,Sanfrecce Hiroshima,0,1,A,0
2019-02-22,Oita Trinita,Kashima Antlers,0,1,A,0
2019-02-22,Shonan Bellmare,Sagan Tosu,2,3,A,0
2019-02-22,Vegalta Sendai,Kawasaki Frontale,2,2,D,1
2019-02-22,Vissel Kobe,Urawa Red Diamonds,3,0,H,0
2019-02-22,Yokohama F. Marinos,Cerezo Osaka,1,2,A,0
2019-02-22,Matsumoto Yamaga,Nagoya Grampus,1,1,D,1
2019-02-22,Gamba Osaka,Júbilo Iwata,1,1,D,1
2019-02-22,Kashima Antlers,Gamba Osaka,2,2,D,1
2019-02-22,Sagan Tosu,Vissel Kobe,1,6,A,0
2019-02-22,Urawa Red Diamonds,Matsumoto Yamaga,1,2,A,0
2019-02-22,Hokkaido Consadole Sapporo,FC Tokyo,1,1,D,1
2019-02-22,Nagoya Grampus,Yokohama F. Marinos,1,5,A,0
2019-02-22,Júbilo Iwata,Cerezo Osaka,0,2,A,0
2019-02-22,Kawasaki Frontale,Shimizu S-Pulse,2,2,D,1
2019-02-22,Sanfrecce Hiroshima,Oita Trinita,0,0,D,1
2019-02-22,Vegalta Sendai,Shonan Bellmare,1,1,D,1
2019-02-22,Nagoya Grampus,FC Tokyo,1,2,A,0
2019-02-22,Júbilo Iwata,Sanfrecce Hiroshima,0,2,A,0
2019-02-22,Matsumoto Yamaga,Oita Trinita,0,0,D,1
2019-02-22,Vissel Kobe,Hokkaido Consadole Sapporo,2,3,A,0
2019-02-22,Yokohama F. Marinos,Gamba Osaka,3,1,H,0
2019-02-22,Sagan Tosu,Vegalta Sendai,2,1,H,0
2019-02-22,Shimizu S-Pulse,Kashima Antlers,0,4,A,0
2019-02-22,Cerezo Osaka,Kawasaki Frontale,2,1,H,0
2019-02-22,Shonan Bellmare,Urawa Red Diamonds,1,1,D,1
2019-02-22,Shimizu S-Pulse,Nagoya Grampus,3,2,H,0
2019-02-22,Urawa Red Diamonds,Cerezo Osaka,1,2,A,0
2019-02-22,Hokkaido Consadole Sapporo,Vegalta Sendai,1,3,A,0
2019-02-22,Oita Trinita,Shonan Bellmare,2,1,H,0
2019-02-22,Gamba Osaka,Sagan Tosu,1,0,H,0
2019-02-22,Kashima Antlers,FC Tokyo,2,0,H,0
2019-02-22,Kawasaki Frontale,Júbilo Iwata,2,0,H,0
2019-02-22,Vissel Kobe,Matsumoto Yamaga,2,1,H,0
2019-02-22,Yokohama F. Marinos,Sanfrecce Hiroshima,3,0,H,0
