Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2022-08-05,Benfica,Arouca,4,0,H,0
2022-08-06,Rio Ave,Vizela,0,1,A,0
2022-08-06,Estoril,Famalicao,2,0,H,0
2022-08-06,Porto,Maritimo,5,1,H,0
2022-08-07,Santa Clara,Casa Pia,0,0,D,1
2022-08-07,Sp Braga,Sp Lisbon,3,3,D,1
2022-08-07,Aves,Guimaraes,0,1,A,0
2022-08-07,Portimonense,Boavista,0,1,A,0
2022-08-08,Gil Vicente,Pacos Ferreira,1,0,H,0
2022-08-12,Famalicao,Sp Braga,0,3,A,0
2022-08-13,Casa Pia,Benfica,0,1,A,0
2022-08-13,Sp Lisbon,Rio Ave,3,0,H,0
2022-08-14,Boavista,Santa Clara,2,1,H,0
2022-08-14,Vizela,Porto,0,1,A,0
2022-08-14,Guimaraes,Estoril,1,0,H,0
2022-08-15,Maritimo,Aves,1,2,A,0
2022-08-15,Arouca,Gil Vicente,1,0,H,0
2022-08-15,Pacos Ferreira,Portimonense,0,3,A,0
2022-08-19,Estoril,Rio Ave,2,2,D,1
2022-08-20,Santa Clara,Arouca,1,2,A,0
2022-08-20,Aves,Vizela,1,1,D,1
2022-08-20,Porto,Sp Lisbon,3,0,H,0
2022-08-21,Casa Pia,Boavista,2,0,H,0
2022-08-21,Sp Braga,Maritimo,5,0,H,0
2022-08-21,Portimonense,Guimaraes,2,1,H,0
2022-08-22,Gil Vicente,Famalicao,0,0,D,1
2022-08-26,Pacos Ferreira,Estoril,0,3,A,0
2022-08-27,Maritimo,Portimonense,0,1,A,0
2022-08-27,Boavista,Benfica,0,3,A,0
2022-08-27,Sp Lisbon,Aves,0,2,A,0
2022-08-28,Famalicao,Santa Clara,1,0,H,0
2022-08-28,Arouca,Sp Braga,0,6,A,0
2022-08-28,Rio Ave,Porto,3,1,H,0
2022-08-29,Guimaraes,Casa Pia,0,1,A,0
2022-08-29,Vizela,Gil Vicente,2,2,D,1
2022-08-30,Benfica,Pacos Ferreira,3,2,H,0
2022-09-02,Benfica,Vizela,2,1,H,0
2022-09-02,Estoril,Sp Lisbon,0,2,A,0
2022-09-03,Sp Braga,Guimaraes,1,0,H,0
2022-09-03,Gil Vicente,Porto,0,2,A,0
2022-09-04,Casa Pia,Arouca,0,0,D,1
2022-09-04,Santa Clara,Maritimo,2,1,H,0
2022-09-04,Portimonense,Famalicao,1,0,H,0
2022-09-05,Boavista,Pacos Ferreira,1,0,H,0
2022-09-05,Aves,Rio Ave,1,1,D,1
2022-09-09,Guimaraes,Santa Clara,1,0,H,0
2022-09-10,Famalicao,Benfica,0,1,A,0
2022-09-10,Sp Lisbon,Portimonense,4,0,H,0
2022-09-10,Porto,Aves,3,0,H,0
2022-09-11,Pacos Ferreira,Casa Pia,2,3,A,0
2022-09-11,Arouca,Boavista,1,2,A,0
2022-09-11,Maritimo,Gil Vicente,1,2,A,0
2022-09-11,Rio Ave,Sp Braga,2,3,A,0
2022-09-12,Vizela,Estoril,0,1,A,0
2022-09-16,Portimonense,Aves,1,0,H,0
2022-09-17,Gil Vicente,Rio Ave,2,2,D,1
2022-09-17,Santa Clara,Pacos Ferreira,1,1,D,1
2022-09-17,Estoril,Porto,1,1,D,1
2022-09-17,Boavista,Sp Lisbon,2,1,H,0
2022-09-18,Arouca,Guimaraes,2,2,D,1
2022-09-18,Benfica,Maritimo,5,0,H,0
2022-09-18,Casa Pia,Famalicao,1,0,H,0
2022-09-18,Sp Braga,Vizela,2,0,H,0
2022-09-30,Sp Lisbon,Gil Vicente,3,1,H,0
2022-09-30,Porto,Sp Braga,4,1,H,0
2022-10-01,Vizela,Portimonense,1,0,H,0
2022-10-01,Aves,Estoril,1,1,D,1
2022-10-01,Guimaraes,Benfica,0,0,D,1
2022-10-02,Rio Ave,Santa Clara,1,0,H,0
2022-10-02,Pacos Ferreira,Arouca,1,1,D,1
2022-10-02,Famalicao,Boavista,4,0,H,0
2022-10-03,Maritimo,Casa Pia,1,2,A,0
2022-10-07,Gil Vicente,Estoril,0,1,A,0
2022-10-08,Santa Clara,Sp Lisbon,1,2,A,0
2022-10-08,Benfica,Rio Ave,4,2,H,0
2022-10-08,Portimonense,Porto,0,2,A,0
2022-10-08,Pacos Ferreira,Guimaraes,0,1,A,0
2022-10-09,Boavista,Maritimo,1,1,D,1
2022-10-09,Casa Pia,Vizela,0,1,A,0
2022-10-09,Sp Braga,Aves,0,1,A,0
2022-10-10,Arouca,Famalicao,4,1,H,0
2022-10-21,Porto,Benfica,0,1,A,0
2022-10-22,Famalicao,Pacos Ferreira,2,1,H,0
2022-10-22,Estoril,Sp Braga,0,2,A,0
2022-10-22,Sp Lisbon,Casa Pia,3,1,H,0
2022-10-23,Maritimo,Arouca,1,1,D,1
2022-10-23,Vizela,Santa Clara,0,1,A,0
2022-10-23,Aves,Gil Vicente,3,1,H,0
2022-10-23,Guimaraes,Boavista,3,2,H,0
2022-10-24,Rio Ave,Portimonense,1,0,H,0
2022-10-28,Pacos Ferreira,Maritimo,0,1,A,0
2022-10-29,Santa Clara,Porto,1,1,D,1
2022-10-29,Benfica,Aves,5,0,H,0
2022-10-29,Arouca,Sp Lisbon,1,0,H,0
2022-10-30,Boavista,Vizela,2,2,D,1
2022-10-30,Portimonense,Estoril,1,1,D,1
2022-10-30,Casa Pia,Rio Ave,1,0,H,0
2022-10-30,Gil Vicente,Sp Braga,0,1,A,0
2022-10-31,Guimaraes,Famalicao,3,2,H,0
2022-11-04,Gil Vicente,Portimonense,1,2,A,0
2022-11-05,Vizela,Arouca,0,1,A,0
2022-11-05,Porto,Pacos Ferreira,4,0,H,0
2022-11-05,Sp Lisbon,Guimaraes,3,0,H,0
2022-11-06,Rio Ave,Boavista,1,0,H,0
2022-11-06,Maritimo,Famalicao,0,0,D,1
2022-11-06,Sp Braga,Casa Pia,0,1,A,0
2022-11-06,Estoril,Benfica,1,5,A,0
2022-11-07,Aves,Santa Clara,0,0,D,1
2022-11-12,Arouca,Rio Ave,0,1,A,0
2022-11-12,Boavista,Porto,1,4,A,0
2022-11-13,Guimaraes,Maritimo,1,0,H,0
2022-11-13,Pacos Ferreira,Vizela,0,2,A,0
2022-11-13,Benfica,Gil Vicente,3,1,H,0
2022-11-13,Casa Pia,Aves,1,2,A,0
2022-11-13,Portimonense,Sp Braga,1,2,A,0
2022-11-13,Famalicao,Sp Lisbon,1,2,A,0
2022-11-14,Santa Clara,Estoril,3,1,H,0
2022-12-23,Rio Ave,Maritimo,1,1,D,1
2022-12-28,Portimonense,Casa Pia,1,2,A,0
2022-12-28,Porto,Arouca,5,1,H,0
2022-12-29,Gil Vicente,Santa Clara,1,0,H,0
2022-12-29,Sp Lisbon,Pacos Ferreira,3,0,H,0
2022-12-30,Aves,Famalicao,0,2,A,0
2022-12-30,Vizela,Guimaraes,3,0,H,0
2022-12-30,Sp Braga,Benfica,3,0,H,0
2023-01-05,Santa Clara,Sp Braga,0,4,A,0
2023-01-06,Benfica,Portimonense,1,0,H,0
2023-01-06,Famalicao,Vizela,2,1,H,0
2023-01-07,Arouca,Estoril,2,0,H,0
2023-01-07,Guimaraes,Rio Ave,0,0,D,1
2023-01-07,Casa Pia,Porto,0,0,D,1
2023-01-08,Pacos Ferreira,Aves,1,1,D,1
2023-01-08,Maritimo,Sp Lisbon,1,0,H,0
2023-01-08,Boavista,Gil Vicente,1,0,H,0
2023-01-13,Portimonense,Santa Clara,0,0,D,1
2023-01-14,Vizela,Maritimo,3,0,H,0
2023-01-14,Rio Ave,Pacos Ferreira,0,1,A,0
2023-01-14,Sp Braga,Boavista,1,0,H,0
2023-01-15,Aves,Arouca,1,1,D,1
2023-01-15,Benfica,Sp Lisbon,2,2,D,1
2023-01-15,Porto,Famalicao,4,1,H,0
2023-01-16,Estoril,Casa Pia,2,0,H,0
2023-01-16,Gil Vicente,Guimaraes,2,1,H,0
2023-01-20,Arouca,Portimonense,4,0,H,0
2023-01-20,Sp Lisbon,Vizela,2,1,H,0
2023-01-21,Pacos Ferreira,Sp Braga,1,2,A,0
2023-01-21,Santa Clara,Benfica,0,3,A,0
2023-01-21,Guimaraes,Porto,0,1,A,0
2023-01-22,Maritimo,Estoril,1,0,H,0
2023-01-22,Casa Pia,Gil Vicente,1,3,A,0
2023-01-22,Famalicao,Rio Ave,0,0,D,1
2023-01-23,Boavista,Aves,1,1,D,1
2023-01-26,Pacos Ferreira,Benfica,0,2,A,0
2023-01-29,Casa Pia,Santa Clara,2,1,H,0
2023-01-29,Vizela,Rio Ave,3,1,H,0
2023-01-29,Boavista,Portimonense,4,2,H,0
2023-01-29,Famalicao,Estoril,1,0,H,0
2023-01-30,Guimaraes,Aves,2,1,H,0
2023-01-31,Pacos Ferreira,Gil Vicente,2,1,H,0
2023-01-31,Arouca,Benfica,0,3,A,0
2023-02-01,Maritimo,Porto,0,2,A,0
2023-02-01,Sp Lisbon,Sp Braga,5,0,H,0
2023-02-04,Santa Clara,Boavista,2,2,D,1
2023-02-04,Benfica,Casa Pia,3,0,H,0
2023-02-04,Estoril,Guimaraes,0,1,A,0
2023-02-05,Aves,Maritimo,2,1,H,0
2023-02-05,Sp Braga,Famalicao,4,1,H,0
2023-02-05,Porto,Vizela,2,0,H,0
2023-02-05,Gil Vicente,Arouca,1,1,D,1
2023-02-06,Portimonense,Pacos Ferreira,1,0,H,0
2023-02-06,Rio Ave,Sp Lisbon,0,1,A,0
2023-02-09,Estoril,Boavista,2,1,H,0
2023-02-10,Vizela,Aves,0,0,D,1
2023-02-11,Arouca,Santa Clara,1,0,H,0
2023-02-11,Guimaraes,Portimonense,1,0,H,0
