Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2018-08-10,Benfica,Guimaraes,3,2,H,0
2018-08-11,Porto,Chaves,5,0,H,0
2018-08-11,Tondela,Belenenses,0,1,A,0
2018-08-11,Setubal,AVS,2,0,H,0
2018-08-12,Farense,Rio Ave,2,0,H,0
2018-08-12,Maritimo,Santa Clara,1,0,H,0
2018-08-12,Sp Braga,Nacional,4,2,H,0
2018-08-12,Moreirense,Sp Lisbon,1,3,A,0
2018-08-13,Portimonense,Boavista,0,2,A,0
2018-08-17,AVS,Tondela,2,2,D,1
2018-08-18,Boavista,Benfica,0,2,A,0
2018-08-18,Chaves,Portimonense,2,0,H,0
2018-08-18,Sp Lisbon,Setubal,2,1,H,0
2018-08-19,Rio Ave,Maritimo,3,1,H,0
2018-08-19,Belenenses,Porto,2,3,A,0
2018-08-19,Nacional,Moreirense,1,2,A,0
2018-08-19,Santa Clara,Sp Braga,3,3,D,1
2018-08-20,Guimaraes,Farense,0,1,A,0
2018-08-24,Maritimo,Chaves,2,1,H,0
2018-08-25,Benfica,Sp Lisbon,1,1,D,1
2018-08-25,Porto,Guimaraes,2,3,A,0
2018-08-25,Portimonense,Santa Clara,2,2,D,1
2018-08-26,Tondela,Rio Ave,1,1,D,1
2018-08-26,Farense,Boavista,1,1,D,1
2018-08-26,Setubal,Nacional,1,2,A,0
2018-08-26,Sp Braga,AVS,3,1,H,0
2018-08-27,Moreirense,Belenenses,1,1,D,1
2018-08-31,Chaves,Sp Braga,0,1,A,0
2018-08-31,Guimaraes,Tondela,1,0,H,0
2018-09-01,Santa Clara,Boavista,4,2,H,0
2018-09-01,Belenenses,Setubal,0,0,D,1
2018-09-01,Sp Lisbon,Farense,1,0,H,0
2018-09-02,AVS,Maritimo,0,1,A,0
2018-09-02,Rio Ave,Portimonense,2,1,H,0
2018-09-02,Porto,Moreirense,3,0,H,0
2018-09-02,Nacional,Benfica,0,4,A,0
2018-09-21,Boavista,Chaves,1,2,A,0
2018-09-22,Setubal,Porto,0,2,A,0
2018-09-22,Santa Clara,Rio Ave,1,3,A,0
2018-09-22,Maritimo,Belenenses,0,0,D,1
2018-09-23,Farense,Nacional,0,0,D,1
2018-09-23,Portimonense,Guimaraes,3,2,H,0
2018-09-23,Tondela,Moreirense,2,0,H,0
2018-09-23,Benfica,AVS,2,0,H,0
2018-09-24,Sp Braga,Sp Lisbon,1,0,H,0
2018-09-27,Chaves,Benfica,2,2,D,1
2018-09-28,Porto,Tondela,1,0,H,0
2018-09-29,Moreirense,Farense,1,0,H,0
2018-09-29,Rio Ave,Boavista,2,1,H,0
2018-09-29,Sp Lisbon,Maritimo,2,0,H,0
2018-09-30,Guimaraes,Setubal,1,1,D,1
2018-09-30,Belenenses,Sp Braga,0,3,A,0
2018-09-30,Nacional,Santa Clara,0,3,A,0
2018-10-01,AVS,Portimonense,3,0,H,0
2018-10-05,Santa Clara,Chaves,1,0,H,0
2018-10-05,Tondela,Nacional,1,1,D,1
2018-10-05,Farense,Belenenses,0,0,D,1
2018-10-06,Maritimo,Guimaraes,1,3,A,0
2018-10-06,Setubal,Moreirense,3,0,H,0
2018-10-06,Sp Braga,Rio Ave,1,1,D,1
2018-10-07,Boavista,AVS,1,0,H,0
2018-10-07,Benfica,Porto,1,0,H,0
2018-10-07,Portimonense,Sp Lisbon,4,2,H,0
2018-10-26,Guimaraes,Sp Braga,1,1,D,1
2018-10-26,Nacional,Portimonense,0,1,A,0
2018-10-27,AVS,Santa Clara,1,2,A,0
2018-10-27,Rio Ave,Chaves,1,0,H,0
2018-10-27,Belenenses,Benfica,2,0,H,0
2018-10-28,Porto,Farense,2,0,H,0
2018-10-28,Moreirense,Maritimo,1,0,H,0
2018-10-28,Tondela,Setubal,1,2,A,0
2018-10-28,Sp Lisbon,Boavista,3,0,H,0
2018-11-02,Benfica,Moreirense,1,3,A,0
2018-11-03,Maritimo,Porto,0,2,A,0
2018-11-03,Portimonense,Belenenses,1,1,D,1
2018-11-03,Boavista,Guimaraes,0,0,D,1
2018-11-04,Farense,Tondela,2,4,A,0
2018-11-04,Sp Braga,Setubal,2,1,H,0
2018-11-04,Santa Clara,Sp Lisbon,1,2,A,0
2018-11-05,Rio Ave,Nacional,3,3,D,1
2018-11-05,Chaves,AVS,1,2,A,0
2018-11-09,Setubal,Farense,2,1,H,0
2018-11-09,Moreirense,Portimonense,2,0,H,0
2018-11-10,Belenenses,Boavista,0,0,D,1
2018-11-10,Nacional,Maritimo,1,0,H,0
2018-11-10,Porto,Sp Braga,1,0,H,0
2018-11-10,AVS,Rio Ave,2,1,H,0
2018-11-11,Tondela,Benfica,1,3,A,0
2018-11-11,Guimaraes,Santa Clara,2,0,H,0
2018-11-11,Sp Lisbon,Chaves,2,1,H,0
2018-11-30,Santa Clara,Belenenses,2,3,A,0
2018-12-01,Benfica,Farense,4,0,H,0
2018-12-01,Sp Braga,Moreirense,2,0,H,0
2018-12-01,Maritimo,Setubal,0,1,A,0
2018-12-02,Boavista,Porto,0,1,A,0
2018-12-02,AVS,Nacional,2,3,A,0
2018-12-02,Portimonense,Tondela,3,2,H,0
2018-12-02,Chaves,Guimaraes,0,1,A,0
2018-12-03,Rio Ave,Sp Lisbon,1,3,A,0
2018-12-07,Porto,Portimonense,4,1,H,0
2018-12-08,Tondela,Sp Braga,0,1,A,0
2018-12-08,Belenenses,Chaves,1,0,H,0
2018-12-08,Setubal,Benfica,0,1,A,0
2018-12-09,Nacional,Boavista,0,0,D,1
2018-12-09,Moreirense,Santa Clara,0,1,A,0
2018-12-09,Guimaraes,Rio Ave,3,2,H,0
2018-12-09,Sp Lisbon,AVS,4,1,H,0
2018-12-10,Farense,Maritimo,1,1,D,1
2018-12-14,Sp Braga,Farense,4,0,H,0
2018-12-14,Portimonense,Setubal,3,1,H,0
2018-12-15,Chaves,Moreirense,1,2,A,0
2018-12-15,Santa Clara,Porto,1,2,A,0
2018-12-15,AVS,Guimaraes,1,1,D,1
2018-12-15,Boavista,Tondela,2,0,H,0
2018-12-16,Rio Ave,Belenenses,2,2,D,1
2018-12-16,Sp Lisbon,Nacional,5,2,H,0
2018-12-16,Maritimo,Benfica,0,1,A,0
2018-12-22,Moreirense,Boavista,2,1,H,0
2018-12-22,Tondela,Maritimo,2,1,H,0
2018-12-22,Setubal,Santa Clara,0,2,A,0
2018-12-22,Farense,Portimonense,0,1,A,0
2018-12-22,Belenenses,AVS,5,2,H,0
2018-12-23,Guimaraes,Sp Lisbon,1,0,H,0
2018-12-23,Benfica,Sp Braga,6,2,H,0
2018-12-23,Nacional,Chaves,2,0,H,0
2018-12-23,Porto,Rio Ave,2,1,H,0
2019-01-02,Boavista,Setubal,1,0,H,0
2019-01-02,Sp Braga,Maritimo,2,0,H,0
2019-01-02,Rio Ave,Moreirense,1,2,A,0
2019-01-02,Santa Clara,Tondela,1,2,A,0
2019-01-02,Portimonense,Benfica,2,0,H,0
2019-01-02,Nacional,Guimaraes,1,0,H,0
2019-01-03,Chaves,Farense,0,0,D,1
2019-01-03,AVS,Porto,0,1,A,0
2019-01-03,Sp Lisbon,Belenenses,2,1,H,0
2019-01-05,Maritimo,Portimonense,2,1,H,0
2019-01-06,Farense,Santa Clara,2,2,D,1
2019-01-06,Sp Braga,Boavista,1,0,H,0
2019-01-06,Benfica,Rio Ave,4,2,H,0
2019-01-06,Belenenses,Guimaraes,1,0,H,0
2019-01-06,Setubal,Chaves,0,0,D,1
2019-01-07,Porto,Nacional,3,1,H,0
2019-01-07,Moreirense,AVS,1,0,H,0
2019-01-07,Tondela,Sp Lisbon,2,1,H,0
2019-01-10,Portimonense,Sp Braga,1,1,D,1
2019-01-11,Santa Clara,Benfica,0,2,A,0
2019-01-11,AVS,Farense,1,1,D,1
2019-01-11,Guimaraes,Moreirense,1,0,H,0
2019-01-12,Boavista,Maritimo,0,1,A,0
2019-01-12,Sp Lisbon,Porto,0,0,D,1
2019-01-13,Nacional,Belenenses,0,1,A,0
2019-01-13,Chaves,Tondela,2,1,H,0
2019-01-13,Rio Ave,Setubal,1,1,D,1
2019-01-18,Chaves,Porto,1,4,A,0
2019-01-18,Nacional,Sp Braga,0,3,A,0
2019-01-18,Guimaraes,Benfica,0,1,A,0
2019-01-19,Santa Clara,Maritimo,0,1,A,0
2019-01-19,Sp Lisbon,Moreirense,2,1,H,0
2019-01-19,Belenenses,Tondela,2,2,D,1
2019-01-20,AVS,Setubal,2,1,H,0
2019-01-20,Boavista,Portimonense,0,2,A,0
2019-01-20,Rio Ave,Farense,0,0,D,1
2019-01-28,Farense,Guimaraes,1,2,A,0
