Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2016-01-10,Stranraer,Brechin,0,1,A,0
2016-01-10,East Fife,Stenhousemuir,0,1,A,0
2016-01-10,Albion Rvs,Queens Park,2,0,H,0
2016-01-10,Peterhead,Livingston,1,2,A,0
2016-01-10,Alloa,Airdrie Utd,1,2,A,0
2016-03-12,Peterhead,Airdrie Utd,2,4,A,0
2016-03-12,Albion Rvs,Livingston,0,1,A,0
2016-03-12,Queens Park,Brechin,2,0,H,0
2016-05-11,Livingston,East Fife,3,1,H,0
2016-05-11,Alloa,Stenhousemuir,4,1,H,0
2016-05-11,Albion Rvs,Airdrie Utd,1,2,A,0
2016-05-11,Stranraer,Queens Park,0,2,A,0
2016-05-11,Peterhead,Brechin,1,3,A,0
2016-06-08,East Fife,Albion Rvs,2,2,D,1
2016-06-08,Alloa,Peterhead,4,0,H,0
2016-06-08,Livingston,Stranraer,5,1,H,0
2016-06-08,Queens Park,Airdrie Utd,1,3,A,0
2016-06-08,Brechin,Stenhousemuir,2,1,H,0
2016-06-12,Brechin,Albion Rvs,1,2,A,0
2016-08-13,Stenhousemuir,Queens Park,1,2,A,0
2016-08-13,Albion Rvs,Brechin,0,2,A,0
2016-08-13,Airdrie Utd,Livingston,2,4,A,0
2016-08-13,Peterhead,East Fife,0,3,A,0
2016-08-13,Stranraer,Alloa,2,5,A,0
2016-08-20,Livingston,Stenhousemuir,4,1,H,0
2016-08-20,Alloa,East Fife,2,1,H,0
2016-08-20,Airdrie Utd,Stranraer,1,0,H,0
2016-08-20,Peterhead,Albion Rvs,2,2,D,1
2016-08-20,Brechin,Queens Park,0,0,D,1
2016-08-27,Stranraer,Peterhead,1,0,H,0
2016-08-27,East Fife,Brechin,1,2,A,0
2016-08-27,Stenhousemuir,Airdrie Utd,2,2,D,1
2016-08-27,Albion Rvs,Alloa,0,4,A,0
2016-08-27,Queens Park,Livingston,1,0,H,0
2016-09-17,Stenhousemuir,Peterhead,2,2,D,1
2016-09-17,Queens Park,Alloa,1,2,A,0
2016-09-17,Livingston,Brechin,2,1,H,0
2016-09-17,Airdrie Utd,East Fife,1,1,D,1
2016-09-17,Stranraer,Albion Rvs,3,2,H,0
2016-09-24,Airdrie Utd,Albion Rvs,0,2,A,0
2016-09-24,Queens Park,Stranraer,0,2,A,0
2016-09-24,Stenhousemuir,Alloa,2,2,D,1
2016-09-24,East Fife,Livingston,3,1,H,0
2016-09-24,Brechin,Peterhead,2,1,H,0
2016-10-09,Alloa,Livingston,1,3,A,0
2016-10-09,Albion Rvs,Stenhousemuir,4,0,H,0
2016-10-09,Brechin,Airdrie Utd,3,2,H,0
2016-10-09,East Fife,Stranraer,2,0,H,0
2016-10-09,Peterhead,Queens Park,2,0,H,0
2016-10-12,Queens Park,Albion Rvs,2,1,H,0
2016-10-12,Peterhead,Alloa,1,1,D,1
2016-10-12,Airdrie Utd,Stenhousemuir,0,5,A,0
2016-10-12,Brechin,East Fife,0,1,A,0
2016-10-12,Stranraer,Livingston,1,2,A,0
2016-10-15,Brechin,Alloa,0,1,A,0
2016-10-15,Livingston,Albion Rvs,1,2,A,0
2016-10-15,Airdrie Utd,Peterhead,1,3,A,0
2016-10-15,Stenhousemuir,Stranraer,0,5,A,0
2016-10-15,Queens Park,East Fife,1,0,H,0
2016-10-22,Stenhousemuir,Brechin,1,3,A,0
2016-10-22,Albion Rvs,Peterhead,0,1,A,0
2016-10-22,Airdrie Utd,Queens Park,4,1,H,0
2016-10-22,Livingston,Alloa,3,1,H,0
2016-10-22,Stranraer,East Fife,1,1,D,1
2016-10-29,Queens Park,Stenhousemuir,0,3,A,0
2016-10-29,Peterhead,Stranraer,2,0,H,0
2016-10-29,East Fife,Airdrie Utd,0,1,A,0
2016-10-29,Brechin,Livingston,0,3,A,0
2016-10-29,Alloa,Albion Rvs,0,0,D,1
2016-11-15,East Fife,Alloa,2,2,D,1
2016-11-19,Livingston,Peterhead,1,2,A,0
2016-11-19,East Fife,Queens Park,1,2,A,0
2016-11-19,Airdrie Utd,Alloa,2,1,H,0
2016-11-19,Stranraer,Stenhousemuir,3,1,H,0
2016-12-11,Albion Rvs,Stranraer,3,2,H,0
2016-12-11,Airdrie Utd,Brechin,1,0,H,0
2016-12-11,Queens Park,Peterhead,0,0,D,1
2016-12-13,Alloa,Stranraer,2,2,D,1
2016-12-13,Stenhousemuir,Livingston,0,4,A,0
2016-12-17,Stenhousemuir,Albion Rvs,1,0,H,0
2016-12-17,Livingston,Airdrie Utd,2,0,H,0
2016-12-17,East Fife,Peterhead,2,0,H,0
2016-12-17,Alloa,Queens Park,1,1,D,1
2016-12-17,Brechin,Stranraer,2,0,H,0
2016-12-20,Stenhousemuir,East Fife,0,1,A,0
2016-12-24,Livingston,Queens Park,1,2,A,0
2016-12-24,Alloa,Brechin,1,2,A,0
2016-12-24,Stranraer,Airdrie Utd,1,2,A,0
2016-12-26,Peterhead,Stenhousemuir,0,2,A,0
2016-12-31,East Fife,Livingston,2,1,H,0
2016-12-31,Queens Park,Stranraer,0,1,A,0
2016-12-31,Stenhousemuir,Alloa,2,4,A,0
2017-01-04,Stranraer,Stenhousemuir,3,0,H,0
2017-01-04,Brechin,Livingston,0,2,A,0
2017-01-04,East Fife,Queens Park,0,0,D,1
2017-01-04,Alloa,Albion Rvs,1,1,D,1
2017-01-04,Peterhead,Airdrie Utd,1,1,D,1
2017-01-14,Alloa,Peterhead,0,1,A,0
2017-01-14,Airdrie Utd,East Fife,2,2,D,1
2017-01-14,Stenhousemuir,Stranraer,1,0,H,0
2017-01-28,Livingston,Brechin,3,0,H,0
2017-01-28,Peterhead,Queens Park,4,0,H,0
2017-01-28,Stenhousemuir,Airdrie Utd,4,2,H,0
2017-01-28,Albion Rvs,Alloa,1,1,D,1
2017-01-28,East Fife,Stranraer,0,0,D,1
2017-02-01,Airdrie Utd,Albion Rvs,1,2,A,0
2017-02-01,Brechin,Peterhead,0,1,A,0
2017-02-18,Airdrie Utd,Livingston,0,4,A,0
2017-02-18,Albion Rvs,Stenhousemuir,1,1,D,1
2017-02-18,East Fife,Brechin,3,2,H,0
2017-02-18,Queens Park,Alloa,0,2,A,0
2017-02-18,Stranraer,Peterhead,3,3,D,1
2017-02-25,Peterhead,East Fife,1,1,D,1
2017-02-25,Stranraer,Brechin,2,0,H,0
2017-02-25,Alloa,Airdrie Utd,2,1,H,0
2017-02-28,Brechin,Queens Park,3,1,H,0
2017-02-28,Alloa,East Fife,3,0,H,0
2017-03-14,Brechin,Airdrie Utd,3,0,H,0
2017-03-18,Airdrie Utd,Stenhousemuir,1,0,H,0
2017-03-18,Stranraer,Livingston,0,1,A,0
2017-03-18,Queens Park,Brechin,1,1,D,1
2017-03-18,East Fife,Alloa,0,0,D,1
2017-03-18,Albion Rvs,Peterhead,0,0,D,1
2017-03-21,Livingston,Stenhousemuir,1,0,H,0
2017-03-21,Brechin,Alloa,1,2,A,0
2017-03-25,Brechin,East Fife,2,1,H,0
2017-03-25,Stenhousemuir,Albion Rvs,0,3,A,0
2017-03-25,Livingston,Airdrie Utd,4,2,H,0
2017-03-25,Peterhead,Stranraer,2,2,D,1
2017-03-25,Alloa,Queens Park,2,2,D,1
2017-03-28,Albion Rvs,East Fife,1,0,H,0
2017-04-02,Stranraer,Albion Rvs,3,0,H,0
2017-04-02,Queens Park,East Fife,2,2,D,1
2017-04-02,Brechin,Stenhousemuir,2,2,D,1
2017-04-02,Alloa,Livingston,2,2,D,1
2017-04-02,Airdrie Utd,Peterhead,4,1,H,0
2017-04-03,Airdrie Utd,Stranraer,1,2,A,0
2017-04-03,Queens Park,Livingston,1,1,D,1
2017-04-03,Stenhousemuir,Peterhead,3,1,H,0
2017-04-03,East Fife,Albion Rvs,2,0,H,0
2017-04-04,Albion Rvs,Queens Park,1,1,D,1
2017-04-15,East Fife,Peterhead,1,2,A,0
2017-04-15,Stenhousemuir,Livingston,0,1,A,0
2017-04-15,Queens Park,Albion Rvs,2,0,H,0
2017-04-15,Stranraer,Airdrie Utd,2,1,H,0
2017-04-15,Alloa,Brechin,6,1,H,0
2017-04-22,Airdrie Utd,Alloa,0,1,A,0
2017-04-22,Brechin,Stranraer,0,0,D,1
2017-04-22,Livingston,Queens Park,4,0,H,0
2017-04-22,Peterhead,Stenhousemuir,0,1,A,0
2017-04-22,Albion Rvs,East Fife,0,1,A,0
2017-04-29,Livingston,Peterhead,4,1,H,0
2017-04-29,Queens Park,Stenhousemuir,0,2,A,0
2017-04-29,East Fife,Airdrie Utd,0,4,A,0
2017-04-29,Brechin,Albion Rvs,1,0,H,0
2017-04-29,Alloa,Stranraer,1,0,H,0
2017-06-05,Stranraer,East Fife,2,1,H,0
2017-06-05,Stenhousemuir,Brechin,1,1,D,1
2017-06-05,Airdrie Utd,Queens Park,3,2,H,0
2017-06-05,Peterhead,Alloa,3,2,H,0
2017-06-05,Albion Rvs,Livingston,0,2,A,0
2017-07-01,Stranraer,Alloa,1,2,A,0
2017-07-01,Peterhead,Livingston,2,3,A,0
2017-07-01,Albion Rvs,Brechin,1,0,H,0
2017-07-01,East Fife,Stenhousemuir,1,0,H,0
2017-07-01,Queens Park,Airdrie Utd,2,1,H,0
2017-07-03,Livingston,Albion Rvs,3,0,H,0
2017-08-04,Airdrie Utd,Brechin,3,1,H,0
2017-08-04,Queens Park,Peterhead,2,0,H,0
2017-08-04,Albion Rvs,Stranraer,3,0,H,0
2017-08-04,Livingston,Alloa,2,1,H,0
2017-08-04,Stenhousemuir,East Fife,3,1,H,0
2017-11-02,Stenhousemuir,Queens Park,0,2,A,0
2017-11-02,Livingston,Stranraer,0,0,D,1
2017-11-02,Peterhead,Albion Rvs,1,1,D,1
2017-11-03,Livingston,East Fife,0,1,A,0
2017-11-03,Stranraer,Queens Park,1,1,D,1
2017-11-03,Peterhead,Brechin,0,1,A,0
2017-11-03,Alloa,Stenhousemuir,2,1,H,0
2017-11-03,Albion Rvs,Airdrie Utd,3,4,A,0
