Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2022-08-12,Leganes,Huesca,0,0,D,1
2022-08-13,Las Palmas,Zaragoza,0,0,D,1
2022-08-13,Leganes,Alaves,1,2,A,0
2022-08-13,Mirandes,Sp Gijon,1,1,D,1
2022-08-13,Eibar,Tenerife,2,1,H,0
2022-08-14,Burgos,Malaga,1,0,H,0
2022-08-14,Ibiza,Granada,0,2,A,0
2022-08-14,Santander,Villarreal B,0,2,A,0
2022-08-15,Cartagena,Ponferradina,2,3,A,0
2022-08-15,Oviedo,Andorra,0,1,A,0
2022-08-15,Lugo,Albacete,1,2,A,0
2022-08-19,Villarreal B,Eibar,2,2,D,1
2022-08-19,Alaves,Mirandes,1,0,H,0
2022-08-20,Zaragoza,Leganes,0,0,D,1
2022-08-20,Granada,Santander,2,0,H,0
2022-08-20,Sp Gijon,Andorra,4,1,H,0
2022-08-20,Albacete,Burgos,0,0,D,1
2022-08-21,Tenerife,Lugo,1,1,D,1
2022-08-21,Huesca,Cartagena,2,3,A,0
2022-08-21,Oviedo,Leganes,1,0,H,0
2022-08-22,Malaga,Las Palmas,0,4,A,0
2022-08-22,Ponferradina,Ibiza,2,1,H,0
2022-08-26,Albacete,Huesca,2,1,H,0
2022-08-26,Cartagena,Zaragoza,1,0,H,0
2022-08-27,Mirandes,Malaga,1,3,A,0
2022-08-27,Leganes,Tenerife,2,0,H,0
2022-08-27,Lugo,Leganes,1,0,H,0
2022-08-27,Sp Gijon,Burgos,0,0,D,1
2022-08-28,Ibiza,Alaves,1,1,D,1
2022-08-28,Santander,Oviedo,0,1,A,0
2022-08-28,Eibar,Ponferradina,1,0,H,0
2022-08-29,Las Palmas,Andorra,2,0,H,0
2022-08-29,Granada,Villarreal B,3,0,H,0
2022-09-02,Leganes,Eibar,2,1,H,0
2022-09-03,Ponferradina,Sp Gijon,1,3,A,0
2022-09-03,Tenerife,Santander,1,0,H,0
2022-09-03,Villarreal B,Mirandes,3,0,H,0
2022-09-03,Alaves,Las Palmas,1,1,D,1
2022-09-04,Burgos,Cartagena,1,0,H,0
2022-09-04,Huesca,Ibiza,3,0,H,0
2022-09-04,Zaragoza,Lugo,1,2,A,0
2022-09-04,Andorra,Granada,1,0,H,0
2022-09-04,Malaga,Albacete,1,2,A,0
2022-09-05,Oviedo,Leganes,1,1,D,1
2022-09-09,Las Palmas,Leganes,1,0,H,0
2022-09-10,Cartagena,Albacete,2,1,H,0
2022-09-10,Leganes,Villarreal B,4,1,H,0
2022-09-10,Lugo,Alaves,1,2,A,0
2022-09-10,Burgos,Oviedo,0,0,D,1
2022-09-11,Ibiza,Tenerife,1,0,H,0
2022-09-11,Ponferradina,Zaragoza,1,2,A,0
2022-09-11,Huesca,Malaga,1,0,H,0
2022-09-11,Mirandes,Andorra,1,1,D,1
2022-09-11,Sp Gijon,Santander,0,2,A,0
2022-09-12,Eibar,Granada,4,0,H,0
2022-09-16,Leganes,Cartagena,0,1,A,0
2022-09-17,Granada,Mirandes,2,1,H,0
2022-09-17,Villarreal B,Lugo,3,1,H,0
2022-09-17,Oviedo,Ibiza,0,1,A,0
2022-09-17,Andorra,Eibar,2,0,H,0
2022-09-17,Zaragoza,Sp Gijon,1,0,H,0
2022-09-18,Albacete,Ponferradina,0,1,A,0
2022-09-18,Santander,Las Palmas,0,0,D,1
2022-09-18,Leganes,Burgos,0,0,D,1
2022-09-18,Alaves,Huesca,2,1,H,0
2022-09-19,Tenerife,Malaga,3,1,H,0
2022-09-23,Sp Gijon,Ibiza,2,1,H,0
2022-09-24,Malaga,Villarreal B,1,1,D,1
2022-09-24,Ponferradina,Tenerife,2,2,D,1
2022-09-24,Mirandes,Zaragoza,2,0,H,0
2022-09-24,Huesca,Leganes,1,0,H,0
2022-09-25,Albacete,Andorra,1,1,D,1
2022-09-25,Eibar,Santander,2,1,H,0
2022-09-25,Burgos,Leganes,0,0,D,1
2022-09-25,Lugo,Oviedo,0,0,D,1
2022-09-26,Cartagena,Alaves,1,1,D,1
2022-09-26,Las Palmas,Granada,2,0,H,0
2022-09-30,Tenerife,Sp Gijon,1,1,D,1
2022-10-01,Andorra,Leganes,3,1,H,0
2022-10-01,Villarreal B,Burgos,0,0,D,1
2022-10-01,Santander,Malaga,0,0,D,1
2022-10-01,Mirandes,Las Palmas,3,3,D,1
2022-10-02,Alaves,Ponferradina,3,1,H,0
2022-10-02,Oviedo,Cartagena,1,3,A,0
2022-10-02,Ibiza,Lugo,3,2,H,0
2022-10-02,Granada,Huesca,0,0,D,1
2022-10-02,Leganes,Albacete,1,2,A,0
2022-10-03,Zaragoza,Eibar,0,0,D,1
2022-10-07,Sp Gijon,Villarreal B,3,1,H,0
2022-10-08,Huesca,Lugo,1,1,D,1
2022-10-08,Ponferradina,Granada,0,0,D,1
2022-10-08,Las Palmas,Ibiza,0,0,D,1
2022-10-08,Burgos,Alaves,3,0,H,0
2022-10-09,Albacete,Tenerife,1,1,D,1
2022-10-09,Leganes,Santander,0,1,A,0
2022-10-09,Malaga,Andorra,0,0,D,1
2022-10-09,Zaragoza,Oviedo,1,1,D,1
2022-10-09,Cartagena,Leganes,1,2,A,0
2022-10-10,Eibar,Mirandes,0,0,D,1
2022-10-12,Leganes,Malaga,1,0,H,0
2022-10-12,Alaves,Albacete,0,0,D,1
2022-10-12,Oviedo,Huesca,0,1,A,0
2022-10-12,Tenerife,Cartagena,0,0,D,1
2022-10-12,Lugo,Las Palmas,0,1,A,0
2022-10-12,Santander,Zaragoza,1,0,H,0
2022-10-12,Andorra,Burgos,0,1,A,0
2022-10-12,Villarreal B,Ponferradina,2,2,D,1
2022-10-13,Granada,Sp Gijon,5,0,H,0
2022-10-13,Ibiza,Eibar,1,2,A,0
2022-10-13,Mirandes,Leganes,0,1,A,0
2022-10-15,Huesca,Santander,0,0,D,1
2022-10-15,Ponferradina,Las Palmas,0,1,A,0
2022-10-15,Albacete,Oviedo,1,0,H,0
2022-10-15,Andorra,Alaves,0,1,A,0
2022-10-15,Zaragoza,Villarreal B,2,1,H,0
2022-10-16,Malaga,Lugo,3,2,H,0
2022-10-16,Leganes,Leganes,2,1,H,0
2022-10-16,Burgos,Mirandes,2,1,H,0
2022-10-16,Cartagena,Ibiza,2,0,H,0
2022-10-16,Tenerife,Granada,2,0,H,0
2022-10-17,Sp Gijon,Eibar,2,0,H,0
2022-10-21,Granada,Zaragoza,1,0,H,0
2022-10-22,Villarreal B,Andorra,1,0,H,0
2022-10-22,Mirandes,Huesca,1,1,D,1
2022-10-22,Ibiza,Leganes,1,2,A,0
2022-10-22,Alaves,Sp Gijon,0,0,D,1
2022-10-23,Santander,Ponferradina,1,1,D,1
2022-10-23,Lugo,Burgos,2,0,H,0
2022-10-23,Eibar,Albacete,1,1,D,1
2022-10-23,Leganes,Tenerife,2,1,H,0
2022-10-23,Las Palmas,Cartagena,1,0,H,0
2022-10-24,Oviedo,Malaga,1,0,H,0
2022-10-28,Tenerife,Zaragoza,0,2,A,0
2022-10-29,Alaves,Oviedo,2,1,H,0
2022-10-29,Leganes,Santander,0,0,D,1
2022-10-29,Burgos,Ibiza,2,0,H,0
2022-10-29,Andorra,Ponferradina,3,0,H,0
