Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2025-08-08,Gaziantep,Galatasaray,0,3,A,0
2025-08-09,Samsunspor,Genclerbirligi,2,1,H,0
2025-08-09,Antalyaspor,Kasimpasa,2,1,H,0
2025-08-10,Eyupspor,Antalyaspor,1,4,A,0
2025-08-10,Rizespor,Goztep,0,3,A,0
2025-08-11,Trabzonspor,Kocaelispor,1,0,H,0
2025-08-15,Galatasaray,Karagumruk,3,0,H,0
2025-08-16,Kocaelispor,Samsunspor,0,1,A,0
2025-08-16,Antalyaspor,Rizespor,0,0,D,1
2025-08-16,Goztep,Fenerbahce,0,0,D,1
2025-08-17,Besiktas,Eyupspor,2,1,H,0
2025-08-17,Antalyaspor,Gaziantep,3,0,H,0
2025-08-17,Buyuksehyr,Kocaelispor,1,1,D,1
2025-08-17,Genclerbirligi,Antalyaspor,0,1,A,0
2025-08-18,Kasimpasa,Trabzonspor,0,1,A,0
2025-08-22,Karagumruk,Goztep,0,2,A,0
2025-08-23,Fenerbahce,Kocaelispor,3,1,H,0
2025-08-23,Gaziantep,Genclerbirligi,2,1,H,0
2025-08-24,Trabzonspor,Antalyaspor,1,0,H,0
2025-08-24,Kocaelispor,Galatasaray,0,4,A,0
2025-08-25,Eyupspor,Antalyaspor,2,1,H,0
2025-08-29,Goztep,Antalyaspor,1,1,D,1
2025-08-30,Galatasaray,Rizespor,3,1,H,0
2025-08-30,Kasimpasa,Gaziantep,2,3,A,0
2025-08-30,Kocaelispor,Kocaelispor,1,1,D,1
2025-08-30,Antalyaspor,Karagumruk,1,2,A,0
2025-08-31,Trabzonspor,Samsunspor,1,1,D,1
2025-08-31,Antalyaspor,Besiktas,2,0,H,0
2025-08-31,Genclerbirligi,Fenerbahce,1,3,A,0
2025-08-31,Buyuksehyr,Eyupspor,0,0,D,1
2025-09-13,Samsunspor,Antalyaspor,1,2,A,0
2025-09-13,Antalyaspor,Antalyaspor,1,2,A,0
2025-09-13,Besiktas,Buyuksehyr,2,1,H,0
2025-09-13,Eyupspor,Galatasaray,0,2,A,0
2025-09-13,Karagumruk,Kasimpasa,0,1,A,0
2025-09-14,Gaziantep,Kocaelispor,2,0,H,0
2025-09-14,Kocaelispor,Goztep,1,1,D,1
2025-09-14,Fenerbahce,Trabzonspor,1,0,H,0
2025-09-15,Rizespor,Genclerbirligi,1,0,H,0
2025-09-17,Samsunspor,Kasimpasa,0,0,D,1
2025-09-17,Karagumruk,Buyuksehyr,0,2,A,0
2025-09-17,Fenerbahce,Antalyaspor,2,2,D,1
2025-09-19,Goztep,Besiktas,3,0,H,0
2025-09-20,Antalyaspor,Kocaelispor,1,1,D,1
2025-09-20,Genclerbirligi,Eyupspor,1,0,H,0
2025-09-20,Trabzonspor,Gaziantep,1,1,D,1
2025-09-21,Kasimpasa,Fenerbahce,1,1,D,1
2025-09-21,Buyuksehyr,Antalyaspor,1,1,D,1
2025-09-21,Kocaelispor,Rizespor,1,1,D,1
2025-09-21,Samsunspor,Karagumruk,3,2,H,0
2025-09-22,Galatasaray,Antalyaspor,3,1,H,0
2025-09-24,Kocaelispor,Besiktas,0,4,A,0
2025-09-26,Antalyaspor,Galatasaray,0,1,A,0
2025-09-27,Eyupspor,Goztep,0,0,D,1
2025-09-27,Gaziantep,Samsunspor,2,2,D,1
2025-09-27,Karagumruk,Trabzonspor,3,4,A,0
2025-09-28,Rizespor,Kasimpasa,1,2,A,0
2025-09-28,Fenerbahce,Antalyaspor,2,0,H,0
2025-09-28,Kocaelispor,Genclerbirligi,1,1,D,1
2025-09-28,Antalyaspor,Buyuksehyr,2,1,H,0
2025-09-29,Besiktas,Kocaelispor,3,1,H,0
2025-10-03,Antalyaspor,Rizespor,2,5,A,0
2025-10-03,Trabzonspor,Kocaelispor,4,0,H,0
2025-10-04,Kocaelispor,Eyupspor,1,0,H,0
2025-10-04,Galatasaray,Besiktas,1,1,D,1
2025-10-04,Genclerbirligi,Antalyaspor,2,2,D,1
2025-10-05,Karagumruk,Gaziantep,0,2,A,0
2025-10-05,Goztep,Buyuksehyr,1,0,H,0
2025-10-05,Samsunspor,Fenerbahce,0,0,D,1
2025-10-05,Kasimpasa,Antalyaspor,1,1,D,1
2025-10-18,Buyuksehyr,Galatasaray,1,2,A,0
2025-10-18,Antalyaspor,Kocaelispor,2,3,A,0
2025-10-18,Besiktas,Genclerbirligi,1,2,A,0
2025-10-18,Rizespor,Trabzonspor,1,2,A,0
2025-10-19,Gaziantep,Antalyaspor,3,2,H,0
2025-10-19,Antalyaspor,Goztep,1,0,H,0
2025-10-19,Kocaelispor,Samsunspor,1,3,A,0
2025-10-19,Fenerbahce,Karagumruk,2,1,H,0
2025-10-20,Eyupspor,Kasimpasa,2,0,H,0
2025-10-22,Rizespor,Buyuksehyr,0,0,D,1
2025-10-22,Antalyaspor,Besiktas,0,2,A,0
2025-10-24,Karagumruk,Kocaelispor,2,2,D,1
2025-10-25,Trabzonspor,Eyupspor,2,0,H,0
2025-10-25,Kocaelispor,Antalyaspor,2,0,H,0
2025-10-26,Antalyaspor,Buyuksehyr,0,4,A,0
2025-10-26,Kasimpasa,Besiktas,1,1,D,1
2025-10-26,Genclerbirligi,Antalyaspor,1,2,A,0
2025-10-26,Galatasaray,Goztep,3,1,H,0
2025-10-27,Samsunspor,Rizespor,1,1,D,1
2025-10-27,Gaziantep,Fenerbahce,0,4,A,0
2025-10-31,Buyuksehyr,Kocaelispor,1,0,H,0
2025-11-01,Goztep,Genclerbirligi,1,0,H,0
2025-11-01,Galatasaray,Trabzonspor,0,0,D,1
2025-11-02,Antalyaspor,Samsunspor,1,3,A,0
2025-11-02,Kocaelispor,Kasimpasa,3,2,H,0
2025-11-02,Besiktas,Fenerbahce,2,3,A,0
2025-11-03,Eyupspor,Antalyaspor,0,1,A,0
2025-11-03,Rizespor,Karagumruk,1,0,H,0
2025-11-03,Antalyaspor,Gaziantep,0,0,D,1
2025-11-07,Genclerbirligi,Buyuksehyr,2,1,H,0
2025-11-08,Antalyaspor,Besiktas,1,3,A,0
2025-11-08,Kasimpasa,Goztep,0,2,A,0
2025-11-08,Gaziantep,Rizespor,2,2,D,1
2025-11-08,Trabzonspor,Antalyaspor,1,1,D,1
2025-11-09,Fenerbahce,Kocaelispor,4,2,H,0
2025-11-09,Samsunspor,Eyupspor,1,0,H,0
2025-11-09,Karagumruk,Antalyaspor,2,0,H,0
2025-11-09,Kocaelispor,Galatasaray,1,0,H,0
2025-11-22,Eyupspor,Karagumruk,1,1,D,1
2025-11-22,Galatasaray,Genclerbirligi,3,2,H,0
2025-11-22,Kocaelispor,Gaziantep,0,3,A,0
2025-11-23,Goztep,Kocaelispor,0,0,D,1
2025-11-23,Besiktas,Samsunspor,1,1,D,1
2025-11-23,Rizespor,Fenerbahce,2,5,A,0
2025-11-23,Antalyaspor,Kasimpasa,1,2,A,0
2025-11-24,Buyuksehyr,Trabzonspor,3,4,A,0
2025-11-24,Antalyaspor,Antalyaspor,0,0,D,1
2025-11-28,Kocaelispor,Genclerbirligi,1,0,H,0
2025-11-29,Trabzonspor,Antalyaspor,3,1,H,0
2025-11-29,Kasimpasa,Buyuksehyr,1,3,A,0
2025-11-29,Gaziantep,Eyupspor,1,2,A,0
2025-11-29,Rizespor,Kocaelispor,0,1,A,0
2025-11-30,Karagumruk,Besiktas,0,2,A,0
2025-11-30,Antalyaspor,Goztep,1,2,A,0
2025-12-01,Samsunspor,Antalyaspor,1,1,D,1
2025-12-01,Fenerbahce,Galatasaray,1,1,D,1
