Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_draw
2022-02-26,Toronto FC,CF Montréal,3,4,A,0
2022-02-26,Los Angeles Galaxy,Sporting Kansas City,2,2,D,1
2022-02-26,Seattle Sounders,Houston Dynamo,2,1,H,0
2022-02-26,CF Montréal,Columbus Crew,2,2,D,1
2022-02-26,Nashville SC,Los Angeles Galaxy,1,1,D,1
2022-02-26,New York RB,New England Revolution,2,1,H,0
2022-02-26,Atlanta United FC,Toronto FC,4,2,H,0
2022-02-26,Philadelphia Union,Orlando City,5,1,H,0
2022-02-26,Chicago Fire,Inter Miami CF,3,1,H,0
2022-02-26,Colorado Rapids,Vancouver Whitecaps,3,1,H,0
2022-02-26,CF Montréal,Chicago Fire,3,2,H,0
2022-02-26,Inter Miami CF,Columbus Crew,2,1,H,0
2022-02-26,Minnesota United FC,Los Angeles Galaxy,1,1,D,1
2022-02-26,Houston Dynamo,New England Revolution,3,1,H,0
2022-02-26,Colorado Rapids,San Jose Earthquakes,2,1,H,0
2022-02-26,Chicago Fire,Charlotte FC,2,3,A,0
2022-02-26,Sporting Kansas City,Minnesota United FC,4,1,H,0
2022-02-26,Austin FC,Nashville SC,1,1,D,1
2022-02-26,Real Salt Lake,FC Cincinnati,1,2,A,0
2022-02-26,Vancouver Whitecaps,Seattle Sounders,2,1,H,0
2022-02-26,San Jose Earthquakes,FC Dallas,1,1,D,1
2022-02-26,Los Angeles Galaxy,Colorado Rapids,4,1,H,0
2022-02-26,Columbus Crew,Portland Timbers,1,1,D,1
2022-02-26,D.C. United,Inter Miami CF,2,3,A,0
2022-02-26,Los Angeles Galaxy,Houston Dynamo,3,1,H,0
2022-02-26,Seattle Sounders,FC Cincinnati,1,1,D,1
2022-02-26,New England Revolution,Atlanta United FC,2,1,H,0
2022-02-26,FC Cincinnati,Chicago Fire,2,3,A,0
2022-02-26,Los Angeles Galaxy,Real Salt Lake,1,1,D,1
2022-02-26,Portland Timbers,Los Angeles Galaxy,1,2,A,0
2022-02-26,Nashville SC,Houston Dynamo,1,2,A,0
2022-02-26,Charlotte FC,Columbus Crew,2,2,D,1
2022-02-26,Inter Miami CF,Orlando City,4,1,H,0
2022-02-26,Chicago Fire,New England Revolution,1,1,D,1
2022-02-26,D.C. United,FC Cincinnati,2,5,A,0
2022-02-26,Inter Miami CF,CF Montréal,1,3,A,0
2022-02-26,Orlando City,Columbus Crew,2,1,H,0
2022-02-26,Austin FC,Colorado Rapids,1,1,D,1
2022-02-26,FC Dallas,Sporting Kansas City,2,1,H,0
2022-02-26,Real Salt Lake,Portland Timbers,3,1,H,0
2022-02-26,Seattle Sounders,San Jose Earthquakes,2,2,D,1
2022-02-26,Austin FC,Real Salt Lake,3,1,H,0
2022-02-26,FC Dallas,Minnesota United FC,5,4,H,0
2022-02-26,Los Angeles Galaxy,Los Angeles Galaxy,3,2,H,0
2022-02-26,Austin FC,FC Dallas,2,1,H,0
2022-02-26,Philadelphia Union,New York RB,3,1,H,0
2022-02-26,CF Montréal,New York RB,1,3,A,0
2022-02-26,FC Dallas,Los Angeles Galaxy,2,1,H,0
2022-02-26,Columbus Crew,New York RB,2,1,H,0
2022-02-26,New York RB,Orlando City,2,1,H,0
2022-02-26,Chicago Fire,Atlanta United FC,0,0,D,1
2022-02-26,Sporting Kansas City,Austin FC,0,2,A,0
2022-02-26,Seattle Sounders,FC Dallas,1,0,H,0
2022-02-26,Charlotte FC,D.C. United,3,0,H,0
2022-02-26,Columbus Crew,CF Montréal,1,2,A,0
2022-02-26,Portland Timbers,Nashville SC,1,1,D,1
2022-02-26,San Jose Earthquakes,Inter Miami CF,0,1,A,0
2022-02-26,Vancouver Whitecaps,Houston Dynamo,2,1,H,0
2022-02-26,Atlanta United FC,Seattle Sounders,2,1,H,0
2022-02-26,Charlotte FC,Chicago Fire,2,3,A,0
2022-02-26,CF Montréal,Inter Miami CF,2,2,D,1
2022-02-26,D.C. United,New York RB,0,0,D,1
2022-02-26,FC Cincinnati,Philadelphia Union,3,1,H,0
2022-02-26,Orlando City,New England Revolution,0,3,A,0
2022-02-26,Nashville SC,Toronto FC,3,4,A,0
2022-02-26,Sporting Kansas City,Los Angeles Galaxy,4,2,H,0
2022-02-26,Austin FC,San Jose Earthquakes,3,3,D,1
2022-02-26,Colorado Rapids,Minnesota United FC,4,3,H,0
2022-02-26,Real Salt Lake,Los Angeles Galaxy,1,4,A,0
2022-02-26,Portland Timbers,FC Dallas,1,1,D,1
2022-02-26,FC Cincinnati,Atlanta United FC,2,2,D,1
2022-02-26,New England Revolution,D.C. United,1,0,H,0
2022-02-26,Philadelphia Union,Chicago Fire,4,1,H,0
2022-02-26,Toronto FC,Portland Timbers,3,1,H,0
2022-02-26,Inter Miami CF,New York RB,3,2,H,0
2022-02-26,Austin FC,Sporting Kansas City,4,3,H,0
2022-02-26,Colorado Rapids,Columbus Crew,1,1,D,1
2022-02-26,FC Dallas,San Jose Earthquakes,4,1,H,0
2022-02-26,Houston Dynamo,CF Montréal,2,3,A,0
2022-02-26,Los Angeles Galaxy,Vancouver Whitecaps,5,2,H,0
2022-02-26,Los Angeles Galaxy,Charlotte FC,5,0,H,0
2022-02-26,Nashville SC,Minnesota United FC,1,2,A,0
2022-02-26,Seattle Sounders,Real Salt Lake,1,2,A,0
2022-02-26,Los Angeles Galaxy,D.C. United,1,0,H,0
2022-02-26,Atlanta United FC,New York RB,1,2,A,0
2022-02-26,Toronto FC,New England Revolution,2,2,D,1
2022-02-26,New York RB,Charlotte FC,1,3,A,0
2022-02-26,FC Dallas,Philadelphia Union,1,0,H,0
2022-02-26,Vancouver Whitecaps,Colorado Rapids,2,1,H,0
2022-02-26,Los Angeles Galaxy,Seattle Sounders,3,3,D,1
2022-02-26,CF Montréal,New England Revolution,4,0,H,0
2022-02-26,D.C. United,Philadelphia Union,0,6,A,0
2022-02-26,Inter Miami CF,Toronto FC,2,1,H,0
2022-02-26,Minnesota United FC,Austin FC,2,1,H,0
2022-02-26,Colorado Rapids,Houston Dynamo,1,1,D,1
2022-02-26,Real Salt Lake,Vancouver Whitecaps,1,1,D,1
2022-02-26,Chicago Fire,New York RB,0,2,A,0
2022-02-26,Columbus Crew,Atlanta United FC,2,2,D,1
2022-02-26,Charlotte FC,Orlando City,1,2,A,0
2022-02-26,Sporting Kansas City,Portland Timbers,4,1,H,0
2022-02-26,Nashville SC,FC Dallas,4,0,H,0
2022-02-26,Austin FC,Los Angeles Galaxy,4,1,H,0
2022-02-26,Portland Timbers,Seattle Sounders,2,1,H,0
2022-02-26,Minnesota United FC,Houston Dynamo,2,1,H,0
2022-02-26,New York RB,Inter Miami CF,3,1,H,0
2022-02-26,FC Cincinnati,Columbus Crew,2,2,D,1
2022-02-26,Philadelphia Union,Colorado Rapids,6,0,H,0
2022-02-26,Chicago Fire,CF Montréal,0,2,A,0
2022-02-26,Charlotte FC,Toronto FC,0,2,A,0
2022-02-26,Sporting Kansas City,San Jose Earthquakes,1,0,H,0
2022-02-26,FC Dallas,Real Salt Lake,1,1,D,1
2022-02-26,Vancouver Whitecaps,Nashville SC,0,3,A,0
2022-02-26,Atlanta United FC,D.C. United,3,2,H,0
2022-02-26,Orlando City,New York RB,2,1,H,0
2022-02-26,New England Revolution,Los Angeles Galaxy,1,2,A,0
2022-02-26,Philadelphia Union,Atlanta United FC,4,1,H,0
2022-02-26,Columbus Crew,Inter Miami CF,1,0,H,0
2022-02-26,New England Revolution,Chicago Fire,0,0,D,1
2022-02-26,Toronto FC,Los Angeles Galaxy,2,2,D,1
2022-02-26,Nashville SC,Colorado Rapids,4,1,H,0
2022-02-26,Orlando City,Seattle Sounders,3,2,H,0
2022-02-26,Real Salt Lake,Minnesota United FC,3,0,H,0
2022-02-26,Austin FC,Portland Timbers,1,2,A,0
2022-02-26,New York RB,D.C. United,1,2,A,0
2022-02-26,Minnesota United FC,FC Dallas,0,3,A,0
2022-02-26,Columbus Crew,Chicago Fire,0,0,D,1
2022-02-26,New York RB,Philadelphia Union,0,2,A,0
2022-02-26,FC Cincinnati,Charlotte FC,2,0,H,0
2022-02-26,Nashville SC,Austin FC,3,0,H,0
2022-02-26,Portland Timbers,Atlanta United FC,2,1,H,0
2022-02-26,D.C. United,Colorado Rapids,0,0,D,1
2022-02-26,New York RB,FC Cincinnati,1,2,A,0
2022-02-26,San Jose Earthquakes,Los Angeles Galaxy,2,3,A,0
2022-02-26,Houston Dynamo,Los Angeles Galaxy,1,3,A,0
2022-02-26,Austin FC,New York RB,3,4,A,0
2022-02-26,Los Angeles Galaxy,Atlanta United FC,2,0,H,0
2022-02-26,Minnesota United FC,Portland Timbers,4,4,D,1
2022-02-26,Philadelphia Union,Houston Dynamo,6,0,H,0
2022-02-26,Inter Miami CF,FC Cincinnati,4,4,D,1
2022-02-26,Nashville SC,Vancouver Whitecaps,1,1,D,1
2022-02-26,New England Revolution,Toronto FC,0,0,D,1
2022-02-26,San Jose Earthquakes,Real Salt Lake,2,2,D,1
2022-02-26,D.C. United,Orlando City,2,1,H,0
2022-02-26,New York RB,Colorado Rapids,4,5,A,0
