league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
B1,2122,2021-07-23,Standard,Genk,3.59,3.59,0.0
B1,2122,2021-07-24,Oud-Heverlee Leuven,Waregem,3.68,3.68,0.0
B1,2122,2021-07-24,Kortrijk,Seraing,3.75,3.75,0.0
B1,2122,2021-07-24,Oostende,Charleroi,3.45,3.45,0.0
B1,2122,2021-07-25,Mechelen,Antwerp,3.46,3.46,0.0
B1,2122,2021-07-25,Cercle Brugge,Eupen,6.77,6.77,0.0
B1,2122,2021-07-25,Anderlecht,St. Gilloise,4.18,4.18,0.0
B1,2122,2021-07-25,St Truiden,Genk,3.8,3.8,0.0
B1,2122,2021-07-27,Beerschot VA,Cercle Brugge,3.41,3.41,0.0
B1,2122,2021-07-30,Genk,Oostende,4.19,4.19,0.0
B1,2122,2021-07-31,Charleroi,St Truiden,3.58,3.58,0.0
B1,2122,2021-07-31,Cercle Brugge,Oud-Heverlee Leuven,3.65,3.65,0.0
B1,2122,2021-07-31,Seraing,Mechelen,3.85,3.85,0.0
B1,2122,2021-07-31,Eupen,Anderlecht,3.44,3.44,0.0
B1,2122,2021-08-01,St. Gilloise,Cercle Brugge,3.62,3.62,0.0
B1,2122,2021-08-01,Waregem,Standard,3.3,3.3,0.0
B1,2122,2021-08-01,Genk,Beerschot VA,4.75,4.75,0.0
B1,2122,2021-08-01,Antwerp,Kortrijk,3.53,3.53,0.0
B1,2122,2021-08-06,Cercle Brugge,Cercle Brugge,5.45,5.45,0.0
B1,2122,2021-08-07,Beerschot VA,St. Gilloise,3.73,3.73,0.0
B1,2122,2021-08-07,Mechelen,Eupen,4.08,4.08,0.0
B1,2122,2021-08-07,St Truiden,Waregem,3.3,3.3,0.0
B1,2122,2021-08-07,Kortrijk,Genk,3.62,3.62,0.0
B1,2122,2021-08-08,Standard,Antwerp,3.36,3.36,0.0
B1,2122,2021-08-08,Oud-Heverlee Leuven,Charleroi,3.52,3.52,0.0
B1,2122,2021-08-08,Anderlecht,Seraing,4.93,4.93,0.0
B1,2122,2021-08-08,Oostende,Genk,3.71,3.71,0.0
B1,2122,2021-08-13,Charleroi,Antwerp,3.42,3.42,0.0
B1,2122,2021-08-14,St. Gilloise,Kortrijk,4.02,4.02,0.0
B1,2122,2021-08-14,Eupen,St Truiden,3.75,3.75,0.0
B1,2122,2021-08-14,Seraing,Oostende,3.72,3.72,0.0
B1,2122,2021-08-14,Genk,Oud-Heverlee Leuven,4.33,4.33,0.0
B1,2122,2021-08-15,Beerschot VA,Standard,3.64,3.64,0.0
B1,2122,2021-08-15,Genk,Mechelen,3.66,3.66,0.0
B1,2122,2021-08-15,Cercle Brugge,Anderlecht,3.52,3.52,0.0
B1,2122,2021-08-15,Waregem,Cercle Brugge,4.6,4.6,0.0
B1,2122,2021-08-20,Standard,Oostende,3.77,3.77,0.0
B1,2122,2021-08-21,Seraing,Cercle Brugge,3.4,3.4,0.0
B1,2122,2021-08-21,Oud-Heverlee Leuven,Eupen,3.67,3.67,0.0
B1,2122,2021-08-21,St Truiden,Kortrijk,3.09,3.09,0.0
B1,2122,2021-08-22,Waregem,Charleroi,3.57,3.57,0.0
B1,2122,2021-08-22,Cercle Brugge,Beerschot VA,6.85,6.85,0.0
B1,2122,2021-08-22,Mechelen,St. Gilloise,3.51,3.51,0.0
B1,2122,2021-08-27,Kortrijk,Mechelen,3.33,3.33,0.0
B1,2122,2021-08-28,Charleroi,Beerschot VA,3.98,3.98,0.0
B1,2122,2021-08-28,Cercle Brugge,St Truiden,3.58,3.58,0.0
B1,2122,2021-08-28,Eupen,Seraing,3.99,3.99,0.0
B1,2122,2021-08-28,St. Gilloise,Standard,3.69,3.69,0.0
B1,2122,2021-08-29,Genk,Cercle Brugge,3.24,3.24,0.0
B1,2122,2021-08-29,Antwerp,Oud-Heverlee Leuven,3.97,3.97,0.0
B1,2122,2021-08-29,Genk,Anderlecht,3.22,3.22,0.0
B1,2122,2021-08-29,Oostende,Waregem,3.65,3.65,0.0
B1,2122,2021-09-10,Cercle Brugge,Oostende,5.2,5.2,0.0
B1,2122,2021-09-11,Eupen,Antwerp,3.66,3.66,0.0
B1,2122,2021-09-11,Waregem,Cercle Brugge,3.56,3.56,0.0
B1,2122,2021-09-12,Anderlecht,Mechelen,4.08,4.08,0.0
B1,2122,2021-09-12,Genk,Charleroi,4.24,4.24,0.0
B1,2122,2021-09-12,Seraing,Standard,3.61,3.61,0.0
B1,2122,2021-09-12,Genk,St. Gilloise,3.69,3.69,0.0
B1,2122,2021-09-12,Oud-Heverlee Leuven,Kortrijk,3.59,3.59,0.0
B1,2122,2021-09-13,Beerschot VA,St Truiden,3.45,3.45,0.0
B1,2122,2021-09-17,Cercle Brugge,Eupen,3.52,3.52,0.0
B1,2122,2021-09-18,Oostende,Beerschot VA,3.91,3.91,0.0
B1,2122,2021-09-18,Mechelen,Oud-Heverlee Leuven,4.07,4.07,0.0
B1,2122,2021-09-18,St. Gilloise,Waregem,6.5,6.5,0.0
B1,2122,2021-09-18,Charleroi,Cercle Brugge,4.09,4.09,0.0
B1,2122,2021-09-19,St Truiden,Genk,3.78,3.78,0.0
B1,2122,2021-09-19,Antwerp,Seraing,4.42,4.42,0.0
B1,2122,2021-09-19,Standard,Anderlecht,3.49,3.49,0.0
B1,2122,2021-09-19,Kortrijk,Genk,3.95,3.95,0.0
B1,2122,2021-09-22,Antwerp,Genk,3.8,3.8,0.0
B1,2122,2021-09-23,Anderlecht,Genk,3.58,3.58,0.0
B1,2122,2021-09-24,Cercle Brugge,Oud-Heverlee Leuven,6.65,6.65,0.0
B1,2122,2021-09-25,Beerschot VA,Eupen,3.64,3.64,0.0
B1,2122,2021-09-25,Waregem,Kortrijk,3.71,3.71,0.0
B1,2122,2021-09-25,Standard,St Truiden,3.54,3.54,0.0
B1,2122,2021-09-26,St. Gilloise,Antwerp,4.24,4.24,0.0
B1,2122,2021-09-26,Genk,Cercle Brugge,4.89,4.89,0.0
B1,2122,2021-09-26,Oostende,Anderlecht,3.92,3.92,0.0
B1,2122,2021-09-26,Charleroi,Mechelen,3.79,3.79,0.0
B1,2122,2021-09-26,Genk,Seraing,5.46,5.46,0.0
B1,2122,2021-10-01,Mechelen,Standard,3.66,3.66,0.0
B1,2122,2021-10-02,Kortrijk,Charleroi,3.59,3.59,0.0
B1,2122,2021-10-02,Cercle Brugge,St. Gilloise,3.98,3.98,0.0
B1,2122,2021-10-02,St Truiden,Oostende,3.66,3.66,0.0
B1,2122,2021-10-02,Oud-Heverlee Leuven,Beerschot VA,3.8,3.8,0.0
B1,2122,2021-10-03,Anderlecht,Cercle Brugge,3.51,3.51,0.0
B1,2122,2021-10-03,Seraing,Waregem,3.83,3.83,0.0
B1,2122,2021-10-03,Antwerp,Genk,3.71,3.71,0.0
B1,2122,2021-10-03,Eupen,Genk,3.84,3.84,0.0
B1,2122,2021-10-15,Cercle Brugge,Kortrijk,6.38,6.38,0.0
B1,2122,2021-10-16,St. Gilloise,Seraing,5.11,5.11,0.0
B1,2122,2021-10-16,Oostende,Cercle Brugge,3.65,3.65,0.0
B1,2122,2021-10-16,Waregem,Antwerp,4.22,4.22,0.0
B1,2122,2021-10-16,Standard,Oud-Heverlee Leuven,3.8,3.8,0.0
B1,2122,2021-10-17,St Truiden,Anderlecht,3.66,3.66,0.0
B1,2122,2021-10-17,Beerschot VA,Mechelen,3.55,3.55,0.0
B1,2122,2021-10-17,Charleroi,Genk,3.62,3.62,0.0
B1,2122,2021-10-17,Genk,Eupen,4.17,4.17,0.0
B1,2122,2021-10-22,Seraing,Charleroi,3.65,3.65,0.0
B1,2122,2021-10-23,Cercle Brugge,Standard,3.39,3.39,0.0
B1,2122,2021-10-23,Kortrijk,Oostende,3.63,3.63,0.0
B1,2122,2021-10-23,Mechelen,Waregem,4.46,4.46,0.0
B1,2122,2021-10-23,Eupen,St. Gilloise,3.85,3.85,0.0
B1,2122,2021-10-24,Antwerp,Cercle Brugge,3.92,3.92,0.0
B1,2122,2021-10-24,Anderlecht,Beerschot VA,5.52,5.52,0.0
B1,2122,2021-10-24,Genk,Genk,3.69,3.69,0.0
B1,2122,2021-10-24,Oud-Heverlee Leuven,St Truiden,3.42,3.42,0.0
B1,2122,2021-10-29,Oostende,Mechelen,3.59,3.59,0.0
B1,2122,2021-10-30,Charleroi,Eupen,3.76,3.76,0.0
B1,2122,2021-10-30,Beerschot VA,Seraing,3.34,3.34,0.0
B1,2122,2021-10-30,Standard,Kortrijk,3.54,3.54,0.0
B1,2122,2021-10-30,St Truiden,Cercle Brugge,4.15,4.15,0.0
B1,2122,2021-10-31,Waregem,Genk,4.14,4.14,0.0
B1,2122,2021-10-31,Cercle Brugge,Antwerp,3.41,3.41,0.0
B1,2122,2021-10-31,Anderlecht,Oud-Heverlee Leuven,5.78,5.78,0.0
B1,2122,2021-10-31,Genk,St. Gilloise,3.45,3.45,0.0
B1,2122,2021-11-05,Oud-Heverlee Leuven,Oostende,3.94,3.94,0.0
B1,2122,2021-11-06,Eupen,Waregem,4.26,4.26,0.0
B1,2122,2021-11-06,Kortrijk,Beerschot VA,3.97,3.97,0.0
B1,2122,2021-11-06,Mechelen,St Truiden,3.81,3.81,0.0
B1,2122,2021-11-06,St. Gilloise,Charleroi,3.96,3.96,0.0
B1,2122,2021-11-07,Cercle Brugge,Standard,5.3,5.3,0.0
B1,2122,2021-11-07,Seraing,Genk,4.23,4.23,0.0
B1,2122,2021-11-07,Antwerp,Anderlecht,3.63,3.63,0.0
B1,2122,2021-11-07,Genk,Cercle Brugge,4.36,4.36,0.0
B1,2122,2021-11-19,Mechelen,Cercle Brugge,4.02,4.02,0.0
B1,2122,2021-11-20,Cercle Brugge,Charleroi,3.51,3.51,0.0
B1,2122,2021-11-20,Oud-Heverlee Leuven,Seraing,3.99,3.99,0.0
B1,2122,2021-11-20,Waregem,Genk,4.8,4.8,0.0
B1,2122,2021-11-20,Standard,Eupen,3.71,3.71,0.0
B1,2122,2021-11-21,Anderlecht,Kortrijk,4.75,4.75,0.0
B1,2122,2021-11-21,St Truiden,Antwerp,3.56,3.56,0.0
B1,2122,2021-11-21,Oostende,St. Gilloise,4.25,4.25,0.0
B1,2122,2021-11-21,Beerschot VA,Genk,3.98,3.98,0.0
B1,2122,2021-11-26,St. Gilloise,Oud-Heverlee Leuven,5.88,5.88,0.0
B1,2122,2021-11-27,Seraing,St Truiden,3.36,3.36,0.0
B1,2122,2021-11-27,Cercle Brugge,Mechelen,3.58,3.58,0.0
B1,2122,2021-11-27,Eupen,Kortrijk,3.5,3.5,0.0
B1,2122,2021-11-27,Charleroi,Anderlecht,3.6,3.6,0.0
B1,2122,2021-11-28,Genk,Cercle Brugge,3.67,3.67,0.0
B1,2122,2021-11-28,Waregem,Beerschot VA,3.63,3.63,0.0
B1,2122,2021-11-28,Genk,Standard,4.16,4.16,0.0
B1,2122,2021-11-28,Antwerp,Oostende,3.95,3.95,0.0
B1,2122,2021-12-03,St Truiden,St. Gilloise,3.38,3.38,0.0
B1,2122,2021-12-04,Oud-Heverlee Leuven,Genk,3.95,3.95,0.0
B1,2122,2021-12-04,Kortrijk,Cercle Brugge,3.51,3.51,0.0
B1,2122,2021-12-04,Oostende,Eupen,3.61,3.61,0.0
B1,2122,2021-12-04,Cercle Brugge,Seraing,5.94,5.94,0.0
B1,2122,2021-12-05,Beerschot VA,Antwerp,3.56,3.56,0.0
