league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
DK1,1718,2017-01-10,FC Koln,RB Leipzig,3.5,3.5,0.0
DK1,1718,2017-01-10,Hertha,Bayern Munich,5.0,5.0,0.0
DK1,1718,2017-01-10,Freiburg,Heidenheim,3.5,3.5,0.0
DK1,1718,2017-02-12,Leverkusen,Dortmund,3.6,3.6,0.0
DK1,1718,2017-02-12,Mainz,Augsburg,3.25,3.25,0.0
DK1,1718,2017-02-12,Schalke 04,FC Koln,4.33,4.33,0.0
DK1,1718,2017-02-12,Bayern Munich,Hannover,9.0,9.0,0.0
DK1,1718,2017-03-11,Ein Frankfurt,Werder Bremen,3.75,3.75,0.0
DK1,1718,2017-03-12,Hertha,Ein Frankfurt,3.25,3.25,0.0
DK1,1718,2017-04-11,Dortmund,Bayern Munich,3.79,3.79,0.0
DK1,1718,2017-04-11,M'gladbach,Mainz,4.0,4.0,0.0
DK1,1718,2017-04-11,RB Leipzig,Hannover,4.5,4.5,0.0
DK1,1718,2017-04-11,Hamburg,Stuttgart,3.39,3.39,0.0
DK1,1718,2017-04-11,Augsburg,Leverkusen,3.6,3.6,0.0
DK1,1718,2017-05-11,Wolfsburg,Hertha,3.39,3.39,0.0
DK1,1718,2017-08-18,Bayern Munich,Leverkusen,6.0,6.0,0.0
DK1,1718,2017-08-25,FC Koln,Hamburg,3.4,3.4,0.0
DK1,1718,2017-08-26,Leverkusen,Heidenheim,3.6,3.6,0.0
DK1,1718,2017-08-26,Augsburg,M'gladbach,3.4,3.4,0.0
DK1,1718,2017-08-27,RB Leipzig,Freiburg,5.0,5.0,0.0
DK1,1718,2017-09-09,Wolfsburg,Hannover,3.6,3.6,0.0
DK1,1718,2017-09-09,Mainz,Leverkusen,3.4,3.4,0.0
DK1,1718,2017-09-12,Dortmund,Werder Bremen,5.25,5.25,0.0
DK1,1718,2017-09-12,RB Leipzig,Mainz,4.75,4.75,0.0
DK1,1718,2017-09-12,M'gladbach,Schalke 04,3.39,3.39,0.0
DK1,1718,2017-09-16,Werder Bremen,Schalke 04,3.5,3.5,0.0
DK1,1718,2017-09-16,RB Leipzig,M'gladbach,3.8,3.8,0.0
DK1,1718,2017-09-16,Ein Frankfurt,Augsburg,3.5,3.5,0.0
DK1,1718,2017-09-17,Heidenheim,Hertha,3.8,3.8,0.0
DK1,1718,2017-09-19,Wolfsburg,Werder Bremen,3.5,3.5,0.0
DK1,1718,2017-09-20,Hertha,Leverkusen,3.4,3.4,0.0
DK1,1718,2017-09-20,Freiburg,Hannover,3.25,3.25,0.0
DK1,1718,2017-09-20,Mainz,Heidenheim,3.4,3.4,0.0
DK1,1718,2017-09-22,Bayern Munich,Wolfsburg,8.5,8.5,0.0
DK1,1718,2017-09-23,Dortmund,M'gladbach,4.75,4.75,0.0
DK1,1718,2017-09-23,RB Leipzig,Ein Frankfurt,3.8,3.8,0.0
DK1,1718,2017-09-29,Schalke 04,Leverkusen,3.4,3.4,0.0
DK1,1718,2017-09-30,M'gladbach,Hannover,3.6,3.6,0.0
DK1,1718,2017-09-30,Augsburg,Dortmund,4.5,4.5,0.0
DK1,1718,2017-09-30,Wolfsburg,Mainz,3.4,3.4,0.0
DK1,1718,2017-09-30,Ein Frankfurt,Stuttgart,3.5,3.5,0.0
DK1,1718,2017-10-09,Hertha,Werder Bremen,3.6,3.6,0.0
DK1,1718,2017-10-09,Schalke 04,Stuttgart,3.75,3.75,0.0
DK1,1718,2017-10-12,FC Koln,Freiburg,3.25,3.25,0.0
DK1,1718,2017-10-12,Augsburg,Hertha,3.29,3.29,0.0
DK1,1718,2017-10-13,Stuttgart,FC Koln,3.6,3.6,0.0
