league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
E1,1617,2016-01-10,Wolves,Norwich,3.4,3.4,0.0
E1,1617,2016-01-10,Fulham,QPR,3.5,3.5,0.0
E1,1617,2016-01-10,Reading,Derby,3.25,3.25,0.0
E1,1617,2016-01-10,Leeds,Burnley,3.4,3.4,0.0
E1,1617,2016-01-10,Sheffield United,Brighton,3.3,3.3,0.0
E1,1617,2016-01-10,Bristol City,Nott'm Forest,3.8,3.8,0.0
E1,1617,2016-01-12,QPR,Wolves,3.2,3.2,0.0
E1,1617,2016-02-12,Nott'm Forest,Newcastle,3.75,3.75,0.0
E1,1617,2016-03-12,Blackburn,Huddersfield,3.25,3.25,0.0
E1,1617,2016-03-12,Sheffield United,Preston,3.6,3.6,0.0
E1,1617,2016-03-12,Luton,Rotherham,3.75,3.75,0.0
E1,1617,2016-05-11,Norwich,Leeds,3.8,3.8,0.0
E1,1617,2016-05-11,Nott'm Forest,QPR,3.5,3.5,0.0
E1,1617,2016-05-11,Rotherham,Preston,3.5,3.5,0.0
E1,1617,2016-05-11,Aston Villa,Blackburn,3.8,3.8,0.0
E1,1617,2016-05-11,Sheffield United,Ipswich,3.6,3.6,0.0
E1,1617,2016-05-11,Wolves,Derby,3.25,3.25,0.0
E1,1617,2016-05-11,Huddersfield,Birmingham,3.3,3.3,0.0
E1,1617,2016-05-11,Newcastle,Cardiff,4.75,4.75,0.0
E1,1617,2016-06-08,Nott'm Forest,Luton,3.4,3.4,0.0
E1,1617,2016-06-08,Rotherham,Wolves,3.25,3.25,0.0
E1,1617,2016-06-08,Bristol City,Wigan,3.3,3.3,0.0
E1,1617,2016-06-08,Huddersfield,Brentford,3.6,3.6,0.0
E1,1617,2016-06-08,Blackburn,Norwich,3.25,3.25,0.0
E1,1617,2016-06-08,Ipswich,Burnley,3.4,3.4,0.0
E1,1617,2016-08-13,Newcastle,Huddersfield,3.75,3.75,0.0
E1,1617,2016-08-13,Luton,Bristol City,3.4,3.4,0.0
E1,1617,2016-08-13,Preston,Fulham,3.3,3.3,0.0
E1,1617,2016-08-13,Leeds,Birmingham,3.3,3.3,0.0
E1,1617,2016-08-16,Luton,Sheffield United,3.3,3.3,0.0
E1,1617,2016-08-16,Leeds,Fulham,3.4,3.4,0.0
E1,1617,2016-08-16,Wigan,Birmingham,3.4,3.4,0.0
E1,1617,2016-08-16,Aston Villa,Huddersfield,3.5,3.5,0.0
E1,1617,2016-08-17,Newcastle,Reading,3.75,3.75,0.0
E1,1617,2016-08-17,Cardiff,Blackburn,3.4,3.4,0.0
E1,1617,2016-08-17,Burnley,QPR,3.4,3.4,0.0
E1,1617,2016-08-20,Huddersfield,Burnley,3.6,3.6,0.0
E1,1617,2016-08-20,Nott'm Forest,Wigan,3.4,3.4,0.0
E1,1617,2016-08-20,Birmingham,Wolves,3.3,3.3,0.0
E1,1617,2016-08-20,Reading,Brighton,3.4,3.4,0.0
E1,1617,2016-08-20,Blackburn,Luton,3.3,3.3,0.0
E1,1617,2016-08-20,Fulham,Cardiff,3.5,3.5,0.0
E1,1617,2016-08-21,Ipswich,Norwich,3.4,3.4,0.0
E1,1617,2016-08-27,Brentford,Sheffield United,3.25,3.25,0.0
E1,1617,2016-08-27,Bristol City,Aston Villa,3.3,3.3,0.0
E1,1617,2016-08-27,Nott'm Forest,Leeds,3.3,3.3,0.0
E1,1617,2016-09-09,Reading,Ipswich,3.3,3.3,0.0
E1,1617,2016-09-13,Fulham,Luton,3.8,3.8,0.0
E1,1617,2016-09-13,Leeds,Blackburn,3.4,3.4,0.0
E1,1617,2016-09-13,Sheffield United,Bristol City,3.6,3.6,0.0
E1,1617,2016-09-13,Norwich,Wigan,4.2,4.2,0.0
E1,1617,2016-09-14,Rotherham,Nott'm Forest,3.5,3.5,0.0
E1,1617,2016-09-14,Aston Villa,Brentford,4.0,4.0,0.0
E1,1617,2016-09-17,Birmingham,Sheffield United,3.25,3.25,0.0
E1,1617,2016-09-17,Bristol City,Derby,3.3,3.3,0.0
E1,1617,2016-09-17,Huddersfield,QPR,3.4,3.4,0.0
E1,1617,2016-09-17,Nott'm Forest,Norwich,3.5,3.5,0.0
E1,1617,2016-09-17,Burnley,Reading,3.3,3.3,0.0
E1,1617,2016-09-17,Blackburn,Rotherham,3.5,3.5,0.0
E1,1617,2016-09-24,Wolves,Brentford,3.5,3.5,0.0
E1,1617,2016-09-24,Norwich,Luton,4.5,4.5,0.0
E1,1617,2016-09-24,Rotherham,Cardiff,3.25,3.25,0.0
E1,1617,2016-09-24,Sheffield United,Nott'm Forest,4.1,4.1,0.0
E1,1617,2016-09-24,Aston Villa,Newcastle,3.3,3.3,0.0
E1,1617,2016-09-24,Derby,Blackburn,4.0,4.0,0.0
E1,1617,2016-09-24,QPR,Birmingham,3.3,3.3,0.0
E1,1617,2016-09-27,Huddersfield,Rotherham,4.2,4.2,0.0
E1,1617,2016-09-27,Burnley,Aston Villa,3.4,3.4,0.0
E1,1617,2016-09-27,Birmingham,Preston,3.3,3.3,0.0
E1,1617,2016-09-27,Brentford,Reading,3.4,3.4,0.0
E1,1617,2016-09-27,Luton,QPR,3.3,3.3,0.0
E1,1617,2016-09-27,Nott'm Forest,Fulham,3.6,3.6,0.0
E1,1617,2016-09-27,Wigan,Wolves,3.4,3.4,0.0
E1,1617,2016-09-28,Newcastle,Norwich,3.5,3.5,0.0
E1,1617,2016-10-09,Sheffield United,Wigan,3.5,3.5,0.0
E1,1617,2016-10-09,Wolves,Luton,3.6,3.6,0.0
E1,1617,2016-10-09,QPR,Blackburn,3.5,3.5,0.0
E1,1617,2016-10-09,Norwich,Cardiff,4.0,4.0,0.0
E1,1617,2016-10-09,Preston,Burnley,3.3,3.3,0.0
E1,1617,2016-10-09,Rotherham,Bristol City,3.4,3.4,0.0
E1,1617,2016-10-12,Brentford,Luton,3.6,3.6,0.0
E1,1617,2016-10-12,Ipswich,Cardiff,3.2,3.2,0.0
E1,1617,2016-10-12,Preston,Blackburn,3.4,3.4,0.0
E1,1617,2016-10-12,Reading,Sheffield United,3.3,3.3,0.0
E1,1617,2016-10-12,Wolves,Fulham,3.4,3.4,0.0
E1,1617,2016-10-12,Burnley,Norwich,3.6,3.6,0.0
E1,1617,2016-10-12,Huddersfield,Bristol City,3.4,3.4,0.0
E1,1617,2016-10-14,Nott'm Forest,Birmingham,3.4,3.4,0.0
E1,1617,2016-10-14,Cardiff,Bristol City,3.25,3.25,0.0
E1,1617,2016-10-15,QPR,Reading,3.2,3.2,0.0
E1,1617,2016-10-15,Aston Villa,Wolves,3.5,3.5,0.0
E1,1617,2016-10-15,Burnley,Fulham,3.4,3.4,0.0
E1,1617,2016-10-15,Brighton,Preston,4.0,4.0,0.0
E1,1617,2016-10-15,Newcastle,Brentford,4.33,4.33,0.0
E1,1617,2016-10-15,Norwich,Rotherham,5.25,5.25,0.0
E1,1617,2016-10-18,Reading,Aston Villa,3.2,3.2,0.0
E1,1617,2016-10-18,Leeds,Wigan,3.3,3.3,0.0
E1,1617,2016-10-18,Fulham,Norwich,3.5,3.5,0.0
E1,1617,2016-10-18,Blackburn,Nott'm Forest,3.4,3.4,0.0
E1,1617,2016-10-18,Birmingham,Rotherham,4.0,4.0,0.0
E1,1617,2016-10-19,Cardiff,Sheffield United,3.3,3.3,0.0
E1,1617,2016-10-19,Preston,Huddersfield,3.2,3.2,0.0
E1,1617,2016-10-22,Nott'm Forest,Cardiff,3.6,3.6,0.0
E1,1617,2016-10-29,Preston,Newcastle,3.8,3.8,0.0
E1,1617,2016-10-29,Blackburn,Wolves,3.3,3.3,0.0
E1,1617,2016-10-29,Burnley,Bristol City,3.4,3.4,0.0
E1,1617,2016-10-29,Ipswich,Rotherham,3.7,3.7,0.0
E1,1617,2016-10-30,Birmingham,Aston Villa,3.3,3.3,0.0
E1,1617,2016-11-09,Aston Villa,Nott'm Forest,3.75,3.75,0.0
E1,1617,2016-11-18,Brighton,Aston Villa,3.4,3.4,0.0
E1,1617,2016-11-19,Fulham,Sheffield United,3.4,3.4,0.0
E1,1617,2016-11-19,Cardiff,Huddersfield,3.25,3.25,0.0
E1,1617,2016-11-19,Blackburn,Brentford,3.3,3.3,0.0
E1,1617,2016-11-19,QPR,Norwich,3.4,3.4,0.0
E1,1617,2016-11-25,Burnley,Nott'm Forest,3.5,3.5,0.0
E1,1617,2016-11-26,Preston,Luton,3.4,3.4,0.0
E1,1617,2016-11-26,Reading,Bristol City,3.4,3.4,0.0
E1,1617,2016-11-26,Rotherham,Leeds,3.5,3.5,0.0
E1,1617,2016-11-26,Brighton,Fulham,3.5,3.5,0.0
E1,1617,2016-11-26,Brentford,Birmingham,3.4,3.4,0.0
E1,1617,2016-11-26,Aston Villa,Cardiff,3.6,3.6,0.0
E1,1617,2016-11-28,Huddersfield,Wigan,3.2,3.2,0.0
E1,1617,2016-12-13,Birmingham,Ipswich,3.2,3.2,0.0
E1,1617,2016-12-13,Fulham,Rotherham,5.0,5.0,0.0
E1,1617,2016-12-13,Blackburn,Brighton,3.5,3.5,0.0
E1,1617,2016-12-13,Cardiff,Wolves,3.4,3.4,0.0
E1,1617,2016-12-14,Nott'm Forest,Preston,3.4,3.4,0.0
E1,1617,2016-12-16,Norwich,Huddersfield,3.7,3.7,0.0
E1,1617,2016-12-17,Luton,Newcastle,4.0,4.0,0.0
E1,1617,2016-12-17,Fulham,Derby,3.5,3.5,0.0
E1,1617,2016-12-17,Wigan,Ipswich,3.2,3.2,0.0
E1,1617,2016-12-17,Blackburn,Reading,3.4,3.4,0.0
E1,1617,2016-12-17,Birmingham,Brighton,3.3,3.3,0.0
E1,1617,2016-12-17,Bristol City,Preston,3.5,3.5,0.0
E1,1617,2016-12-17,Cardiff,Burnley,3.5,3.5,0.0
E1,1617,2016-12-26,Brentford,Cardiff,3.4,3.4,0.0
E1,1617,2016-12-26,Aston Villa,Luton,3.75,3.75,0.0
E1,1617,2016-12-26,Huddersfield,Nott'm Forest,3.8,3.8,0.0
E1,1617,2016-12-26,Preston,Leeds,3.2,3.2,0.0
E1,1617,2016-12-26,Reading,Norwich,3.3,3.3,0.0
E1,1617,2016-12-26,Rotherham,Wigan,3.4,3.4,0.0
E1,1617,2016-12-26,Wolves,Bristol City,3.4,3.4,0.0
E1,1617,2016-12-29,Rotherham,Luton,3.4,3.4,0.0
E1,1617,2016-12-29,Aston Villa,Leeds,3.4,3.4,0.0
