league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
F2,1617,2016-01-08,Amiens,Reims,2.88,2.88,0.0
F2,1617,2016-01-10,Strasbourg,Valenciennes,3.2,3.2,0.0
F2,1617,2016-03-10,Le Havre,Sochaux,3.0,3.0,0.0
F2,1617,2016-04-11,Nimes,Clermont,3.4,3.4,0.0
F2,1617,2016-04-11,Ajaccio,Red Star,3.2,3.2,0.0
F2,1617,2016-05-08,Le Mans,Tours,3.1,3.1,0.0
F2,1617,2016-05-08,Laval,Niort,2.8,2.8,0.0
F2,1617,2016-05-08,Brest,Le Mans,2.9,2.9,0.0
F2,1617,2016-05-08,Auxerre,Ajaccio,2.88,2.88,0.0
F2,1617,2016-05-08,Ajaccio,Troyes,3.0,3.0,0.0
F2,1617,2016-05-11,Strasbourg,Reims,3.0,3.0,0.0
F2,1617,2016-07-11,Le Mans,Ajaccio,3.3,3.3,0.0
F2,1617,2016-07-29,Troyes,Sochaux,3.0,3.0,0.0
F2,1617,2016-08-19,Strasbourg,Nimes,3.3,3.3,0.0
F2,1617,2016-08-19,Ajaccio,Bourg Peronnas,3.0,3.0,0.0
F2,1617,2016-08-19,Brest,Valenciennes,3.0,3.0,0.0
F2,1617,2016-08-19,Le Havre,Troyes,3.6,3.6,0.0
F2,1617,2016-08-19,Niort,Tours,3.0,3.0,0.0
F2,1617,2016-08-22,Reims,Red Star,3.2,3.2,0.0
F2,1617,2016-08-26,Ajaccio,Strasbourg,3.0,3.0,0.0
F2,1617,2016-08-26,Bourg Peronnas,Niort,3.0,3.0,0.0
F2,1617,2016-08-26,Troyes,Le Mans,2.88,2.88,0.0
F2,1617,2016-08-26,Nimes,Amiens,3.1,3.1,0.0
F2,1617,2016-08-26,Clermont,Ajaccio,2.9,2.9,0.0
F2,1617,2016-08-26,Tours,Reims,2.88,2.88,0.0
F2,1617,2016-08-29,Sochaux,Brest,3.1,3.1,0.0
F2,1617,2016-09-09,Niort,Nimes,3.0,3.0,0.0
F2,1617,2016-09-09,Le Mans,Bourg Peronnas,3.5,3.5,0.0
F2,1617,2016-09-09,Amiens,Tours,3.0,3.0,0.0
F2,1617,2016-09-09,Ajaccio,Red Star,2.9,2.9,0.0
F2,1617,2016-09-09,Laval,Le Mans,2.9,2.9,0.0
F2,1617,2016-09-12,Troyes,Auxerre,3.4,3.4,0.0
F2,1617,2016-09-12,Bourg Peronnas,Clermont,3.1,3.1,0.0
F2,1617,2016-09-12,Nimes,Brest,3.0,3.0,0.0
F2,1617,2016-09-12,Niort,Le Havre,3.0,3.0,0.0
F2,1617,2016-09-12,Red Star,Valenciennes,3.0,3.0,0.0
F2,1617,2016-09-12,Tours,Laval,2.8,2.8,0.0
F2,1617,2016-09-12,Ajaccio,Ajaccio,2.9,2.9,0.0
F2,1617,2016-09-16,Tours,Nimes,3.1,3.1,0.0
F2,1617,2016-09-16,Valenciennes,Ajaccio,2.9,2.9,0.0
F2,1617,2016-09-16,Troyes,Niort,3.0,3.0,0.0
F2,1617,2016-09-16,Le Mans,Strasbourg,2.88,2.88,0.0
F2,1617,2016-09-16,Sochaux,Reims,2.9,2.9,0.0
F2,1617,2016-09-16,Bourg Peronnas,Le Havre,3.1,3.1,0.0
F2,1617,2016-09-16,Clermont,Le Mans,3.0,3.0,0.0
F2,1617,2016-09-20,Le Havre,Brest,3.1,3.1,0.0
F2,1617,2016-09-20,Reims,Clermont,3.1,3.1,0.0
F2,1617,2016-09-20,Laval,Sochaux,2.8,2.8,0.0
F2,1617,2016-09-20,Le Mans,Le Mans,3.1,3.1,0.0
F2,1617,2016-09-20,Nimes,Troyes,3.1,3.1,0.0
F2,1617,2016-09-23,Le Mans,Amiens,2.9,2.9,0.0
F2,1617,2016-09-23,Troyes,Tours,3.1,3.1,0.0
F2,1617,2016-09-24,Valenciennes,Le Mans,2.9,2.9,0.0
F2,1617,2016-09-26,Brest,Reims,3.1,3.1,0.0
F2,1617,2016-09-27,Ajaccio,Amiens,2.9,2.9,0.0
F2,1617,2016-09-30,Laval,Clermont,2.8,2.8,0.0
F2,1617,2016-09-30,Ajaccio,Brest,2.8,2.8,0.0
F2,1617,2016-10-09,Le Havre,Valenciennes,3.5,3.5,0.0
F2,1617,2016-10-12,Strasbourg,Le Mans,2.9,2.9,0.0
F2,1617,2016-10-14,Red Star,Nimes,2.9,2.9,0.0
F2,1617,2016-10-14,Valenciennes,Niort,3.0,3.0,0.0
F2,1617,2016-10-14,Bourg Peronnas,Amiens,2.9,2.9,0.0
F2,1617,2016-10-14,Clermont,Le Havre,3.0,3.0,0.0
F2,1617,2016-10-15,Brest,Strasbourg,2.9,2.9,0.0
F2,1617,2016-10-21,Tours,Valenciennes,2.9,2.9,0.0
F2,1617,2016-10-21,Strasbourg,Auxerre,3.2,3.2,0.0
F2,1617,2016-10-21,Niort,Clermont,3.0,3.0,0.0
F2,1617,2016-10-22,Le Mans,Reims,2.9,2.9,0.0
F2,1617,2016-10-28,Le Mans,Troyes,3.0,3.0,0.0
F2,1617,2016-10-28,Valenciennes,Nimes,3.1,3.1,0.0
F2,1617,2016-10-28,Red Star,Tours,3.0,3.0,0.0
F2,1617,2016-10-28,Ajaccio,Laval,3.0,3.0,0.0
F2,1617,2016-10-29,Sochaux,Strasbourg,2.9,2.9,0.0
F2,1617,2016-10-31,Brest,Le Mans,2.88,2.88,0.0
F2,1617,2016-11-18,Red Star,Troyes,2.9,2.9,0.0
F2,1617,2016-11-18,Le Mans,Nimes,3.1,3.1,0.0
F2,1617,2016-11-18,Clermont,Ajaccio,2.9,2.9,0.0
F2,1617,2016-11-18,Auxerre,Le Mans,2.9,2.9,0.0
F2,1617,2016-11-18,Valenciennes,Bourg Peronnas,3.3,3.3,0.0
F2,1617,2016-11-18,Sochaux,Tours,3.2,3.2,0.0
F2,1617,2016-11-21,Brest,Niort,3.1,3.1,0.0
F2,1617,2016-11-25,Niort,Ajaccio,3.0,3.0,0.0
F2,1617,2016-11-25,Bourg Peronnas,Red Star,3.0,3.0,0.0
F2,1617,2016-11-25,Tours,Auxerre,3.1,3.1,0.0
F2,1617,2016-11-29,Ajaccio,Amiens,3.0,3.0,0.0
F2,1617,2016-11-29,Sochaux,Bourg Peronnas,3.2,3.2,0.0
F2,1617,2016-11-29,Brest,Troyes,3.1,3.1,0.0
F2,1617,2016-12-08,Bourg Peronnas,Auxerre,3.0,3.0,0.0
F2,1617,2016-12-08,Tours,Strasbourg,2.88,2.88,0.0
F2,1617,2016-12-08,Ajaccio,Le Havre,2.88,2.88,0.0
F2,1617,2016-12-08,Clermont,Sochaux,2.88,2.88,0.0
F2,1617,2016-12-12,Le Mans,Reims,3.0,3.0,0.0
F2,1617,2016-12-16,Ajaccio,Nimes,3.2,3.2,0.0
F2,1617,2016-12-16,Laval,Amiens,2.9,2.9,0.0
F2,1617,2016-12-16,Auxerre,Valenciennes,3.0,3.0,0.0
F2,1617,2016-12-17,Le Mans,Ajaccio,3.0,3.0,0.0
F2,1617,2017-01-13,Red Star,Clermont,2.9,2.9,0.0
F2,1617,2017-01-13,Troyes,Ajaccio,3.0,3.0,0.0
F2,1617,2017-01-13,Tours,Le Mans,2.88,2.88,0.0
F2,1617,2017-01-13,Niort,Laval,2.9,2.9,0.0
F2,1617,2017-01-14,Amiens,Strasbourg,2.9,2.9,0.0
F2,1617,2017-01-16,Valenciennes,Sochaux,3.0,3.0,0.0
F2,1617,2017-01-20,Niort,Amiens,2.9,2.9,0.0
F2,1617,2017-01-20,Le Havre,Ajaccio,2.88,2.88,0.0
F2,1617,2017-01-20,Sochaux,Clermont,3.0,3.0,0.0
F2,1617,2017-01-21,Le Mans,Nimes,3.75,3.75,0.0
F2,1617,2017-01-27,Nimes,Strasbourg,2.9,2.9,0.0
F2,1617,2017-01-27,Troyes,Le Havre,3.0,3.0,0.0
F2,1617,2017-01-27,Bourg Peronnas,Ajaccio,2.88,2.88,0.0
F2,1617,2017-01-27,Ajaccio,Laval,3.1,3.1,0.0
F2,1617,2017-01-28,Amiens,Le Mans,3.0,3.0,0.0
F2,1617,2017-02-13,Le Mans,Clermont,3.3,3.3,0.0
F2,1617,2017-02-13,Strasbourg,Le Mans,3.2,3.2,0.0
F2,1617,2017-02-17,Sochaux,Laval,3.1,3.1,0.0
