league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
G1,1718,2017-02-12,Olympiakos,Apollon,7.5,7.5,0.0
G1,1718,2017-03-12,Aris,Giannina,3.0,3.0,0.0
G1,1718,2017-03-12,Lamia,Panetolikos,2.89,2.89,0.0
G1,1718,2017-04-11,Panetolikos,Xanthi,2.89,2.89,0.0
G1,1718,2017-04-12,Platanias,Atromitos,3.1,3.1,0.0
G1,1718,2017-05-11,Kerkyra,Aris,2.89,2.89,0.0
G1,1718,2017-05-11,Apollon,Giannina,2.87,2.87,0.0
G1,1718,2017-05-11,Olympiakos,Platanias,7.0,7.0,0.0
G1,1718,2017-08-19,Asteras Tripolis,Giannina,3.4,3.4,0.0
G1,1718,2017-08-19,Olympiakos,Aris,7.0,7.0,0.0
G1,1718,2017-08-20,Platanias,Panathinaikos,3.1,3.1,0.0
G1,1718,2017-08-21,Atromitos,Apollon,3.25,3.25,0.0
G1,1718,2017-08-26,Panetolikos,Atromitos,3.0,3.0,0.0
G1,1718,2017-08-27,PAOK,Kerkyra,8.5,8.5,0.0
G1,1718,2017-08-28,Aris,Asteras Tripolis,3.0,3.0,0.0
G1,1718,2017-09-09,Xanthi,Olympiakos,4.2,4.2,0.0
G1,1718,2017-09-09,Asteras Tripolis,Lamia,3.3,3.3,0.0
G1,1718,2017-09-12,Ionikos,Platanias,3.79,3.79,0.0
G1,1718,2017-09-12,Panetolikos,Olympiakos,3.6,3.6,0.0
G1,1718,2017-09-16,Olympiakos,Asteras Tripolis,6.0,6.0,0.0
G1,1718,2017-09-18,Giannina,Ionikos,3.0,3.0,0.0
G1,1718,2017-09-24,Ionikos,Aris,3.2,3.2,0.0
G1,1718,2017-09-24,AEK,Olympiakos,3.0,3.0,0.0
G1,1718,2017-09-24,Kerkyra,Levadeiakos,3.0,3.0,0.0
G1,1718,2017-10-09,Ionikos,Panetolikos,3.3,3.3,0.0
G1,1718,2017-10-09,Levadeiakos,Platanias,3.1,3.1,0.0
G1,1718,2017-10-12,Apollon,Asteras Tripolis,2.87,2.87,0.0
G1,1718,2017-10-12,Giannina,Lamia,3.29,3.29,0.0
G1,1718,2017-10-14,Giannina,Platanias,3.4,3.4,0.0
G1,1718,2017-10-14,Ionikos,Olympiakos,4.33,4.33,0.0
G1,1718,2017-10-15,Xanthi,AEK,3.25,3.25,0.0
G1,1718,2017-10-16,Panathinaikos,Aris,5.5,5.5,0.0
G1,1718,2017-10-21,Lamia,Panathinaikos,3.1,3.1,0.0
G1,1718,2017-10-21,Levadeiakos,Giannina,3.1,3.1,0.0
G1,1718,2017-10-28,Giannina,Kerkyra,3.6,3.6,0.0
G1,1718,2017-10-29,Panetolikos,Apollon,3.5,3.5,0.0
G1,1718,2017-11-12,AEK,Kerkyra,9.0,9.0,0.0
G1,1718,2017-11-18,Lamia,Kerkyra,3.25,3.25,0.0
G1,1718,2017-11-18,Olympiakos,Levadeiakos,9.0,9.0,0.0
G1,1718,2017-11-19,Panathinaikos,AEK,3.2,3.2,0.0
G1,1718,2017-11-19,Giannina,Panetolikos,3.25,3.25,0.0
G1,1718,2017-11-20,PAOK,Atromitos,4.2,4.2,0.0
G1,1718,2017-11-25,Atromitos,Panathinaikos,2.87,2.87,0.0
G1,1718,2017-11-25,Apollon,Lamia,2.87,2.87,0.0
G1,1718,2017-11-25,Giannina,Xanthi,3.0,3.0,0.0
G1,1718,2017-11-26,Panetolikos,Aris,3.25,3.25,0.0
G1,1718,2017-11-26,Ionikos,PAOK,3.2,3.2,0.0
G1,1718,2017-11-26,Kerkyra,Olympiakos,5.5,5.5,0.0
G1,1718,2017-12-16,Kerkyra,Atromitos,3.2,3.2,0.0
G1,1718,2017-12-17,Xanthi,Panathinaikos,3.1,3.1,0.0
G1,1718,2017-12-18,Levadeiakos,Ionikos,3.0,3.0,0.0
G1,1718,2018-01-13,Apollon,Ionikos,2.89,2.89,0.0
G1,1718,2018-01-13,Xanthi,Platanias,4.0,4.0,0.0
G1,1718,2018-01-13,Levadeiakos,Panathinaikos,3.1,3.1,0.0
G1,1718,2018-01-14,Asteras Tripolis,Aris,3.29,3.29,0.0
G1,1718,2018-01-14,AEK,Giannina,5.25,5.25,0.0
G1,1718,2018-01-21,Giannina,Atromitos,2.87,2.87,0.0
G1,1718,2018-01-21,Panetolikos,Ionikos,2.79,2.79,0.0
G1,1718,2018-01-28,Asteras Tripolis,Olympiakos,4.0,4.0,0.0
G1,1718,2018-01-28,Xanthi,Levadeiakos,3.39,3.39,0.0
G1,1718,2018-02-18,Levadeiakos,Panetolikos,2.79,2.79,0.0
G1,1718,2018-02-26,Atromitos,AEK,3.1,3.1,0.0
G1,1718,2018-03-02,Asteras Tripolis,Xanthi,3.29,3.29,0.0
G1,1718,2018-03-03,Kerkyra,Giannina,3.0,3.0,0.0
G1,1718,2018-03-03,Platanias,Lamia,2.87,2.87,0.0
G1,1718,2018-03-31,Levadeiakos,Olympiakos,4.33,4.33,0.0
G1,1718,2018-04-02,Olympiakos,AEK,3.29,3.29,0.0
G1,1718,2018-04-02,Giannina,PAOK,4.0,4.0,0.0
G1,1718,2018-04-02,Lamia,Atromitos,2.89,2.89,0.0
G1,1718,2018-04-03,Asteras Tripolis,PAOK,3.75,3.75,0.0
G1,1718,2018-04-03,Olympiakos,Panathinaikos,4.2,4.2,0.0
G1,1718,2018-04-03,Levadeiakos,Aris,2.87,2.87,0.0
G1,1718,2018-04-14,PAOK,Ionikos,8.0,8.0,0.0
G1,1718,2018-04-15,Aris,Panetolikos,3.1,3.1,0.0
G1,1718,2018-04-16,Olympiakos,Kerkyra,6.5,6.5,0.0
G1,1718,2018-04-22,Atromitos,Platanias,7.0,7.0,0.0
G1,1718,2018-04-22,Kerkyra,Asteras Tripolis,3.1,3.1,0.0
G1,1718,2018-04-22,PAOK,Xanthi,6.5,6.5,0.0
G1,1718,2018-04-29,Platanias,Ionikos,4.0,4.0,0.0
G1,1718,2018-04-29,Asteras Tripolis,Apollon,7.0,7.0,0.0
G1,1718,2018-05-02,Platanias,Apollon,3.0,3.0,0.0
G1,1718,2018-05-03,Apollon,Panetolikos,3.0,3.0,0.0
G1,1718,2018-05-05,Aris,Lamia,3.75,3.75,0.0
G1,1718,2018-06-01,Panetolikos,AEK,3.5,3.5,0.0
G1,1718,2018-06-01,Ionikos,Kerkyra,3.79,3.79,0.0
G1,1718,2018-07-05,Panathinaikos,Xanthi,3.1,3.1,0.0
G1,1718,2018-10-02,Giannina,Panathinaikos,3.0,3.0,0.0
G1,1718,2018-10-02,Xanthi,Kerkyra,3.6,3.6,0.0
G1,1718,2018-10-03,Panathinaikos,Asteras Tripolis,3.25,3.25,0.0
G1,1718,2018-10-03,Ionikos,Atromitos,3.0,3.0,0.0
G1,1718,2018-11-02,Apollon,Levadeiakos,3.1,3.1,0.0
G1,1718,2018-11-02,Atromitos,Olympiakos,3.25,3.25,0.0
G1,1718,2018-11-03,Lamia,Levadeiakos,3.6,3.6,0.0
