league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
I2,2122,2021-08-20,Frosinone,Parma,3.02,3.02,0.0
I2,2122,2021-08-21,Pordenone,Perugia,3.02,3.02,0.0
I2,2122,2021-08-21,Cittadella,Venezia,3.03,3.03,0.0
I2,2122,2021-08-22,Ternana,Brescia,3.14,3.14,0.0
I2,2122,2021-08-22,Reggiana,Monza,2.98,2.98,0.0
I2,2122,2021-08-22,Pisa,Spal,3.1,3.1,0.0
I2,2122,2021-08-22,Cremonese,Lecco,3.15,3.15,0.0
I2,2122,2021-08-22,Benevento,Alessandria,3.59,3.59,0.0
I2,2122,2021-08-22,Crotone,Como,3.57,3.57,0.0
I2,2122,2021-08-22,Ascoli,Cesena,3.85,3.85,0.0
I2,2122,2021-08-27,Brescia,Cesena,4.61,4.61,0.0
I2,2122,2021-08-27,Pisa,Alessandria,3.04,3.04,0.0
I2,2122,2021-08-28,Perugia,Ascoli,3.04,3.04,0.0
I2,2122,2021-08-28,Venezia,Frosinone,3.05,3.05,0.0
I2,2122,2021-08-29,Reggiana,Ternana,3.06,3.06,0.0
I2,2122,2021-08-29,Monza,Cremonese,3.23,3.23,0.0
I2,2122,2021-08-29,Parma,Benevento,3.17,3.17,0.0
I2,2122,2021-08-29,Lecco,Como,3.41,3.41,0.0
I2,2122,2021-08-29,Spal,Pordenone,3.22,3.22,0.0
I2,2122,2021-08-29,Cittadella,Crotone,3.09,3.09,0.0
I2,2122,2021-09-10,Benevento,Lecco,3.27,3.27,0.0
I2,2122,2021-09-11,Crotone,Reggiana,3.08,3.08,0.0
I2,2122,2021-09-11,Alessandria,Brescia,3.15,3.15,0.0
I2,2122,2021-09-11,Como,Ascoli,3.1,3.1,0.0
I2,2122,2021-09-11,Frosinone,Perugia,3.23,3.23,0.0
I2,2122,2021-09-11,Spal,Monza,2.93,2.93,0.0
I2,2122,2021-09-11,Ternana,Pisa,3.1,3.1,0.0
I2,2122,2021-09-12,Cremonese,Cittadella,3.1,3.1,0.0
I2,2122,2021-09-12,Pordenone,Parma,3.13,3.13,0.0
I2,2122,2021-09-12,Cesena,Venezia,3.21,3.21,0.0
I2,2122,2021-09-17,Brescia,Crotone,3.51,3.51,0.0
I2,2122,2021-09-17,Como,Frosinone,3.0,3.0,0.0
I2,2122,2021-09-18,Ascoli,Benevento,3.07,3.07,0.0
I2,2122,2021-09-18,Monza,Ternana,3.45,3.45,0.0
I2,2122,2021-09-18,Perugia,Cesena,3.34,3.34,0.0
I2,2122,2021-09-18,Reggiana,Spal,3.02,3.02,0.0
I2,2122,2021-09-18,Venezia,Pisa,3.07,3.07,0.0
I2,2122,2021-09-18,Cittadella,Pordenone,3.15,3.15,0.0
I2,2122,2021-09-18,Lecco,Alessandria,3.93,3.93,0.0
I2,2122,2021-09-19,Parma,Cremonese,3.26,3.26,0.0
I2,2122,2021-09-20,Frosinone,Brescia,3.15,3.15,0.0
I2,2122,2021-09-21,Spal,Venezia,3.37,3.37,0.0
I2,2122,2021-09-21,Alessandria,Ascoli,3.1,3.1,0.0
I2,2122,2021-09-21,Benevento,Cittadella,3.18,3.18,0.0
I2,2122,2021-09-21,Cesena,Como,3.18,3.18,0.0
I2,2122,2021-09-21,Crotone,Lecco,3.36,3.36,0.0
I2,2122,2021-09-21,Pisa,Monza,3.02,3.02,0.0
