league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
N1,2425,2024-08-09,Groningen,NAC Breda,4.06,4.06,0.0
N1,2425,2024-08-10,PSV Eindhoven,Waalwijk,10.89,10.89,0.0
N1,2425,2024-08-10,Nijmegen,Twente,3.66,3.66,0.0
N1,2425,2024-08-10,Almere City,AZ Alkmaar,4.18,4.18,0.0
N1,2425,2024-08-10,Feyenoord,Willem II,9.35,9.35,0.0
N1,2425,2024-08-11,Utrecht,Zwolle,4.72,4.72,0.0
N1,2425,2024-08-11,Ajax,Heerenveen,4.83,4.83,0.0
N1,2425,2024-08-11,Sparta Rotterdam,Heracles,4.58,4.58,0.0
N1,2425,2024-08-11,Go Ahead Eagles,For Sittard,3.52,3.52,0.0
N1,2425,2024-08-16,For Sittard,Almere City,3.67,3.67,0.0
N1,2425,2024-08-17,AZ Alkmaar,Nijmegen,4.66,4.66,0.0
N1,2425,2024-08-17,Waalwijk,Groningen,3.71,3.71,0.0
N1,2425,2024-08-17,Twente,Sparta Rotterdam,4.49,4.49,0.0
N1,2425,2024-08-17,Heerenveen,Utrecht,3.57,3.57,0.0
N1,2425,2024-08-18,Zwolle,Feyenoord,6.69,6.69,0.0
N1,2425,2024-08-18,NAC Breda,Ajax,6.43,6.43,0.0
N1,2425,2024-08-18,Heracles,PSV Eindhoven,8.98,8.98,0.0
N1,2425,2024-08-18,Willem II,Go Ahead Eagles,3.55,3.55,0.0
N1,2425,2024-08-24,NAC Breda,Utrecht,3.92,3.92,0.0
N1,2425,2024-08-24,Nijmegen,Zwolle,4.26,4.26,0.0
N1,2425,2024-08-24,Almere City,PSV Eindhoven,8.35,8.35,0.0
N1,2425,2024-08-25,Sparta Rotterdam,Feyenoord,4.78,4.78,0.0
N1,2425,2024-08-25,Go Ahead Eagles,Waalwijk,3.99,3.99,0.0
N1,2425,2024-08-25,Groningen,AZ Alkmaar,3.69,3.69,0.0
N1,2425,2024-08-25,Heracles,Willem II,3.54,3.54,0.0
N1,2425,2024-08-30,Waalwijk,AZ Alkmaar,4.66,4.66,0.0
N1,2425,2024-08-31,Heerenveen,NAC Breda,4.09,4.09,0.0
N1,2425,2024-08-31,Willem II,Sparta Rotterdam,3.46,3.46,0.0
N1,2425,2024-08-31,For Sittard,Nijmegen,3.53,3.53,0.0
N1,2425,2024-08-31,Almere City,Groningen,3.47,3.47,0.0
N1,2425,2024-09-01,PSV Eindhoven,Go Ahead Eagles,10.07,10.07,0.0
N1,2425,2024-09-01,Utrecht,Twente,3.46,3.46,0.0
N1,2425,2024-09-01,Zwolle,Heracles,3.65,3.65,0.0
N1,2425,2024-09-14,Groningen,Feyenoord,4.66,4.66,0.0
N1,2425,2024-09-14,NAC Breda,For Sittard,3.48,3.48,0.0
N1,2425,2024-09-14,AZ Alkmaar,Heerenveen,4.89,4.89,0.0
N1,2425,2024-09-14,PSV Eindhoven,Nijmegen,9.1,9.1,0.0
N1,2425,2024-09-14,Twente,Zwolle,5.83,5.83,0.0
N1,2425,2024-09-15,Willem II,Waalwijk,3.67,3.67,0.0
