league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
NO1,2324,2023-08-11,Volendam,Vitesse,3.74,3.74,0.0
NO1,2324,2023-08-12,Heerenveen,Waalwijk,4.03,4.03,0.0
NO1,2324,2023-08-12,PSV Eindhoven,Utrecht,5.21,5.21,0.0
NO1,2324,2023-08-12,Ajax,Heracles,7.73,7.73,0.0
NO1,2324,2023-08-12,Zwolle,Sparta Rotterdam,3.43,3.43,0.0
NO1,2324,2023-08-13,AZ Alkmaar,Go Ahead Eagles,5.03,5.03,0.0
NO1,2324,2023-08-13,Feyenoord,For Sittard,8.2,8.2,0.0
NO1,2324,2023-08-13,Almere City,Twente,4.27,4.27,0.0
NO1,2324,2023-08-13,Nijmegen,Excelsior,4.49,4.49,0.0
NO1,2324,2023-08-18,Heracles,Nijmegen,3.61,3.61,0.0
NO1,2324,2023-08-19,Vitesse,PSV Eindhoven,4.43,4.43,0.0
NO1,2324,2023-08-19,For Sittard,Almere City,3.81,3.81,0.0
NO1,2324,2023-08-19,Go Ahead Eagles,Volendam,4.17,4.17,0.0
NO1,2324,2023-08-19,Excelsior,Ajax,6.55,6.55,0.0
NO1,2324,2023-08-20,Sparta Rotterdam,Feyenoord,4.39,4.39,0.0
NO1,2324,2023-08-20,Twente,Zwolle,5.18,5.18,0.0
NO1,2324,2023-08-20,Waalwijk,AZ Alkmaar,4.26,4.26,0.0
NO1,2324,2023-08-20,Utrecht,Heerenveen,3.85,3.85,0.0
NO1,2324,2023-08-26,Excelsior,For Sittard,3.64,3.64,0.0
NO1,2324,2023-08-26,Nijmegen,Waalwijk,4.01,4.01,0.0
NO1,2324,2023-08-27,Feyenoord,Almere City,8.25,8.25,0.0
NO1,2324,2023-08-27,Heerenveen,Sparta Rotterdam,3.66,3.66,0.0
NO1,2324,2023-08-27,Zwolle,Utrecht,3.69,3.69,0.0
NO1,2324,2023-09-01,Sparta Rotterdam,Nijmegen,3.78,3.78,0.0
NO1,2324,2023-09-02,Go Ahead Eagles,Heerenveen,3.64,3.64,0.0
NO1,2324,2023-09-02,Waalwijk,PSV Eindhoven,5.61,5.61,0.0
NO1,2324,2023-09-02,Heracles,Excelsior,3.85,3.85,0.0
NO1,2324,2023-09-02,Almere City,Zwolle,3.63,3.63,0.0
NO1,2324,2023-09-03,For Sittard,Ajax,5.25,5.25,0.0
NO1,2324,2023-09-03,Volendam,Twente,4.47,4.47,0.0
NO1,2324,2023-09-03,Vitesse,AZ Alkmaar,3.72,3.72,0.0
NO1,2324,2023-09-03,Utrecht,Feyenoord,4.36,4.36,0.0
NO1,2324,2023-09-16,Vitesse,Waalwijk,4.53,4.53,0.0
NO1,2324,2023-09-16,For Sittard,Volendam,4.25,4.25,0.0
NO1,2324,2023-09-16,PSV Eindhoven,Nijmegen,7.98,7.98,0.0
NO1,2324,2023-09-16,Heracles,Utrecht,3.52,3.52,0.0
NO1,2324,2023-09-16,Feyenoord,Heerenveen,6.63,6.63,0.0
NO1,2324,2023-09-17,Excelsior,Almere City,3.79,3.79,0.0
NO1,2324,2023-09-17,Zwolle,Go Ahead Eagles,3.54,3.54,0.0
NO1,2324,2023-09-17,Twente,Ajax,3.56,3.56,0.0
NO1,2324,2023-09-17,AZ Alkmaar,Sparta Rotterdam,4.37,4.37,0.0
NO1,2324,2023-09-22,Go Ahead Eagles,For Sittard,3.63,3.63,0.0
NO1,2324,2023-09-23,Nijmegen,Utrecht,3.6,3.6,0.0
NO1,2324,2023-09-23,Almere City,PSV Eindhoven,7.27,7.27,0.0
NO1,2324,2023-09-23,Heerenveen,Excelsior,4.24,4.24,0.0
NO1,2324,2023-09-23,Volendam,Heracles,3.7,3.7,0.0
NO1,2324,2023-09-24,Waalwijk,Twente,4.54,4.54,0.0
NO1,2324,2023-09-24,Zwolle,AZ Alkmaar,3.92,3.92,0.0
NO1,2324,2023-09-24,Sparta Rotterdam,Vitesse,3.75,3.75,0.0
NO1,2324,2023-09-27,PSV Eindhoven,Go Ahead Eagles,8.14,8.14,0.0
NO1,2324,2023-09-27,Twente,Vitesse,4.94,4.94,0.0
NO1,2324,2023-09-27,Ajax,Feyenoord,3.75,3.75,0.0
NO1,2324,2023-09-28,AZ Alkmaar,Heracles,6.01,6.01,0.0
NO1,2324,2023-09-30,PSV Eindhoven,Volendam,13.86,13.86,0.0
NO1,2324,2023-09-30,Utrecht,Almere City,4.39,4.39,0.0
NO1,2324,2023-09-30,Twente,Heerenveen,5.51,5.51,0.0
NO1,2324,2023-09-30,Feyenoord,Go Ahead Eagles,8.58,8.58,0.0
NO1,2324,2023-10-01,Excelsior,Sparta Rotterdam,3.62,3.62,0.0
NO1,2324,2023-10-01,Heracles,Zwolle,3.68,3.68,0.0
NO1,2324,2023-10-01,AZ Alkmaar,For Sittard,5.19,5.19,0.0
NO1,2324,2023-10-01,Nijmegen,Vitesse,3.61,3.61,0.0
NO1,2324,2023-10-06,Volendam,Utrecht,4.04,4.04,0.0
NO1,2324,2023-10-07,Almere City,Waalwijk,3.79,3.79,0.0
NO1,2324,2023-10-07,Go Ahead Eagles,Heracles,3.98,3.98,0.0
NO1,2324,2023-10-07,Vitesse,Excelsior,4.09,4.09,0.0
NO1,2324,2023-10-07,Heerenveen,Nijmegen,3.66,3.66,0.0
NO1,2324,2023-10-08,Ajax,AZ Alkmaar,3.8,3.8,0.0
NO1,2324,2023-10-08,For Sittard,Twente,3.83,3.83,0.0
NO1,2324,2023-10-08,Sparta Rotterdam,PSV Eindhoven,5.27,5.27,0.0
NO1,2324,2023-10-08,Zwolle,Feyenoord,5.9,5.9,0.0
NO1,2324,2023-10-21,Waalwijk,Volendam,4.31,4.31,0.0
NO1,2324,2023-10-21,Nijmegen,Almere City,3.83,3.83,0.0
NO1,2324,2023-10-21,AZ Alkmaar,Heerenveen,5.77,5.77,0.0
NO1,2324,2023-10-21,Feyenoord,Vitesse,8.37,8.37,0.0
NO1,2324,2023-10-21,PSV Eindhoven,For Sittard,10.15,10.15,0.0
NO1,2324,2023-10-22,Go Ahead Eagles,Sparta Rotterdam,3.64,3.64,0.0
NO1,2324,2023-10-22,Utrecht,Ajax,3.95,3.95,0.0
NO1,2324,2023-10-22,Excelsior,Zwolle,3.65,3.65,0.0
NO1,2324,2023-10-22,Heracles,Twente,4.24,4.24,0.0
NO1,2324,2023-10-27,Vitesse,Zwolle,3.71,3.71,0.0
NO1,2324,2023-10-28,Sparta Rotterdam,Waalwijk,3.88,3.88,0.0
NO1,2324,2023-10-28,For Sittard,Utrecht,3.65,3.65,0.0
NO1,2324,2023-10-28,Heerenveen,Heracles,3.78,3.78,0.0
NO1,2324,2023-10-28,Almere City,Go Ahead Eagles,3.55,3.55,0.0
NO1,2324,2023-10-29,PSV Eindhoven,Ajax,5.91,5.91,0.0
