league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
P1,2324,2023-08-11,Sp Braga,Famalicao,4.61,4.61,0.0
P1,2324,2023-08-12,Gil Vicente,Portimonense,3.35,3.35,0.0
P1,2324,2023-08-12,Farense,Casa Pia,3.08,3.08,0.0
P1,2324,2023-08-12,Sp Lisbon,Vizela,7.23,7.23,0.0
P1,2324,2023-08-13,Rio Ave,Aves,3.33,3.33,0.0
P1,2324,2023-08-13,Estoril,Guimaraes,3.2,3.2,0.0
P1,2324,2023-08-13,Arouca,Estoril,3.19,3.19,0.0
P1,2324,2023-08-14,Moreirense,Porto,5.05,5.05,0.0
P1,2324,2023-08-14,Boavista,Benfica,5.54,5.54,0.0
P1,2324,2023-08-18,Casa Pia,Sp Lisbon,4.56,4.56,0.0
P1,2324,2023-08-19,Guimaraes,Gil Vicente,3.32,3.32,0.0
P1,2324,2023-08-19,Aves,Sp Braga,3.99,3.99,0.0
P1,2324,2023-08-19,Benfica,Estoril,10.69,10.69,0.0
P1,2324,2023-08-19,Portimonense,Boavista,3.21,3.21,0.0
P1,2324,2023-08-20,Estoril,Rio Ave,3.19,3.19,0.0
P1,2324,2023-08-20,Porto,Farense,8.53,8.53,0.0
P1,2324,2023-08-20,Vizela,Arouca,3.26,3.26,0.0
P1,2324,2023-08-21,Famalicao,Moreirense,3.4,3.4,0.0
P1,2324,2023-08-25,Estoril,Estoril,3.15,3.15,0.0
P1,2324,2023-08-26,Arouca,Portimonense,3.85,3.85,0.0
P1,2324,2023-08-26,Farense,Aves,3.26,3.26,0.0
P1,2324,2023-08-26,Gil Vicente,Benfica,5.77,5.77,0.0
P1,2324,2023-08-27,Boavista,Casa Pia,3.23,3.23,0.0
P1,2324,2023-08-27,Guimaraes,Vizela,3.46,3.46,0.0
P1,2324,2023-08-27,Sp Lisbon,Famalicao,6.14,6.14,0.0
P1,2324,2023-08-28,Rio Ave,Porto,4.59,4.59,0.0
P1,2324,2023-09-01,Vizela,Gil Vicente,3.35,3.35,0.0
P1,2324,2023-09-02,Casa Pia,Rio Ave,3.33,3.33,0.0
P1,2324,2023-09-02,Famalicao,Farense,3.59,3.59,0.0
P1,2324,2023-09-02,Portimonense,Estoril,3.21,3.21,0.0
P1,2324,2023-09-02,Benfica,Guimaraes,6.92,6.92,0.0
P1,2324,2023-09-03,Aves,Moreirense,3.25,3.25,0.0
P1,2324,2023-09-03,Estoril,Boavista,3.29,3.29,0.0
P1,2324,2023-09-03,Porto,Arouca,6.05,6.05,0.0
P1,2324,2023-09-03,Sp Braga,Sp Lisbon,3.55,3.55,0.0
P1,2324,2023-09-09,Moreirense,Sp Braga,3.84,3.84,0.0
P1,2324,2023-09-15,Estoril,Porto,5.14,5.14,0.0
P1,2324,2023-09-16,Rio Ave,Famalicao,3.17,3.17,0.0
P1,2324,2023-09-16,Farense,Sp Braga,4.03,4.03,0.0
P1,2324,2023-09-16,Vizela,Benfica,5.52,5.52,0.0
P1,2324,2023-09-17,Arouca,Casa Pia,3.24,3.24,0.0
P1,2324,2023-09-17,Gil Vicente,Estoril,3.51,3.51,0.0
P1,2324,2023-09-17,Guimaraes,Portimonense,4.08,4.08,0.0
P1,2324,2023-09-17,Sp Lisbon,Moreirense,6.38,6.38,0.0
P1,2324,2023-09-18,Boavista,Aves,3.98,3.98,0.0
P1,2324,2023-09-22,Famalicao,Arouca,3.33,3.33,0.0
P1,2324,2023-09-23,Estoril,Vizela,3.38,3.38,0.0
P1,2324,2023-09-23,Moreirense,Farense,3.43,3.43,0.0
P1,2324,2023-09-23,Casa Pia,Guimaraes,3.2,3.2,0.0
P1,2324,2023-09-23,Porto,Gil Vicente,6.68,6.68,0.0
P1,2324,2023-09-24,Aves,Estoril,3.41,3.41,0.0
P1,2324,2023-09-24,Portimonense,Benfica,6.18,6.18,0.0
P1,2324,2023-09-24,Sp Braga,Boavista,4.45,4.45,0.0
P1,2324,2023-09-25,Sp Lisbon,Rio Ave,6.7,6.7,0.0
P1,2324,2023-09-28,Estoril,Sp Braga,3.95,3.95,0.0
P1,2324,2023-09-29,Benfica,Porto,3.64,3.64,0.0
P1,2324,2023-09-30,Vizela,Portimonense,3.62,3.62,0.0
P1,2324,2023-09-30,Boavista,Famalicao,3.43,3.43,0.0
P1,2324,2023-09-30,Farense,Sp Lisbon,4.61,4.61,0.0
P1,2324,2023-10-01,Arouca,Aves,3.67,3.67,0.0
P1,2324,2023-10-01,Guimaraes,Estoril,3.65,3.65,0.0
P1,2324,2023-10-01,Rio Ave,Moreirense,3.33,3.33,0.0
P1,2324,2023-10-02,Gil Vicente,Casa Pia,3.32,3.32,0.0
P1,2324,2023-10-06,Moreirense,Boavista,3.6,3.6,0.0
P1,2324,2023-10-07,Aves,Gil Vicente,3.44,3.44,0.0
P1,2324,2023-10-07,Farense,Vizela,3.44,3.44,0.0
P1,2324,2023-10-07,Sp Braga,Rio Ave,5.48,5.48,0.0
P1,2324,2023-10-07,Estoril,Benfica,6.06,6.06,0.0
P1,2324,2023-10-08,Casa Pia,Estoril,3.32,3.32,0.0
P1,2324,2023-10-08,Famalicao,Guimaraes,3.18,3.18,0.0
P1,2324,2023-10-08,Porto,Portimonense,8.11,8.11,0.0
P1,2324,2023-10-08,Sp Lisbon,Arouca,5.91,5.91,0.0
P1,2324,2023-10-27,Arouca,Moreirense,3.24,3.24,0.0
P1,2324,2023-10-28,Portimonense,Estoril,3.42,3.42,0.0
P1,2324,2023-10-28,Benfica,Casa Pia,6.83,6.83,0.0
P1,2324,2023-10-28,Guimaraes,Aves,4.05,4.05,0.0
P1,2324,2023-10-28,Gil Vicente,Sp Braga,4.04,4.04,0.0
P1,2324,2023-10-29,Rio Ave,Farense,3.36,3.36,0.0
P1,2324,2023-10-29,Estoril,Famalicao,3.24,3.24,0.0
P1,2324,2023-10-29,Vizela,Porto,4.57,4.57,0.0
P1,2324,2023-10-30,Boavista,Sp Lisbon,4.54,4.54,0.0
