league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
SC3,2425,2024-08-03,Edinburgh City,Stirling,5.5,5.5,0.0
SC3,2425,2024-08-03,Forfar,Clyde,3.25,3.25,0.0
SC3,2425,2024-08-03,Bonnyrigg Rose,Peterhead,3.3,3.3,0.0
SC3,2425,2024-08-03,Stranraer,Spartans,3.12,3.12,0.0
SC3,2425,2024-08-03,Elgin,East Fife,3.26,3.26,0.0
SC3,2425,2024-08-10,East Fife,Edinburgh City,4.88,4.88,0.0
SC3,2425,2024-08-10,Peterhead,Forfar,3.36,3.36,0.0
SC3,2425,2024-08-10,Spartans,Bonnyrigg Rose,4.21,4.21,0.0
SC3,2425,2024-08-10,Stirling,Elgin,3.88,3.88,0.0
SC3,2425,2024-08-10,Clyde,Stranraer,4.37,4.37,0.0
SC3,2425,2024-08-17,Edinburgh City,Bonnyrigg Rose,4.25,4.25,0.0
SC3,2425,2024-08-17,Peterhead,Stranraer,3.57,3.57,0.0
SC3,2425,2024-08-17,Clyde,Stirling,3.7,3.7,0.0
SC3,2425,2024-08-17,East Fife,Forfar,3.49,3.49,0.0
SC3,2425,2024-08-24,Spartans,Peterhead,3.38,3.38,0.0
SC3,2425,2024-08-24,Stirling,East Fife,3.51,3.51,0.0
SC3,2425,2024-08-24,Stranraer,Elgin,3.42,3.42,0.0
SC3,2425,2024-08-24,Bonnyrigg Rose,Clyde,3.43,3.43,0.0
SC3,2425,2024-08-24,Forfar,Edinburgh City,4.83,4.83,0.0
SC3,2425,2024-08-31,Edinburgh City,Peterhead,4.07,4.07,0.0
SC3,2425,2024-08-31,Forfar,Elgin,3.34,3.34,0.0
SC3,2425,2024-08-31,Stirling,Spartans,3.4,3.4,0.0
SC3,2425,2024-08-31,Bonnyrigg Rose,Stranraer,3.33,3.33,0.0
SC3,2425,2024-08-31,East Fife,Clyde,3.34,3.34,0.0
SC3,2425,2024-09-14,Clyde,Edinburgh City,5.0,5.0,0.0
SC3,2425,2024-09-14,Elgin,Bonnyrigg Rose,3.5,3.5,0.0
SC3,2425,2024-09-14,Peterhead,Stirling,3.44,3.44,0.0
SC3,2425,2024-09-14,Spartans,Forfar,3.25,3.25,0.0
SC3,2425,2024-09-14,Stranraer,East Fife,3.57,3.57,0.0
SC3,2425,2024-09-17,Elgin,Spartans,3.0,3.0,0.0
SC3,2425,2024-09-21,Forfar,Stranraer,3.16,3.16,0.0
SC3,2425,2024-09-21,Stirling,Bonnyrigg Rose,3.21,3.21,0.0
SC3,2425,2024-09-21,East Fife,Peterhead,3.27,3.27,0.0
SC3,2425,2024-09-21,Clyde,Elgin,3.39,3.39,0.0
SC3,2425,2024-09-28,Peterhead,Clyde,3.43,3.43,0.0
SC3,2425,2024-09-28,Spartans,East Fife,3.14,3.14,0.0
SC3,2425,2024-09-28,Stranraer,Stirling,3.24,3.24,0.0
SC3,2425,2024-09-28,Bonnyrigg Rose,Forfar,3.21,3.21,0.0
SC3,2425,2024-09-28,Elgin,Edinburgh City,4.24,4.24,0.0
SC3,2425,2024-10-05,Edinburgh City,Stranraer,3.57,3.57,0.0
SC3,2425,2024-10-05,Peterhead,Elgin,3.35,3.35,0.0
SC3,2425,2024-10-05,Stirling,Forfar,3.15,3.15,0.0
SC3,2425,2024-10-05,Clyde,Spartans,3.17,3.17,0.0
SC3,2425,2024-10-05,East Fife,Bonnyrigg Rose,3.77,3.77,0.0
SC3,2425,2024-10-12,Edinburgh City,Spartans,3.86,3.86,0.0
SC3,2425,2024-10-19,Spartans,Elgin,3.17,3.17,0.0
SC3,2425,2024-10-19,Bonnyrigg Rose,Edinburgh City,3.85,3.85,0.0
SC3,2425,2024-10-19,Forfar,East Fife,3.58,3.58,0.0
SC3,2425,2024-10-19,Stirling,Clyde,3.21,3.21,0.0
SC3,2425,2024-10-19,Stranraer,Peterhead,3.39,3.39,0.0
SC3,2425,2024-11-02,Peterhead,Spartans,3.27,3.27,0.0
SC3,2425,2024-11-02,Clyde,Bonnyrigg Rose,3.34,3.34,0.0
SC3,2425,2024-11-02,East Fife,Stirling,3.8,3.8,0.0
SC3,2425,2024-11-02,Elgin,Stranraer,3.59,3.59,0.0
SC3,2425,2024-11-02,Edinburgh City,Forfar,3.34,3.34,0.0
SC3,2425,2024-11-09,Bonnyrigg Rose,Elgin,3.34,3.34,0.0
SC3,2425,2024-11-09,Forfar,Spartans,3.12,3.12,0.0
SC3,2425,2024-11-09,Stirling,Peterhead,3.22,3.22,0.0
SC3,2425,2024-11-09,Edinburgh City,Clyde,3.64,3.64,0.0
SC3,2425,2024-11-09,East Fife,Stranraer,4.14,4.14,0.0
SC3,2425,2024-11-16,Peterhead,Edinburgh City,4.63,4.63,0.0
SC3,2425,2024-11-16,Spartans,Stirling,3.22,3.22,0.0
SC3,2425,2024-11-16,Stranraer,Bonnyrigg Rose,3.17,3.17,0.0
SC3,2425,2024-11-16,Clyde,East Fife,3.24,3.24,0.0
SC3,2425,2024-11-16,Elgin,Forfar,3.14,3.14,0.0
SC3,2425,2024-11-30,Bonnyrigg Rose,East Fife,3.41,3.41,0.0
SC3,2425,2024-12-03,Bonnyrigg Rose,Stirling,3.28,3.28,0.0
SC3,2425,2024-12-07,East Fife,Elgin,3.49,3.49,0.0
SC3,2425,2024-12-07,Clyde,Peterhead,3.24,3.24,0.0
SC3,2425,2024-12-07,Stirling,Edinburgh City,3.73,3.73,0.0
SC3,2425,2024-12-10,Spartans,Stranraer,3.42,3.42,0.0
SC3,2425,2024-12-14,Forfar,Bonnyrigg Rose,3.08,3.08,0.0
SC3,2425,2024-12-14,Elgin,Stirling,3.32,3.32,0.0
SC3,2425,2024-12-14,Peterhead,East Fife,3.47,3.47,0.0
SC3,2425,2024-12-14,Spartans,Clyde,3.39,3.39,0.0
SC3,2425,2024-12-14,Stranraer,Edinburgh City,3.49,3.49,0.0
SC3,2425,2024-12-17,Elgin,Clyde,3.3,3.3,0.0
SC3,2425,2024-12-17,Forfar,Peterhead,3.16,3.16,0.0
SC3,2425,2024-12-21,Edinburgh City,Elgin,3.56,3.56,0.0
SC3,2425,2024-12-21,Peterhead,Bonnyrigg Rose,3.65,3.65,0.0
SC3,2425,2024-12-21,Stirling,Stranraer,3.27,3.27,0.0
SC3,2425,2024-12-21,Clyde,Forfar,3.33,3.33,0.0
SC3,2425,2024-12-21,East Fife,Spartans,3.23,3.23,0.0
SC3,2425,2024-12-28,Spartans,Edinburgh City,3.68,3.68,0.0
SC3,2425,2024-12-28,Stranraer,Clyde,3.34,3.34,0.0
SC3,2425,2024-12-28,Forfar,Stirling,3.44,3.44,0.0
SC3,2425,2024-12-28,Elgin,Peterhead,3.33,3.33,0.0
SC3,2425,2025-01-04,Edinburgh City,Bonnyrigg Rose,3.28,3.28,0.0
SC3,2425,2025-01-04,Clyde,Stirling,3.44,3.44,0.0
SC3,2425,2025-01-04,East Fife,Forfar,3.41,3.41,0.0
SC3,2425,2025-01-08,Edinburgh City,East Fife,3.38,3.38,0.0
SC3,2425,2025-01-11,Edinburgh City,Peterhead,3.63,3.63,0.0
SC3,2425,2025-01-11,East Fife,Clyde,3.44,3.44,0.0
SC3,2425,2025-01-11,Forfar,Elgin,3.13,3.13,0.0
SC3,2425,2025-01-14,Peterhead,Stranraer,3.48,3.48,0.0
SC3,2425,2025-01-17,Clyde,Edinburgh City,3.59,3.59,0.0
SC3,2425,2025-01-18,Peterhead,Stirling,3.73,3.73,0.0
SC3,2425,2025-01-18,Stranraer,East Fife,3.26,3.26,0.0
SC3,2425,2025-01-21,Bonnyrigg Rose,Spartans,3.0,3.0,0.0
SC3,2425,2025-01-25,Forfar,Stranraer,3.15,3.15,0.0
SC3,2425,2025-01-25,Spartans,Peterhead,3.14,3.14,0.0
SC3,2425,2025-01-25,Stirling,Bonnyrigg Rose,3.29,3.29,0.0
SC3,2425,2025-01-25,East Fife,Edinburgh City,3.8,3.8,0.0
SC3,2425,2025-01-25,Clyde,Elgin,3.33,3.33,0.0
SC3,2425,2025-01-28,Bonnyrigg Rose,Stranraer,3.18,3.18,0.0
SC3,2425,2025-02-01,Elgin,East Fife,3.3,3.3,0.0
SC3,2425,2025-02-01,Peterhead,Forfar,3.61,3.61,0.0
SC3,2425,2025-02-01,Stranraer,Spartans,3.11,3.11,0.0
SC3,2425,2025-02-01,Edinburgh City,Stirling,3.31,3.31,0.0
SC3,2425,2025-02-01,Bonnyrigg Rose,Clyde,3.13,3.13,0.0
SC3,2425,2025-02-04,Elgin,Bonnyrigg Rose,3.26,3.26,0.0
SC3,2425,2025-02-04,Stirling,Spartans,3.16,3.16,0.0
SC3,2425,2025-02-08,Forfar,Edinburgh City,3.54,3.54,0.0
SC3,2425,2025-02-08,Bonnyrigg Rose,Peterhead,3.26,3.26,0.0
SC3,2425,2025-02-08,Stirling,Elgin,3.24,3.24,0.0
SC3,2425,2025-02-08,Spartans,East Fife,3.19,3.19,0.0
SC3,2425,2025-02-08,Clyde,Stranraer,3.35,3.35,0.0
SC3,2425,2025-02-15,Edinburgh City,Spartans,3.13,3.13,0.0
SC3,2425,2025-02-15,East Fife,Bonnyrigg Rose,3.83,3.83,0.0
SC3,2425,2025-02-15,Peterhead,Clyde,3.65,3.65,0.0
SC3,2425,2025-02-15,Stirling,Forfar,3.22,3.22,0.0
SC3,2425,2025-02-15,Stranraer,Elgin,3.14,3.14,0.0
SC3,2425,2025-02-22,East Fife,Peterhead,3.22,3.22,0.0
SC3,2425,2025-02-22,Elgin,Edinburgh City,3.51,3.51,0.0
SC3,2425,2025-02-22,Stranraer,Stirling,3.23,3.23,0.0
SC3,2425,2025-02-22,Clyde,Spartans,3.23,3.23,0.0
SC3,2425,2025-02-22,Bonnyrigg Rose,Forfar,3.18,3.18,0.0
SC3,2425,2025-02-25,Spartans,Forfar,3.0,3.0,0.0
SC3,2425,2025-03-01,Peterhead,Elgin,3.39,3.39,0.0
SC3,2425,2025-03-01,Spartans,Bonnyrigg Rose,3.2,3.2,0.0
SC3,2425,2025-03-01,Stirling,East Fife,3.46,3.46,0.0
SC3,2425,2025-03-01,Forfar,Clyde,3.07,3.07,0.0
SC3,2425,2025-03-01,Edinburgh City,Stranraer,3.26,3.26,0.0
SC3,2425,2025-03-04,Stranraer,Forfar,3.05,3.05,0.0
SC3,2425,2025-03-08,Clyde,East Fife,3.29,3.29,0.0
SC3,2425,2025-03-08,Elgin,Forfar,3.17,3.17,0.0
SC3,2425,2025-03-08,Spartans,Stirling,3.29,3.29,0.0
SC3,2425,2025-03-08,Stranraer,Peterhead,3.31,3.31,0.0
SC3,2425,2025-03-08,Bonnyrigg Rose,Edinburgh City,3.44,3.44,0.0
SC3,2425,2025-03-11,Elgin,Spartans,3.11,3.11,0.0
SC3,2425,2025-03-15,Elgin,Clyde,3.15,3.15,0.0
