league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
SP1,1920,2019-08-16,Ath Bilbao,Barcelona,3.81,3.81,0.0
SP1,1920,2019-08-17,Celta,Ath Madrid,4.12,4.12,0.0
SP1,1920,2019-08-17,Valencia,Sociedad,3.8,3.8,0.0
SP1,1920,2019-08-17,Mallorca,Eibar,3.09,3.09,0.0
SP1,1920,2019-08-17,Levante,Osasuna,3.18,3.18,0.0
SP1,1920,2019-08-17,Villarreal,Granada,3.95,3.95,0.0
SP1,1920,2019-08-18,Alaves,Levante,3.25,3.25,0.0
SP1,1920,2019-08-18,Espanol,Sevilla,3.41,3.41,0.0
SP1,1920,2019-08-18,Betis,Valladolid,3.76,3.76,0.0
SP1,1920,2019-08-18,Ath Madrid,Getafe,4.23,4.23,0.0
SP1,1920,2019-08-23,Granada,Sevilla,3.58,3.58,0.0
SP1,1920,2019-08-23,Levante,Villarreal,3.54,3.54,0.0
SP1,1920,2019-08-24,Osasuna,Eibar,3.12,3.12,0.0
SP1,1920,2019-08-24,Ath Madrid,Valladolid,6.97,6.97,0.0
SP1,1920,2019-08-24,Celta,Valencia,3.45,3.45,0.0
SP1,1920,2019-08-24,Getafe,Ath Bilbao,2.94,2.94,0.0
SP1,1920,2019-08-25,Alaves,Espanol,3.18,3.18,0.0
SP1,1920,2019-08-25,Mallorca,Sociedad,3.23,3.23,0.0
SP1,1920,2019-08-25,Levante,Ath Madrid,3.29,3.29,0.0
SP1,1920,2019-08-25,Barcelona,Betis,6.07,6.07,0.0
SP1,1920,2019-08-30,Sevilla,Celta,4.31,4.31,0.0
SP1,1920,2019-08-30,Ath Bilbao,Sociedad,3.07,3.07,0.0
SP1,1920,2019-08-31,Osasuna,Barcelona,4.86,4.86,0.0
SP1,1920,2019-08-31,Getafe,Alaves,3.34,3.34,0.0
SP1,1920,2019-08-31,Levante,Valladolid,3.56,3.56,0.0
SP1,1920,2019-08-31,Betis,Levante,3.24,3.24,0.0
SP1,1920,2019-09-01,Valencia,Mallorca,4.63,4.63,0.0
SP1,1920,2019-09-01,Ath Madrid,Eibar,4.16,4.16,0.0
SP1,1920,2019-09-01,Espanol,Granada,3.2,3.2,0.0
SP1,1920,2019-09-01,Villarreal,Ath Madrid,4.14,4.14,0.0
SP1,1920,2019-09-13,Mallorca,Ath Bilbao,3.02,3.02,0.0
SP1,1920,2019-09-14,Ath Madrid,Levante,6.59,6.59,0.0
SP1,1920,2019-09-14,Levante,Villarreal,3.15,3.15,0.0
SP1,1920,2019-09-14,Sociedad,Ath Madrid,3.15,3.15,0.0
SP1,1920,2019-09-14,Barcelona,Valencia,4.59,4.59,0.0
SP1,1920,2019-09-15,Eibar,Espanol,3.34,3.34,0.0
SP1,1920,2019-09-15,Alaves,Sevilla,3.37,3.37,0.0
SP1,1920,2019-09-15,Celta,Granada,3.64,3.64,0.0
SP1,1920,2019-09-15,Valladolid,Osasuna,3.05,3.05,0.0
SP1,1920,2019-09-15,Betis,Getafe,3.22,3.22,0.0
SP1,1920,2019-09-20,Osasuna,Betis,3.37,3.37,0.0
SP1,1920,2019-09-21,Villarreal,Valladolid,4.19,4.19,0.0
SP1,1920,2019-09-21,Levante,Eibar,3.51,3.51,0.0
SP1,1920,2019-09-21,Ath Madrid,Celta,4.35,4.35,0.0
SP1,1920,2019-09-21,Granada,Barcelona,5.44,5.44,0.0
SP1,1920,2019-09-22,Getafe,Mallorca,3.23,3.23,0.0
SP1,1920,2019-09-22,Espanol,Sociedad,3.25,3.25,0.0
SP1,1920,2019-09-22,Valencia,Levante,3.9,3.9,0.0
SP1,1920,2019-09-22,Ath Bilbao,Alaves,3.61,3.61,0.0
SP1,1920,2019-09-22,Sevilla,Ath Madrid,3.77,3.77,0.0
SP1,1920,2019-09-24,Valladolid,Granada,3.17,3.17,0.0
SP1,1920,2019-09-24,Betis,Levante,3.67,3.67,0.0
SP1,1920,2019-09-24,Barcelona,Villarreal,6.06,6.06,0.0
SP1,1920,2019-09-25,Levante,Ath Bilbao,2.94,2.94,0.0
SP1,1920,2019-09-25,Mallorca,Ath Madrid,3.65,3.65,0.0
SP1,1920,2019-09-25,Valencia,Getafe,3.31,3.31,0.0
SP1,1920,2019-09-25,Ath Madrid,Osasuna,6.45,6.45,0.0
SP1,1920,2019-09-26,Eibar,Sevilla,3.34,3.34,0.0
SP1,1920,2019-09-26,Celta,Espanol,3.64,3.64,0.0
SP1,1920,2019-09-26,Sociedad,Alaves,3.83,3.83,0.0
SP1,1920,2019-09-27,Villarreal,Betis,3.82,3.82,0.0
SP1,1920,2019-09-28,Ath Bilbao,Valencia,3.21,3.21,0.0
SP1,1920,2019-09-28,Getafe,Barcelona,3.44,3.44,0.0
SP1,1920,2019-09-28,Granada,Levante,3.07,3.07,0.0
SP1,1920,2019-09-28,Ath Madrid,Ath Madrid,3.33,3.33,0.0
SP1,1920,2019-09-29,Espanol,Valladolid,3.26,3.26,0.0
SP1,1920,2019-09-29,Eibar,Celta,3.3,3.3,0.0
SP1,1920,2019-09-29,Alaves,Mallorca,3.13,3.13,0.0
SP1,1920,2019-09-29,Levante,Osasuna,3.45,3.45,0.0
SP1,1920,2019-09-29,Sevilla,Sociedad,3.56,3.56,0.0
SP1,1920,2019-10-04,Betis,Eibar,3.62,3.62,0.0
SP1,1920,2019-10-05,Levante,Levante,3.44,3.44,0.0
SP1,1920,2019-10-05,Ath Madrid,Granada,5.78,5.78,0.0
SP1,1920,2019-10-05,Valencia,Alaves,4.1,4.1,0.0
SP1,1920,2019-10-05,Osasuna,Villarreal,3.28,3.28,0.0
SP1,1920,2019-10-06,Mallorca,Espanol,3.13,3.13,0.0
SP1,1920,2019-10-06,Celta,Ath Bilbao,3.04,3.04,0.0
SP1,1920,2019-10-06,Valladolid,Ath Madrid,3.52,3.52,0.0
SP1,1920,2019-10-06,Sociedad,Getafe,3.36,3.36,0.0
SP1,1920,2019-10-06,Barcelona,Sevilla,4.46,4.46,0.0
SP1,1920,2019-10-18,Granada,Osasuna,3.01,3.01,0.0
SP1,1920,2019-10-19,Eibar,Barcelona,4.5,4.5,0.0
SP1,1920,2019-10-19,Ath Madrid,Valencia,3.87,3.87,0.0
SP1,1920,2019-10-19,Getafe,Levante,3.21,3.21,0.0
SP1,1920,2019-10-19,Mallorca,Ath Madrid,4.34,4.34,0.0
SP1,1920,2019-10-20,Alaves,Celta,3.0,3.0,0.0
SP1,1920,2019-10-20,Sociedad,Betis,3.88,3.88,0.0
