league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
B1,2526,2025-07-25,Antwerp,St. Gilloise,61,61,False
B1,2526,2025-07-26,RAAL La Louviere,Standard,7,63,False
B1,2526,2025-07-26,Dender,Cercle Brugge,63,62,False
B1,2526,2025-07-26,Waregem,Mechelen,825,63,False
B1,2526,2025-07-27,Anderlecht,Westerlo,63,64,False
B1,2526,2025-07-27,Oud-Heverlee Leuven,Charleroi,64,64,False
B1,2526,2025-07-27,Cercle Brugge,Genk,1,63,False
B1,2526,2025-07-27,St Truiden,Genk,78,63,False
B1,2526,2025-08-01,Mechelen,Cercle Brugge,6,5,False
B1,2526,2025-08-02,Westerlo,Waregem,6,7,False
B1,2526,2025-08-02,Genk,RAAL La Louviere,6,7,False
B1,2526,2025-08-02,Standard,Dender,7,7,False
B1,2526,2025-08-03,Cercle Brugge,Anderlecht,2,7,False
B1,2526,2025-08-03,Genk,Antwerp,1,9,False
B1,2526,2025-08-03,St. Gilloise,Oud-Heverlee Leuven,9,7,False
B1,2526,2025-08-03,Charleroi,St Truiden,7,7,False
B1,2526,2025-08-08,St Truiden,Dender,5,6,False
B1,2526,2025-08-09,Genk,St. Gilloise,6,6,False
B1,2526,2025-08-09,Cercle Brugge,Cercle Brugge,6,6,False
B1,2526,2025-08-09,Westerlo,Mechelen,7,8,False
B1,2526,2025-08-10,Antwerp,Oud-Heverlee Leuven,7,7,False
B1,2526,2025-08-10,Standard,Genk,8,1,False
B1,2526,2025-08-10,Anderlecht,Waregem,7,8,False
B1,2526,2025-08-10,RAAL La Louviere,Charleroi,8,7,False
B1,2526,2025-08-15,Oud-Heverlee Leuven,Genk,5,5,False
B1,2526,2025-08-16,Mechelen,Genk,7,1,False
B1,2526,2025-08-16,St. Gilloise,Standard,7,6,False
B1,2526,2025-08-16,Waregem,Cercle Brugge,6,7,False
B1,2526,2025-08-17,Cercle Brugge,Westerlo,1,8,False
B1,2526,2025-08-17,Dender,Anderlecht,9,7,False
B1,2526,2025-08-17,St Truiden,RAAL La Louviere,9,7,False
B1,2526,2025-08-17,Charleroi,Antwerp,7,7,False
B1,2526,2025-08-23,Standard,Cercle Brugge,7,6,False
B1,2526,2025-08-23,Waregem,St Truiden,7,6,False
B1,2526,2025-08-24,Antwerp,Mechelen,7,8,False
B1,2526,2025-08-24,RAAL La Louviere,St. Gilloise,7,8,False
B1,2526,2025-08-24,Dender,Oud-Heverlee Leuven,7,9,False
B1,2526,2025-08-29,Cercle Brugge,St Truiden,6,6,False
B1,2526,2025-08-30,Westerlo,Antwerp,13,6,False
B1,2526,2025-08-30,Charleroi,Dender,13,6,False
B1,2526,2025-08-30,Mechelen,RAAL La Louviere,6,6,False
B1,2526,2025-08-31,Oud-Heverlee Leuven,Standard,7,8,False
B1,2526,2025-08-31,Genk,Cercle Brugge,15,2,False
B1,2526,2025-08-31,Genk,Waregem,15,8,False
B1,2526,2025-08-31,St. Gilloise,Anderlecht,7,14,False
B1,2526,2025-09-12,Standard,Mechelen,12,13,False
B1,2526,2025-09-13,Dender,St. Gilloise,14,13,False
B1,2526,2025-09-13,Waregem,Oud-Heverlee Leuven,13,13,False
B1,2526,2025-09-13,RAAL La Louviere,Cercle Brugge,14,13,False
B1,2526,2025-09-14,Cercle Brugge,Charleroi,1,15,False
B1,2526,2025-09-14,Antwerp,Genk,15,14,False
B1,2526,2025-09-14,Anderlecht,Genk,14,14,False
B1,2526,2025-09-14,St Truiden,Westerlo,16,15,False
B1,2526,2025-09-17,Genk,Charleroi,3,3,True
B1,2526,2025-09-19,Genk,Dender,2,6,False
B1,2526,2025-09-20,Charleroi,Waregem,3,7,False
B1,2526,2025-09-20,Anderlecht,Antwerp,6,6,False
B1,2526,2025-09-20,Oud-Heverlee Leuven,RAAL La Louviere,7,7,False
B1,2526,2025-09-21,Cercle Brugge,St Truiden,7,7,False
B1,2526,2025-09-21,Mechelen,Cercle Brugge,9,7,False
B1,2526,2025-09-21,Westerlo,Standard,7,9,False
B1,2526,2025-09-21,Genk,St. Gilloise,2,8,False
B1,2526,2025-09-23,Anderlecht,Genk,3,2,True
B1,2526,2025-09-24,Cercle Brugge,Westerlo,3,3,True
B1,2526,2025-09-26,Oud-Heverlee Leuven,Anderlecht,6,3,False
B1,2526,2025-09-27,Standard,Cercle Brugge,6,3,False
B1,2526,2025-09-27,St. Gilloise,Westerlo,6,3,False
B1,2526,2025-09-27,Waregem,Antwerp,7,7,False
B1,2526,2025-09-28,Cercle Brugge,Genk,1,5,False
B1,2526,2025-09-28,Charleroi,Mechelen,8,7,False
B1,2526,2025-09-28,Dender,RAAL La Louviere,9,8,False
B1,2526,2025-09-28,St Truiden,Genk,7,5,False
B1,2526,2025-10-03,Genk,Charleroi,5,5,False
B1,2526,2025-10-04,Antwerp,Cercle Brugge,7,6,False
