league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
CHN1,2526,2025-02-22,Shandong Taishan,Dalian Yingbo,358,2185,False
CHN1,2526,2025-02-22,Shanghai Port FC,Changchun Yatai,358,358,False
CHN1,2526,2025-02-22,Qingdao Hainiu,Shenzhen Peng City,358,358,False
CHN1,2526,2025-02-22,Meizhou Hakka,Henan FC,358,358,False
CHN1,2526,2025-02-22,Shanghai Shenhua,Beijing Guoan,358,358,False
CHN1,2526,2025-02-22,Yunnan Yukun,Zhejiang Professional,7,358,False
CHN1,2526,2025-02-22,Chengdu Rongcheng,Tianjin Jinmen Tiger,358,358,False
CHN1,2526,2025-02-22,Qingdao West Coast,Wuhan Three Towns,358,358,False
CHN1,2526,2025-02-22,Qingdao West Coast,Shanghai Port FC,358,358,False
CHN1,2526,2025-02-22,Wuhan Three Towns,Zhejiang Professional,358,358,False
CHN1,2526,2025-02-22,Shenzhen Peng City,Yunnan Yukun,358,7,False
CHN1,2526,2025-02-22,Dalian Yingbo,Changchun Yatai,2185,358,False
CHN1,2526,2025-02-22,Tianjin Jinmen Tiger,Qingdao Hainiu,358,358,False
CHN1,2526,2025-02-22,Henan FC,Shanghai Shenhua,358,358,False
CHN1,2526,2025-02-22,Meizhou Hakka,Shandong Taishan,358,358,False
CHN1,2526,2025-02-22,Beijing Guoan,Chengdu Rongcheng,358,358,False
CHN1,2526,2025-02-22,Henan FC,Qingdao West Coast,358,358,False
CHN1,2526,2025-02-22,Zhejiang Professional,Shenzhen Peng City,358,358,False
CHN1,2526,2025-02-22,Changchun Yatai,Wuhan Three Towns,358,358,False
CHN1,2526,2025-02-22,Shanghai Shenhua,Yunnan Yukun,358,7,False
CHN1,2526,2025-02-22,Qingdao Hainiu,Dalian Yingbo,358,2185,False
CHN1,2526,2025-02-22,Shandong Taishan,Chengdu Rongcheng,358,358,False
CHN1,2526,2025-02-22,Tianjin Jinmen Tiger,Beijing Guoan,358,358,False
CHN1,2526,2025-02-22,Shanghai Port FC,Meizhou Hakka,358,358,False
CHN1,2526,2025-02-22,Shenzhen Peng City,Henan FC,358,358,False
CHN1,2526,2025-02-22,Changchun Yatai,Shandong Taishan,358,358,False
CHN1,2526,2025-02-22,Qingdao West Coast,Tianjin Jinmen Tiger,358,358,False
CHN1,2526,2025-02-22,Meizhou Hakka,Wuhan Three Towns,358,358,False
CHN1,2526,2025-02-22,Chengdu Rongcheng,Dalian Yingbo,358,2185,False
CHN1,2526,2025-02-22,Shanghai Port FC,Shanghai Shenhua,358,358,False
