league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
D2,1819,2018-08-03,Hamburg,Holstein Kiel,7,30,False
D2,1819,2018-08-04,Bochum,FC Koln,60,7,False
D2,1819,2018-08-04,Regensburg,Ingolstadt,60,60,False
D2,1819,2018-08-04,Greuther Furth,Sandhausen,60,60,False
D2,1819,2018-08-05,Union Berlin,Erzgebirge Aue,32,32,False
D2,1819,2018-08-05,Magdeburg,St Pauli,7,32,False
D2,1819,2018-08-05,Heidenheim,Bielefeld,32,1,False
D2,1819,2018-08-05,Darmstadt,Paderborn,32,7,False
D2,1819,2018-08-06,Dresden,Duisburg,2,33,False
D2,1819,2018-08-10,Paderborn,Regensburg,5,6,False
D2,1819,2018-08-10,St Pauli,Darmstadt,5,5,False
D2,1819,2018-08-10,Ingolstadt,Greuther Furth,6,6,False
D2,1819,2018-08-11,Bielefeld,Dresden,6,5,False
D2,1819,2018-08-11,Duisburg,Bochum,5,7,False
D2,1819,2018-08-12,Holstein Kiel,Heidenheim,9,7,False
D2,1819,2018-08-12,Sandhausen,Hamburg,8,9,False
D2,1819,2018-08-12,Erzgebirge Aue,Magdeburg,7,7,False
D2,1819,2018-08-13,FC Koln,Union Berlin,9,8,False
D2,1819,2018-08-24,Bochum,Sandhausen,13,12,False
D2,1819,2018-08-24,Darmstadt,Duisburg,14,13,False
D2,1819,2018-08-25,FC Koln,Erzgebirge Aue,12,13,False
D2,1819,2018-08-25,Greuther Furth,Paderborn,15,15,False
D2,1819,2018-08-25,Magdeburg,Ingolstadt,13,15,False
D2,1819,2018-08-26,Dresden,Heidenheim,15,14,False
D2,1819,2018-08-26,Regensburg,Holstein Kiel,16,14,False
D2,1819,2018-08-26,Union Berlin,St Pauli,13,16,False
D2,1819,2018-08-27,Hamburg,Bielefeld,15,16,False
D2,1819,2018-08-31,Paderborn,Bochum,6,7,False
D2,1819,2018-08-31,Ingolstadt,Erzgebirge Aue,6,6,False
D2,1819,2018-09-01,Bielefeld,Regensburg,5,6,False
D2,1819,2018-09-01,Duisburg,Greuther Furth,8,7,False
D2,1819,2018-09-02,Heidenheim,Darmstadt,7,9,False
