league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
DK1,2021,2020-09-18,Bayern Munich,Schalke 04,83,83,False
DK1,2021,2020-09-19,Ein Frankfurt,Bielefeld,84,7,False
DK1,2021,2020-09-19,FC Koln,Heidenheim,84,84,False
DK1,2021,2020-09-19,Stuttgart,Freiburg,490,84,False
DK1,2021,2020-09-19,Union Berlin,Augsburg,84,84,False
DK1,2021,2020-09-19,Werder Bremen,Hertha,84,84,False
DK1,2021,2020-09-19,Dortmund,M'gladbach,84,84,False
DK1,2021,2020-09-20,RB Leipzig,Mainz,85,85,False
DK1,2021,2020-09-20,Wolfsburg,Leverkusen,85,85,False
DK1,2021,2020-09-25,Hertha,Ein Frankfurt,6,6,False
DK1,2021,2020-09-26,Augsburg,Dortmund,7,7,False
DK1,2021,2020-09-26,Bielefeld,FC Koln,7,7,False
DK1,2021,2020-09-26,Leverkusen,RB Leipzig,6,6,False
DK1,2021,2020-09-26,Mainz,Stuttgart,6,7,False
DK1,2021,2020-09-26,M'gladbach,Union Berlin,7,7,False
DK1,2021,2020-09-26,Schalke 04,Werder Bremen,8,7,False
DK1,2021,2020-09-27,Heidenheim,Bayern Munich,8,9,False
DK1,2021,2020-09-27,Freiburg,Wolfsburg,8,7,False
DK1,2021,2020-10-02,Union Berlin,Mainz,6,6,False
DK1,2021,2020-10-03,Dortmund,Freiburg,7,6,False
DK1,2021,2020-10-03,Ein Frankfurt,Heidenheim,8,6,False
DK1,2021,2020-10-03,FC Koln,M'gladbach,7,7,False
DK1,2021,2020-10-03,Stuttgart,Leverkusen,7,7,False
DK1,2021,2020-10-03,Werder Bremen,Bielefeld,7,7,False
DK1,2021,2020-10-03,RB Leipzig,Schalke 04,7,7,False
DK1,2021,2020-10-04,Wolfsburg,Augsburg,7,8,False
DK1,2021,2020-10-04,Bayern Munich,Hertha,7,9,False
DK1,2021,2020-10-17,Augsburg,RB Leipzig,13,14,False
DK1,2021,2020-10-17,Freiburg,Werder Bremen,14,14,False
DK1,2021,2020-10-17,Hertha,Stuttgart,13,14,False
DK1,2021,2020-10-17,Heidenheim,Dortmund,14,14,False
DK1,2021,2020-10-17,Mainz,Leverkusen,15,14,False
DK1,2021,2020-10-17,Bielefeld,Bayern Munich,14,13,False
DK1,2021,2020-10-17,M'gladbach,Wolfsburg,14,13,False
DK1,2021,2020-10-18,FC Koln,Ein Frankfurt,15,15,False
DK1,2021,2020-10-18,Schalke 04,Union Berlin,15,16,False
DK1,2021,2020-10-23,Stuttgart,FC Koln,6,5,False
DK1,2021,2020-10-24,Bayern Munich,Ein Frankfurt,7,6,False
DK1,2021,2020-10-24,Mainz,M'gladbach,7,7,False
DK1,2021,2020-10-24,RB Leipzig,Hertha,7,7,False
DK1,2021,2020-10-24,Union Berlin,Freiburg,6,7,False
DK1,2021,2020-10-24,Dortmund,Schalke 04,7,6,False
DK1,2021,2020-10-25,Wolfsburg,Bielefeld,8,8,False
