league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
E2,1617,2016-01-10,Bury,Scunthorpe,7,7,False
E2,1617,2016-01-10,Port Vale,Coventry,7,7,False
E2,1617,2016-01-10,Oldham,Milton Keynes Dons,7,7,False
E2,1617,2016-01-10,Chesterfield,Bradford,7,7,False
E2,1617,2016-01-10,Charlton,Rochdale,7,7,False
E2,1617,2016-01-10,Luton,Oxford,7,7,False
E2,1617,2016-01-10,AFC Wimbledon,Birmingham,7,7,False
E2,1617,2016-01-10,Southend,Peterboro,7,7,False
E2,1617,2016-01-10,Fleetwood Town,Sheffield Weds,7,7,False
E2,1617,2016-01-10,Walsall,Millwall,7,7,False
E2,1617,2016-01-10,Northampton,Bristol Rvs,7,7,False
E2,1617,2016-01-10,Shrewsbury,Swindon,7,7,False
E2,1617,2016-01-11,Bristol Rvs,Fleetwood Town,1,1,False
E2,1617,2016-01-11,Coventry,Chesterfield,1,1,False
E2,1617,2016-03-09,Peterboro,Swindon,59,59,True
E2,1617,2016-03-09,Oxford,Rochdale,59,59,True
E2,1617,2016-03-09,AFC Wimbledon,Chesterfield,59,58,True
E2,1617,2016-03-09,Luton,Southend,59,59,True
E2,1617,2016-03-09,Bury,Port Vale,59,59,True
E2,1617,2016-03-09,Millwall,Bradford,59,59,True
E2,1617,2016-03-09,Oldham,Shrewsbury,59,59,True
E2,1617,2016-03-09,Fleetwood Town,Coventry,58,58,True
E2,1617,2016-04-09,Northampton,Milton Keynes Dons,90,90,False
E2,1617,2016-04-09,Birmingham,Sheffield Weds,90,90,False
E2,1617,2016-06-08,Bradford,Port Vale,91,91,True
E2,1617,2016-06-08,Luton,Sheffield Weds,91,60,True
E2,1617,2016-06-08,Shrewsbury,Milton Keynes Dons,91,60,True
E2,1617,2016-06-08,Swindon,Coventry,91,91,True
E2,1617,2016-06-08,Walsall,AFC Wimbledon,150,91,True
E2,1617,2016-06-08,Southend,Birmingham,91,60,True
E2,1617,2016-06-08,Scunthorpe,Bristol Rvs,150,149,True
E2,1617,2016-06-08,Rochdale,Peterboro,91,91,True
E2,1617,2016-06-08,Northampton,Fleetwood Town,60,91,True
E2,1617,2016-06-08,Oxford,Chesterfield,91,91,True
E2,1617,2016-06-08,Millwall,Oldham,91,91,True
E2,1617,2016-06-08,Bury,Charlton,91,150,True
E2,1617,2016-08-10,Scunthorpe,Northampton,63,63,True
E2,1617,2016-08-10,Peterboro,Bury,63,63,True
E2,1617,2016-08-10,Swindon,Luton,63,63,True
E2,1617,2016-08-10,Rochdale,Southend,63,63,True
E2,1617,2016-08-10,Bradford,Shrewsbury,63,63,True
E2,1617,2016-08-10,Birmingham,Oldham,63,63,True
E2,1617,2016-08-13,Fleetwood Town,Scunthorpe,66,3,False
E2,1617,2016-08-13,Coventry,Shrewsbury,66,3,False
E2,1617,2016-08-13,AFC Wimbledon,Luton,66,3,False
E2,1617,2016-08-13,Charlton,Northampton,66,3,False
E2,1617,2016-08-13,Chesterfield,Swindon,66,3,False
E2,1617,2016-08-13,Birmingham,Bury,3,3,False
E2,1617,2016-08-13,Milton Keynes Dons,Millwall,66,66,False
E2,1617,2016-08-13,Sheffield Weds,Rochdale,66,3,False
E2,1617,2016-08-13,Port Vale,Southend,66,3,False
E2,1617,2016-08-13,Peterboro,Bradford,3,3,False
E2,1617,2016-08-13,Oldham,Walsall,3,66,False
E2,1617,2016-08-14,Bristol Rvs,Oxford,67,67,False
E2,1617,2016-08-16,Birmingham,Swindon,3,3,True
E2,1617,2016-08-16,Port Vale,Rochdale,3,3,True
E2,1617,2016-08-16,Oldham,Northampton,3,3,True
E2,1617,2016-08-16,Coventry,Bury,3,3,True
E2,1617,2016-08-16,Chesterfield,Walsall,3,3,True
E2,1617,2016-08-16,AFC Wimbledon,Scunthorpe,3,3,True
E2,1617,2016-08-16,Peterboro,Millwall,3,3,True
E2,1617,2016-08-16,Milton Keynes Dons,Bradford,3,3,True
E2,1617,2016-08-16,Sheffield Weds,Southend,3,3,True
E2,1617,2016-08-16,Charlton,Shrewsbury,3,3,True
E2,1617,2016-08-17,Fleetwood Town,Oxford,4,3,True
E2,1617,2016-08-17,Bristol Rvs,Luton,3,4,True
E2,1617,2016-08-20,Scunthorpe,Birmingham,4,4,False
E2,1617,2016-08-20,Walsall,Charlton,4,4,False
E2,1617,2016-08-20,Shrewsbury,Chesterfield,4,4,False
E2,1617,2016-08-20,Swindon,Port Vale,4,4,False
E2,1617,2016-08-20,Luton,Fleetwood Town,3,3,False
E2,1617,2016-08-20,Bradford,Coventry,4,4,False
E2,1617,2016-08-20,Millwall,Sheffield Weds,4,4,False
E2,1617,2016-08-20,Oxford,Peterboro,3,4,False
E2,1617,2016-08-20,Rochdale,Milton Keynes Dons,4,4,False
E2,1617,2016-08-20,Northampton,AFC Wimbledon,4,4,False
E2,1617,2016-08-20,Bury,Oldham,4,4,False
E2,1617,2016-08-20,Southend,Bristol Rvs,4,3,False
E2,1617,2016-08-27,Shrewsbury,Birmingham,7,7,False
E2,1617,2016-08-27,Milton Keynes Dons,Peterboro,7,7,False
E2,1617,2016-08-27,Walsall,Bury,7,7,False
E2,1617,2016-08-27,Sheffield Weds,Oxford,7,7,False
E2,1617,2016-08-27,Rochdale,AFC Wimbledon,7,7,False
E2,1617,2016-08-27,Port Vale,Scunthorpe,7,7,False
E2,1617,2016-08-27,Coventry,Northampton,7,7,False
E2,1617,2016-08-27,Chesterfield,Millwall,7,7,False
E2,1617,2016-08-27,Charlton,Luton,7,7,False
E2,1617,2016-08-27,Bradford,Oldham,7,7,False
E2,1617,2016-08-27,Southend,Fleetwood Town,7,7,False
E2,1617,2016-09-10,Oxford,AFC Wimbledon,14,14,False
E2,1617,2016-09-10,Milton Keynes Dons,Port Vale,14,14,False
E2,1617,2016-09-13,Bristol Rvs,Walsall,24,17,True
E2,1617,2016-09-17,Chesterfield,Northampton,21,21,False
E2,1617,2016-09-17,Coventry,Oldham,21,21,False
E2,1617,2016-09-17,Milton Keynes Dons,Oxford,7,7,False
E2,1617,2016-09-17,Sheffield Weds,Peterboro,21,21,False
E2,1617,2016-09-17,Shrewsbury,Scunthorpe,21,21,False
E2,1617,2016-09-17,Walsall,Luton,4,21,False
E2,1617,2016-09-17,Swindon,Bury,28,21,False
E2,1617,2016-09-17,Bradford,Bristol Rvs,21,4,False
E2,1617,2016-09-17,Charlton,AFC Wimbledon,21,7,False
E2,1617,2016-09-17,Rochdale,Fleetwood Town,21,21,False
E2,1617,2016-09-17,Southend,Millwall,21,21,False
E2,1617,2016-09-17,Port Vale,Birmingham,7,21,False
E2,1617,2016-09-20,Scunthorpe,Charlton,3,3,True
E2,1617,2016-09-20,Swindon,Bristol Rvs,3,3,True
E2,1617,2016-09-24,Luton,Bradford,7,7,False
E2,1617,2016-09-24,AFC Wimbledon,Shrewsbury,7,7,False
E2,1617,2016-09-24,Bristol Rvs,Port Vale,4,7,False
E2,1617,2016-09-24,Bury,Chesterfield,7,7,False
E2,1617,2016-09-24,Peterboro,Walsall,7,7,False
E2,1617,2016-09-24,Oxford,Charlton,7,4,False
E2,1617,2016-09-24,Oldham,Swindon,7,4,False
E2,1617,2016-09-24,Northampton,Southend,7,7,False
E2,1617,2016-09-24,Millwall,Rochdale,7,7,False
E2,1617,2016-09-24,Birmingham,Coventry,7,7,False
E2,1617,2016-09-24,Fleetwood Town,Milton Keynes Dons,7,7,False
E2,1617,2016-09-24,Scunthorpe,Sheffield Weds,4,7,False
E2,1617,2016-09-27,Rochdale,Luton,3,3,True
E2,1617,2016-09-27,Sheffield Weds,Bristol Rvs,3,3,True
E2,1617,2016-09-27,Bradford,Fleetwood Town,3,3,True
E2,1617,2016-09-27,Charlton,Oldham,3,3,True
E2,1617,2016-09-27,Chesterfield,Birmingham,3,3,True
E2,1617,2016-09-27,Milton Keynes Dons,Bury,3,3,True
E2,1617,2016-09-27,Port Vale,Millwall,3,3,True
E2,1617,2016-09-27,Shrewsbury,Peterboro,3,3,True
E2,1617,2016-09-27,Southend,Oxford,3,3,True
E2,1617,2016-09-27,Swindon,Northampton,3,3,True
E2,1617,2016-09-27,Walsall,Scunthorpe,3,3,True
E2,1617,2016-09-28,Coventry,AFC Wimbledon,4,4,True
E2,1617,2016-10-09,Birmingham,Bradford,12,12,False
E2,1617,2016-10-09,Millwall,Coventry,12,11,False
E2,1617,2016-10-09,Peterboro,Port Vale,12,12,False
E2,1617,2016-10-09,Oxford,Swindon,12,12,False
E2,1617,2016-10-09,Oldham,Chesterfield,12,12,False
E2,1617,2016-10-09,AFC Wimbledon,Sheffield Weds,11,12,False
E2,1617,2016-10-09,Scunthorpe,Southend,12,12,False
E2,1617,2016-10-09,Luton,Milton Keynes Dons,12,12,False
E2,1617,2016-10-09,Northampton,Walsall,12,12,False
E2,1617,2016-10-09,Bristol Rvs,Rochdale,12,12,False
E2,1617,2016-10-09,Fleetwood Town,Charlton,12,12,False
E2,1617,2016-10-09,Bury,Shrewsbury,12,12,False
E2,1617,2016-10-12,Port Vale,Northampton,3,3,True
E2,1617,2016-10-12,Southend,Coventry,3,3,True
E2,1617,2016-10-12,Fleetwood Town,Walsall,3,3,True
E2,1617,2016-10-12,Bristol Rvs,Bury,3,3,True
E2,1617,2016-10-12,Rochdale,Scunthorpe,3,3,True
E2,1617,2016-10-12,Peterboro,Chesterfield,3,3,True
E2,1617,2016-10-12,Oxford,Oldham,3,3,True
E2,1617,2016-10-12,Bradford,Charlton,3,3,True
E2,1617,2016-10-12,Millwall,Shrewsbury,3,3,True
E2,1617,2016-10-12,Milton Keynes Dons,AFC Wimbledon,3,3,True
E2,1617,2016-10-12,Sheffield Weds,Swindon,3,3,True
E2,1617,2016-10-15,Rochdale,Bury,3,3,False
E2,1617,2016-10-15,Fleetwood Town,Peterboro,3,3,False
E2,1617,2016-10-15,Charlton,Coventry,3,3,False
E2,1617,2016-10-15,Luton,Oldham,6,3,False
E2,1617,2016-10-15,AFC Wimbledon,Swindon,3,3,False
E2,1617,2016-10-15,Bristol Rvs,Birmingham,3,6,False
E2,1617,2016-10-15,Northampton,Millwall,3,3,False
E2,1617,2016-10-15,Scunthorpe,Milton Keynes Dons,3,3,False
E2,1617,2016-10-15,Walsall,Shrewsbury,3,3,False
E2,1617,2016-10-15,Southend,Chesterfield,3,3,False
E2,1617,2016-10-15,Sheffield Weds,Port Vale,3,3,False
E2,1617,2016-10-15,Oxford,Bradford,3,3,False
E2,1617,2016-10-18,Peterboro,Northampton,3,3,True
E2,1617,2016-10-18,Oldham,Scunthorpe,3,3,True
E2,1617,2016-10-18,Shrewsbury,Sheffield Weds,3,3,True
E2,1617,2016-10-18,Swindon,Rochdale,3,3,True
E2,1617,2016-10-18,Millwall,Luton,3,3,True
E2,1617,2016-10-18,Chesterfield,Fleetwood Town,3,3,True
E2,1617,2016-10-18,Port Vale,Charlton,3,3,True
E2,1617,2016-10-18,Milton Keynes Dons,Bristol Rvs,3,3,True
E2,1617,2016-10-18,Birmingham,Walsall,3,3,True
E2,1617,2016-10-18,Bradford,Southend,3,3,True
E2,1617,2016-10-18,Bury,AFC Wimbledon,3,3,True
E2,1617,2016-10-18,Coventry,Oxford,3,3,True
E2,1617,2016-10-22,Port Vale,Oxford,4,4,False
E2,1617,2016-10-22,Chesterfield,Scunthorpe,4,4,False
E2,1617,2016-10-22,Coventry,Rochdale,4,4,False
E2,1617,2016-10-22,Milton Keynes Dons,Southend,4,4,False
E2,1617,2016-10-22,Oldham,Bristol Rvs,4,4,False
E2,1617,2016-10-22,Peterboro,AFC Wimbledon,4,4,False
E2,1617,2016-10-22,Swindon,Walsall,4,4,False
E2,1617,2016-10-22,Bradford,Sheffield Weds,4,4,False
E2,1617,2016-10-22,Birmingham,Charlton,4,4,False
E2,1617,2016-10-22,Millwall,Fleetwood Town,4,4,False
E2,1617,2016-10-22,Shrewsbury,Northampton,4,4,False
E2,1617,2016-10-24,Bury,Luton,6,6,False
E2,1617,2016-10-29,Fleetwood Town,Birmingham,7,7,False
E2,1617,2016-10-29,Northampton,Bury,7,5,False
E2,1617,2016-10-29,Oxford,Millwall,7,7,False
E2,1617,2016-10-29,Scunthorpe,Swindon,7,7,False
E2,1617,2016-10-29,Sheffield Weds,Milton Keynes Dons,7,7,False
E2,1617,2016-10-29,Southend,Shrewsbury,7,7,False
E2,1617,2016-10-29,Bristol Rvs,Peterboro,7,7,False
E2,1617,2016-10-29,Luton,Port Vale,5,7,False
E2,1617,2016-10-29,AFC Wimbledon,Bradford,7,7,False
E2,1617,2016-10-29,Walsall,Coventry,7,7,False
E2,1617,2016-10-29,Rochdale,Oldham,7,7,False
E2,1617,2016-10-29,Charlton,Chesterfield,7,7,False
E2,1617,2016-11-13,Peterboro,Luton,15,15,False
E2,1617,2016-11-13,Chesterfield,Sheffield Weds,15,15,False
E2,1617,2016-11-19,Rochdale,Swindon,21,21,False
E2,1617,2016-11-19,Walsall,Birmingham,21,21,False
E2,1617,2016-11-19,Sheffield Weds,Shrewsbury,6,21,False
E2,1617,2016-11-19,Oxford,Coventry,21,21,False
E2,1617,2016-11-19,Fleetwood Town,Chesterfield,21,6,False
E2,1617,2016-11-19,AFC Wimbledon,Bury,21,21,False
E2,1617,2016-11-19,Southend,Bradford,21,21,False
E2,1617,2016-11-19,Scunthorpe,Oldham,21,21,False
E2,1617,2016-11-19,Northampton,Peterboro,21,6,False
E2,1617,2016-11-19,Charlton,Port Vale,21,21,False
E2,1617,2016-11-19,Bristol Rvs,Milton Keynes Dons,21,21,False
E2,1617,2016-11-19,Luton,Millwall,6,21,False
E2,1617,2016-11-22,Rochdale,Walsall,3,3,True
E2,1617,2016-11-22,Peterboro,Scunthorpe,3,3,True
E2,1617,2016-11-22,Oxford,Birmingham,3,3,True
E2,1617,2016-11-22,Millwall,AFC Wimbledon,3,3,True
E2,1617,2016-11-22,Fleetwood Town,Shrewsbury,3,3,True
E2,1617,2016-11-22,Bradford,Northampton,3,3,True
E2,1617,2016-11-22,Luton,Coventry,3,3,True
E2,1617,2016-11-22,Sheffield Weds,Bury,3,3,True
E2,1617,2016-11-22,Southend,Swindon,3,3,True
E2,1617,2016-11-22,Port Vale,Oldham,3,3,True
E2,1617,2016-11-22,Milton Keynes Dons,Chesterfield,3,3,True
E2,1617,2016-11-22,Bristol Rvs,Charlton,3,3,True
E2,1617,2016-11-26,AFC Wimbledon,Fleetwood Town,4,4,False
E2,1617,2016-11-26,Birmingham,Rochdale,4,4,False
E2,1617,2016-11-26,Northampton,Luton,4,4,False
E2,1617,2016-11-26,Shrewsbury,Port Vale,4,4,False
E2,1617,2016-11-26,Swindon,Bradford,4,4,False
E2,1617,2016-11-26,Walsall,Southend,4,4,False
E2,1617,2016-11-26,Scunthorpe,Oxford,4,4,False
E2,1617,2016-11-26,Coventry,Milton Keynes Dons,4,4,False
E2,1617,2016-11-26,Chesterfield,Bristol Rvs,4,4,False
E2,1617,2016-11-26,Charlton,Sheffield Weds,4,4,False
E2,1617,2016-11-26,Bury,Millwall,4,4,False
E2,1617,2016-11-29,Sheffield Weds,Walsall,3,3,True
E2,1617,2016-12-11,Shrewsbury,Oxford,15,15,False
