league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
F1,1920,2019-08-09,Monaco,Lyon,77,77,False
F1,1920,2019-08-10,Marseille,Reims,78,78,False
F1,1920,2019-08-10,Angers,Bordeaux,78,78,False
F1,1920,2019-08-10,Brest,Toulouse,7,78,False
F1,1920,2019-08-10,Dijon,St Etienne,78,78,False
F1,1920,2019-08-10,Montpellier,Rennes,78,78,False
F1,1920,2019-08-11,Lille,Nantes,79,79,False
F1,1920,2019-08-11,Strasbourg,Metz,79,249,False
F1,1920,2019-08-11,Paris FC,Nimes,79,79,False
F1,1920,2019-08-16,Lyon,Angers,7,6,False
F1,1920,2019-08-17,Nantes,Marseille,6,7,False
F1,1920,2019-08-17,Amiens,Lille,85,6,False
F1,1920,2019-08-17,Bordeaux,Montpellier,7,7,False
F1,1920,2019-08-17,Metz,Monaco,6,8,False
F1,1920,2019-08-17,Nimes,Nice,6,85,False
F1,1920,2019-08-17,Toulouse,Dijon,7,7,False
F1,1920,2019-08-18,St Etienne,Brest,8,8,False
F1,1920,2019-08-18,Reims,Strasbourg,8,7,False
F1,1920,2019-08-18,Rennes,Paris FC,8,7,False
F1,1920,2019-08-24,Amiens,Nantes,7,7,False
F1,1920,2019-08-24,Angers,Metz,8,7,False
F1,1920,2019-08-24,Brest,Reims,6,6,False
F1,1920,2019-08-24,Dijon,Bordeaux,7,7,False
F1,1920,2019-08-25,Monaco,Nimes,8,8,False
F1,1920,2019-08-25,Strasbourg,Rennes,7,7,False
F1,1920,2019-08-25,Paris FC,Toulouse,7,8,False
F1,1920,2019-08-27,Montpellier,Lyon,10,11,True
F1,1920,2019-08-28,Lille,St Etienne,11,10,True
F1,1920,2019-08-28,Nice,Marseille,11,11,True
F1,1920,2019-08-30,Metz,Paris FC,6,5,False
F1,1920,2019-08-31,Lyon,Bordeaux,4,7,False
F1,1920,2019-08-31,Angers,Dijon,7,7,False
F1,1920,2019-08-31,Nantes,Montpellier,7,4,False
F1,1920,2019-08-31,Nimes,Brest,6,7,False
F1,1920,2019-08-31,Toulouse,Amiens,6,7,False
F1,1920,2019-09-01,Reims,Lille,8,4,False
F1,1920,2019-09-01,Rennes,Nice,7,4,False
F1,1920,2019-09-01,Strasbourg,Monaco,7,7,False
