league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
I1,1819,2018-08-18,Chievo,Juventus,14,45,False
I1,1819,2018-08-18,Lazio,Napoli,14,14,False
I1,1819,2018-08-19,Sassuolo,Inter,15,15,False
I1,1819,2018-08-19,Bologna,Spal,15,46,False
I1,1819,2018-08-19,Empoli,Cagliari,259,15,False
I1,1819,2018-08-19,Parma,Udinese,7,15,False
I1,1819,2018-08-19,Torino,Roma,15,46,False
I1,1819,2018-08-20,Atalanta,Frosinone,47,7,False
I1,1819,2018-08-25,Juventus,Lazio,7,7,False
I1,1819,2018-08-25,Napoli,Milan,7,21,False
I1,1819,2018-08-26,Spal,Parma,7,7,False
I1,1819,2018-08-26,Fiorentina,Chievo,53,8,False
I1,1819,2018-08-26,Genoa,Empoli,53,7,False
I1,1819,2018-08-26,Frosinone,Bologna,6,7,False
I1,1819,2018-08-26,Cagliari,Sassuolo,7,7,False
I1,1819,2018-08-26,Udinese,Sampdoria,7,53,False
I1,1819,2018-08-26,Inter,Torino,7,7,False
I1,1819,2018-08-27,Roma,Atalanta,8,7,False
I1,1819,2018-08-31,Milan,Roma,6,4,False
I1,1819,2018-09-01,Parma,Juventus,6,7,False
I1,1819,2018-09-01,Bologna,Inter,6,6,False
I1,1819,2018-09-02,Lazio,Frosinone,8,7,False
I1,1819,2018-09-02,Sampdoria,Napoli,7,8,False
I1,1819,2018-09-02,Torino,Spal,7,7,False
I1,1819,2018-09-02,Atalanta,Cagliari,6,7,False
I1,1819,2018-09-02,Sassuolo,Genoa,7,7,False
I1,1819,2018-09-02,Chievo,Empoli,7,7,False
I1,1819,2018-09-02,Fiorentina,Udinese,7,7,False
I1,1819,2018-09-15,Napoli,Fiorentina,13,13,False
I1,1819,2018-09-15,Frosinone,Sampdoria,13,13,False
I1,1819,2018-09-15,Inter,Parma,14,14,False
I1,1819,2018-09-16,Juventus,Sassuolo,14,14,False
I1,1819,2018-09-16,Empoli,Lazio,14,14,False
I1,1819,2018-09-16,Genoa,Bologna,14,15,False
I1,1819,2018-09-16,Roma,Chievo,13,14,False
I1,1819,2018-09-16,Udinese,Torino,14,13,False
I1,1819,2018-09-16,Cagliari,Milan,14,16,False
I1,1819,2018-09-17,Spal,Atalanta,15,15,False
I1,1819,2018-09-19,Sampdoria,Fiorentina,4,4,True
I1,1819,2018-09-21,Sassuolo,Empoli,5,5,False
I1,1819,2018-09-22,Fiorentina,Spal,3,5,False
I1,1819,2018-09-22,Sampdoria,Inter,3,7,False
I1,1819,2018-09-22,Parma,Cagliari,7,6,False
I1,1819,2018-09-23,Torino,Napoli,7,8,False
I1,1819,2018-09-23,Bologna,Roma,7,7,False
I1,1819,2018-09-23,Chievo,Udinese,7,7,False
I1,1819,2018-09-23,Frosinone,Juventus,8,7,False
I1,1819,2018-09-23,Lazio,Genoa,7,7,False
I1,1819,2018-09-23,Milan,Atalanta,7,6,False
I1,1819,2018-09-25,Inter,Fiorentina,3,3,True
I1,1819,2018-09-26,Napoli,Parma,3,4,True
I1,1819,2018-09-26,Udinese,Lazio,3,3,True
I1,1819,2018-09-26,Atalanta,Torino,3,3,True
I1,1819,2018-09-26,Cagliari,Sampdoria,4,4,True
I1,1819,2018-09-26,Genoa,Chievo,3,3,True
I1,1819,2018-09-26,Juventus,Bologna,3,3,True
I1,1819,2018-09-26,Roma,Frosinone,3,3,True
I1,1819,2018-09-27,Spal,Sassuolo,5,6,True
I1,1819,2018-09-27,Empoli,Milan,6,4,True
I1,1819,2018-09-29,Inter,Cagliari,4,3,False
I1,1819,2018-09-29,Roma,Lazio,3,3,False
I1,1819,2018-09-29,Juventus,Napoli,3,3,False
I1,1819,2018-09-30,Parma,Empoli,4,3,False
I1,1819,2018-09-30,Frosinone,Genoa,4,4,False
I1,1819,2018-09-30,Sassuolo,Milan,3,3,False
