league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
SC1,1718,2017-08-05,Queen of Sth,Brechin,1,7,False
SC1,1718,2017-08-05,Dumbarton,Morton,1,1,False
SC1,1718,2017-08-05,Inverness C,Dundee United,7,1,False
SC1,1718,2017-08-05,Livingston,Dunfermline,7,1,False
SC1,1718,2017-08-05,St Mirren,Falkirk,1,1,False
SC1,1718,2017-08-12,Brechin,Livingston,7,7,False
SC1,1718,2017-08-12,Dundee United,Queen of Sth,7,7,False
SC1,1718,2017-08-12,Dunfermline,Inverness C,7,7,False
SC1,1718,2017-08-12,Falkirk,Dumbarton,7,7,False
SC1,1718,2017-08-12,Morton,St Mirren,7,7,False
SC1,1718,2017-08-19,Dunfermline,Falkirk,7,7,False
SC1,1718,2017-08-19,Inverness C,Morton,7,7,False
SC1,1718,2017-08-19,Livingston,St Mirren,7,7,False
SC1,1718,2017-08-19,Queen of Sth,Dumbarton,7,7,False
SC1,1718,2017-08-19,Dundee United,Brechin,7,7,False
SC1,1718,2017-08-26,Dumbarton,Dunfermline,7,7,False
SC1,1718,2017-08-26,Falkirk,Queen of Sth,7,7,False
SC1,1718,2017-08-26,Morton,Livingston,7,7,False
SC1,1718,2017-08-26,St Mirren,Dundee United,7,7,False
SC1,1718,2017-08-26,Brechin,Inverness C,7,7,False
SC1,1718,2017-09-09,Morton,Dunfermline,14,14,False
SC1,1718,2017-09-09,Brechin,Falkirk,14,14,False
SC1,1718,2017-09-09,Dundee United,Dumbarton,14,14,False
SC1,1718,2017-09-09,Livingston,Queen of Sth,14,14,False
SC1,1718,2017-09-09,St Mirren,Inverness C,14,14,False
SC1,1718,2017-09-16,Dunfermline,St Mirren,7,7,False
SC1,1718,2017-09-16,Falkirk,Dundee United,7,7,False
SC1,1718,2017-09-16,Inverness C,Livingston,7,7,False
SC1,1718,2017-09-16,Queen of Sth,Morton,7,7,False
SC1,1718,2017-09-16,Dumbarton,Brechin,7,7,False
SC1,1718,2017-09-23,Dumbarton,Inverness C,7,7,False
SC1,1718,2017-09-23,Dundee United,Morton,7,7,False
SC1,1718,2017-09-23,Falkirk,Livingston,7,7,False
SC1,1718,2017-09-23,Brechin,Dunfermline,7,7,False
SC1,1718,2017-09-24,St Mirren,Queen of Sth,8,8,False
SC1,1718,2017-09-30,Inverness C,Queen of Sth,7,6,False
