league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
T1,2021,2020-09-11,Rizespor,Fenerbahce,48,48,False
T1,2021,2020-09-12,Goztep,Denizlispor,49,49,False
T1,2021,2020-09-12,Galatasaray,Gaziantep,50,49,False
T1,2021,2020-09-12,Samsunspor,Antalyaspor,49,49,False
T1,2021,2020-09-12,Karagumruk,Yeni Malatyaspor,49,49,False
T1,2021,2020-09-13,Karagumruk,Erzurum BB,1,476,False
T1,2021,2020-09-13,Kocaelispor,Kasimpasa,50,49,False
T1,2021,2020-09-13,Antalyaspor,Genclerbirligi,1,50,False
T1,2021,2020-09-13,Trabzonspor,Besiktas,50,50,False
T1,2021,2020-09-14,Antalyaspor,Buyuksehyr,1,50,False
T1,2021,2020-09-18,Yeni Malatyaspor,Goztep,6,6,False
T1,2021,2020-09-19,Antalyaspor,Kocaelispor,5,6,False
T1,2021,2020-09-19,Besiktas,Antalyaspor,6,5,False
T1,2021,2020-09-19,Genclerbirligi,Antalyaspor,6,5,False
T1,2021,2020-09-19,Denizlispor,Trabzonspor,7,6,False
T1,2021,2020-09-20,Buyuksehyr,Galatasaray,6,8,False
T1,2021,2020-09-20,Gaziantep,Karagumruk,8,7,False
T1,2021,2020-09-20,Kasimpasa,Rizespor,7,9,False
T1,2021,2020-09-20,Erzurum BB,Samsunspor,7,8,False
T1,2021,2020-09-21,Fenerbahce,Antalyaspor,10,2,False
T1,2021,2020-09-25,Karagumruk,Buyuksehyr,5,5,False
T1,2021,2020-09-26,Kocaelispor,Erzurum BB,7,6,False
T1,2021,2020-09-26,Goztep,Gaziantep,8,6,False
T1,2021,2020-09-26,Antalyaspor,Kasimpasa,5,6,False
T1,2021,2020-09-26,Trabzonspor,Yeni Malatyaspor,7,8,False
T1,2021,2020-09-27,Galatasaray,Fenerbahce,7,6,False
T1,2021,2020-09-27,Rizespor,Antalyaspor,7,1,False
T1,2021,2020-09-27,Antalyaspor,Besiktas,1,8,False
T1,2021,2020-09-27,Samsunspor,Karagumruk,7,2,False
T1,2021,2020-09-28,Antalyaspor,Denizlispor,1,9,False
T1,2021,2020-10-02,Gaziantep,Trabzonspor,6,6,False
T1,2021,2020-10-02,Karagumruk,Kocaelispor,5,6,False
T1,2021,2020-10-03,Erzurum BB,Rizespor,7,6,False
T1,2021,2020-10-03,Fenerbahce,Karagumruk,6,1,False
T1,2021,2020-10-03,Yeni Malatyaspor,Antalyaspor,7,5,False
T1,2021,2020-10-03,Buyuksehyr,Goztep,8,7,False
T1,2021,2020-10-04,Besiktas,Genclerbirligi,7,15,False
