league_code,season,match_date,home_team,away_team,home_rest_days,away_rest_days,is_midweek
USA1,2425,2024-02-21,San Jose Earthquakes,Los Angeles Galaxy,725,361,True
USA1,2425,2024-02-21,Charlotte FC,Toronto FC,725,725,True
USA1,2425,2024-02-21,D.C. United,Orlando City,725,725,True
USA1,2425,2024-02-21,Minnesota United FC,Houston Dynamo,725,361,True
USA1,2425,2024-02-21,Sporting Kansas City,Inter Miami CF,361,725,True
USA1,2425,2024-02-21,Vancouver Whitecaps,Los Angeles Galaxy,725,361,True
USA1,2425,2024-02-21,Atlanta United FC,Philadelphia Union,361,725,True
USA1,2425,2024-02-21,Atlanta United FC,FC Cincinnati,361,361,True
USA1,2425,2024-02-21,Real Salt Lake,Colorado Rapids,361,725,True
USA1,2425,2024-02-21,Inter Miami CF,New York RB,725,361,True
USA1,2425,2024-02-21,Los Angeles Galaxy,Seattle Sounders,361,361,True
USA1,2425,2024-02-21,D.C. United,New England Revolution,725,725,True
USA1,2425,2024-02-21,Philadelphia Union,Chicago Fire,725,725,True
USA1,2425,2024-02-21,Austin FC,Minnesota United FC,725,725,True
USA1,2425,2024-02-21,FC Dallas,San Jose Earthquakes,361,725,True
USA1,2425,2024-02-21,Houston Dynamo,Sporting Kansas City,361,361,True
USA1,2425,2024-02-21,St. Louis City SC,Real Salt Lake,361,361,True
USA1,2425,2024-02-21,Portland Timbers,Colorado Rapids,725,725,True
USA1,2425,2024-02-21,Los Angeles Galaxy,Inter Miami CF,361,725,True
USA1,2425,2024-02-21,Minnesota United FC,Columbus Crew,725,361,True
USA1,2425,2024-02-21,Vancouver Whitecaps,Charlotte FC,725,725,True
USA1,2425,2024-02-21,Chicago Fire,FC Cincinnati,725,361,True
USA1,2425,2024-02-21,FC Dallas,CF Montréal,361,725,True
USA1,2425,2024-02-21,Houston Dynamo,New York RB,361,361,True
USA1,2425,2024-02-21,Sporting Kansas City,Philadelphia Union,361,725,True
USA1,2425,2024-02-21,Colorado Rapids,Nashville SC,725,725,True
USA1,2425,2024-02-21,Portland Timbers,D.C. United,725,725,True
USA1,2425,2024-02-21,New York RB,Portland Timbers,361,725,True
USA1,2425,2024-02-21,Atlanta United FC,New England Revolution,361,725,True
USA1,2425,2024-02-21,Columbus Crew,Chicago Fire,361,725,True
USA1,2425,2024-02-21,Toronto FC,FC Cincinnati,725,361,True
USA1,2425,2024-02-21,FC Dallas,Real Salt Lake,361,361,True
USA1,2425,2024-02-21,St. Louis City SC,Seattle Sounders,361,361,True
USA1,2425,2024-02-21,Colorado Rapids,Minnesota United FC,725,725,True
USA1,2425,2024-02-21,Vancouver Whitecaps,Inter Miami CF,725,725,True
USA1,2425,2024-02-21,Los Angeles Galaxy,Houston Dynamo,361,361,True
USA1,2425,2024-02-21,Portland Timbers,Sporting Kansas City,725,361,True
USA1,2425,2024-02-21,San Jose Earthquakes,Austin FC,725,725,True
USA1,2425,2024-02-21,CF Montréal,D.C. United,725,725,True
