league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
AUS1,2122,2021-12-26,9675,Melbourne Victory,True,5,3,1,1,8,6,10,0.6666666666666666,0.64,0.52,2021-11-19
AUS1,2122,2021-12-26,9674,Western United,False,5,4,0,1,4,1,12,0.8,0.32,0.92,2021-11-19
AUS1,2122,2021-12-26,9680,Macarthur FC,True,5,4,1,0,7,2,13,0.8666666666666667,0.5599999999999999,0.84,2021-11-19
AUS1,2122,2021-12-26,9673,Sydney FC,False,5,1,2,2,4,6,5,0.3333333333333333,0.32,0.52,2021-11-19
AUS1,2122,2022-01-19,9671,Brisbane Roar,True,4,0,1,3,1,6,1,0.08333333333333333,0.1,0.4,2021-11-19
AUS1,2122,2022-01-19,9676,Perth Glory,False,4,1,1,2,4,3,4,0.3333333333333333,0.4,0.7,2021-11-19
AUS1,2122,2022-02-23,9670,Melbourne City FC,True,5,2,2,1,7,6,8,0.5333333333333333,0.5599999999999999,0.52,2021-11-19
AUS1,2122,2022-02-23,9673,Sydney FC,False,5,2,1,2,7,6,7,0.4666666666666667,0.5599999999999999,0.52,2021-12-26
AUS1,2122,2022-02-23,9674,Western United,True,5,4,0,1,5,3,12,0.8,0.4,0.76,2021-12-26
AUS1,2122,2022-02-23,9681,Wellington Phoenix,False,5,1,1,3,4,10,4,0.26666666666666666,0.32,0.19999999999999996,2021-11-19
AUS1,2122,2022-02-23,9680,Macarthur FC,True,5,4,0,1,6,4,12,0.8,0.48,0.6799999999999999,2021-12-26
AUS1,2122,2022-02-23,9672,Western Sydney Wanderers,False,5,1,2,2,4,6,5,0.3333333333333333,0.32,0.52,2021-11-19
AUS1,2122,2022-02-23,9671,Brisbane Roar,True,5,1,1,3,2,6,4,0.26666666666666666,0.16,0.52,2022-01-19
AUS1,2122,2022-02-23,9672,Western Sydney Wanderers,False,5,1,2,2,4,6,5,0.3333333333333333,0.32,0.52,2021-11-19
AUS1,2122,2022-02-23,9674,Western United,True,5,4,0,1,5,3,12,0.8,0.4,0.76,2021-12-26
AUS1,2122,2022-02-23,9670,Melbourne City FC,False,5,2,2,1,7,6,8,0.5333333333333333,0.5599999999999999,0.52,2021-11-19
AUS1,2122,2022-02-23,9673,Sydney FC,True,5,2,1,2,7,6,7,0.4666666666666667,0.5599999999999999,0.52,2021-12-26
AUS1,2122,2022-02-23,9679,Central Coast Mariners,False,5,3,0,2,7,4,9,0.6,0.5599999999999999,0.6799999999999999,2021-11-19
AUS1,2122,2022-02-23,9678,Newcastle United Jets,True,5,1,2,2,10,8,5,0.3333333333333333,0.8,0.36,2021-11-19
AUS1,2122,2022-02-23,9677,Adelaide United,False,5,0,3,2,4,6,3,0.2,0.32,0.52,2021-11-19
AUS1,2122,2022-02-23,9681,Wellington Phoenix,True,5,1,1,3,4,10,4,0.26666666666666666,0.32,0.19999999999999996,2021-11-19
AUS1,2122,2022-02-23,9675,Melbourne Victory,False,5,3,1,1,10,7,10,0.6666666666666666,0.8,0.44000000000000006,2021-12-26
AUS1,2122,2022-02-23,9676,Perth Glory,True,5,1,1,3,4,4,4,0.26666666666666666,0.32,0.6799999999999999,2022-01-19
AUS1,2122,2022-02-23,9680,Macarthur FC,False,5,4,0,1,6,4,12,0.8,0.48,0.6799999999999999,2021-12-26
AUS1,2122,2022-02-23,9678,Newcastle United Jets,True,5,1,2,2,10,8,5,0.3333333333333333,0.8,0.36,2021-11-19
AUS1,2122,2022-02-23,9671,Brisbane Roar,False,5,1,1,3,2,6,4,0.26666666666666666,0.16,0.52,2022-01-19
AUS1,2122,2022-02-23,9677,Adelaide United,True,5,0,3,2,4,6,3,0.2,0.32,0.52,2021-11-19
AUS1,2122,2022-02-23,9673,Sydney FC,False,5,2,1,2,7,6,7,0.4666666666666667,0.5599999999999999,0.52,2021-12-26
AUS1,2122,2022-02-23,9681,Wellington Phoenix,True,5,1,1,3,4,10,4,0.26666666666666666,0.32,0.19999999999999996,2021-11-19
AUS1,2122,2022-02-23,9680,Macarthur FC,False,5,4,0,1,6,4,12,0.8,0.48,0.6799999999999999,2021-12-26
AUS1,2122,2022-02-23,9670,Melbourne City FC,True,5,2,2,1,7,6,8,0.5333333333333333,0.5599999999999999,0.52,2021-11-19
AUS1,2122,2022-02-23,9676,Perth Glory,False,5,1,1,3,4,4,4,0.26666666666666666,0.32,0.6799999999999999,2022-01-19
AUS1,2122,2022-02-23,9675,Melbourne Victory,True,5,3,1,1,10,7,10,0.6666666666666666,0.8,0.44000000000000006,2021-12-26
AUS1,2122,2022-02-23,9674,Western United,False,5,4,0,1,5,3,12,0.8,0.4,0.76,2021-12-26
AUS1,2122,2022-02-23,9672,Western Sydney Wanderers,True,5,1,2,2,4,6,5,0.3333333333333333,0.32,0.52,2021-11-19
AUS1,2122,2022-02-23,9679,Central Coast Mariners,False,5,3,0,2,7,4,9,0.6,0.5599999999999999,0.6799999999999999,2021-11-19
AUS1,2122,2022-02-23,9672,Western Sydney Wanderers,True,5,1,2,2,4,6,5,0.3333333333333333,0.32,0.52,2021-11-19
AUS1,2122,2022-02-23,9670,Melbourne City FC,False,5,2,2,1,7,6,8,0.5333333333333333,0.5599999999999999,0.52,2021-11-19
AUS1,2122,2022-02-23,9681,Wellington Phoenix,True,5,1,1,3,4,10,4,0.26666666666666666,0.32,0.19999999999999996,2021-11-19
AUS1,2122,2022-02-23,9677,Adelaide United,False,5,0,3,2,4,6,3,0.2,0.32,0.52,2021-11-19
AUS1,2122,2022-02-23,9673,Sydney FC,True,5,2,1,2,7,6,7,0.4666666666666667,0.5599999999999999,0.52,2021-12-26
AUS1,2122,2022-02-23,9674,Western United,False,5,4,0,1,5,3,12,0.8,0.4,0.76,2021-12-26
AUS1,2122,2022-02-23,9675,Melbourne Victory,True,5,3,1,1,10,7,10,0.6666666666666666,0.8,0.44000000000000006,2021-12-26
AUS1,2122,2022-02-23,9678,Newcastle United Jets,False,5,1,2,2,10,8,5,0.3333333333333333,0.8,0.36,2021-11-19
