league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
CHN1,1920,2019-03-01,9634,Guangzhou Evergrande,False,5,4,0,1,12,5,12,0.8,0.96,0.6,2018-03-02
CHN1,1920,2019-03-01,9641,Tianjin Teda,True,5,1,2,2,6,7,5,0.3333333333333333,0.48,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9622,Guangzhou City,True,5,3,0,2,11,12,9,0.6,0.8800000000000001,0.040000000000000036,2018-03-02
CHN1,1920,2019-03-01,9601,Shandong Taishan,False,5,3,0,2,7,4,9,0.6,0.5599999999999999,0.6799999999999999,2018-03-02
CHN1,1920,2019-03-01,9596,Beijing Guoan,True,5,3,1,1,10,5,10,0.6666666666666666,0.8,0.6,2018-03-02
CHN1,1920,2019-03-01,9605,Shanghai Port FC,False,5,5,0,0,19,4,15,1.0,1.0,0.6799999999999999,2018-03-02
CHN1,1920,2019-03-01,9638,Henan Jianye,True,5,1,1,3,3,7,4,0.26666666666666666,0.24,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9640,Chongqing Lifan,False,5,2,1,2,8,7,7,0.4666666666666667,0.64,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9639,Jiāngsū Sūníng,True,5,3,0,2,9,8,9,0.6,0.72,0.36,2018-03-02
CHN1,1920,2019-03-01,9636,Hebei China Fortune,False,5,2,1,2,9,10,7,0.4666666666666667,0.72,0.19999999999999996,2018-03-02
CHN1,1920,2019-03-01,9593,Shanghai Shenhua,True,5,3,1,1,8,5,10,0.6666666666666666,0.64,0.6,2018-03-02
CHN1,1920,2019-03-01,9600,Dalian Yingbo,False,5,0,2,3,3,16,2,0.13333333333333333,0.24,0.0,2018-03-02
CHN1,1920,2019-03-01,9640,Chongqing Lifan,True,5,2,1,2,8,7,7,0.4666666666666667,0.64,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9593,Shanghai Shenhua,False,5,3,1,1,8,5,10,0.6666666666666666,0.64,0.6,2018-03-02
CHN1,1920,2019-03-01,9636,Hebei China Fortune,True,5,2,1,2,9,10,7,0.4666666666666667,0.72,0.19999999999999996,2018-03-02
CHN1,1920,2019-03-01,9622,Guangzhou City,False,5,3,0,2,11,12,9,0.6,0.8800000000000001,0.040000000000000036,2018-03-02
CHN1,1920,2019-03-01,9596,Beijing Guoan,True,5,3,1,1,10,5,10,0.6666666666666666,0.8,0.6,2018-03-02
CHN1,1920,2019-03-01,9641,Tianjin Teda,False,5,1,2,2,6,7,5,0.3333333333333333,0.48,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9641,Tianjin Teda,True,5,1,2,2,6,7,5,0.3333333333333333,0.48,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9644,Beijing Renhe FC,False,5,1,1,3,3,9,4,0.26666666666666666,0.24,0.28,2018-03-02
CHN1,1920,2019-03-01,9634,Guangzhou Evergrande,True,5,4,0,1,12,5,12,0.8,0.96,0.6,2018-03-02
CHN1,1920,2019-03-01,9638,Henan Jianye,False,5,1,1,3,3,7,4,0.26666666666666666,0.24,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9639,Jiāngsū Sūníng,True,5,3,0,2,9,8,9,0.6,0.72,0.36,2018-03-02
CHN1,1920,2019-03-01,9601,Shandong Taishan,False,5,3,0,2,7,4,9,0.6,0.5599999999999999,0.6799999999999999,2018-03-02
CHN1,1920,2019-03-01,9605,Shanghai Port FC,True,5,5,0,0,19,4,15,1.0,1.0,0.6799999999999999,2018-03-02
CHN1,1920,2019-03-01,9600,Dalian Yingbo,False,5,0,2,3,3,16,2,0.13333333333333333,0.24,0.0,2018-03-02
CHN1,1920,2019-03-01,9638,Henan Jianye,True,5,1,1,3,3,7,4,0.26666666666666666,0.24,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9641,Tianjin Teda,False,5,1,2,2,6,7,5,0.3333333333333333,0.48,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9601,Shandong Taishan,True,5,3,0,2,7,4,9,0.6,0.5599999999999999,0.6799999999999999,2018-03-02
CHN1,1920,2019-03-01,9640,Chongqing Lifan,False,5,2,1,2,8,7,7,0.4666666666666667,0.64,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9593,Shanghai Shenhua,True,5,3,1,1,8,5,10,0.6666666666666666,0.64,0.6,2018-03-02
CHN1,1920,2019-03-01,9596,Beijing Guoan,False,5,3,1,1,10,5,10,0.6666666666666666,0.8,0.6,2018-03-02
CHN1,1920,2019-03-01,9622,Guangzhou City,False,5,3,0,2,11,12,9,0.6,0.8800000000000001,0.040000000000000036,2018-03-02
CHN1,1920,2019-03-01,9644,Beijing Renhe FC,True,5,1,1,3,3,9,4,0.26666666666666666,0.24,0.28,2018-03-02
CHN1,1920,2019-03-01,9639,Jiāngsū Sūníng,False,5,3,0,2,9,8,9,0.6,0.72,0.36,2018-03-02
CHN1,1920,2019-03-01,9600,Dalian Yingbo,True,5,0,2,3,3,16,2,0.13333333333333333,0.24,0.0,2018-03-02
CHN1,1920,2019-03-01,9636,Hebei China Fortune,False,5,2,1,2,9,10,7,0.4666666666666667,0.72,0.19999999999999996,2018-03-02
CHN1,1920,2019-03-01,9641,Tianjin Teda,True,5,1,2,2,6,7,5,0.3333333333333333,0.48,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9634,Guangzhou Evergrande,True,5,4,0,1,12,5,12,0.8,0.96,0.6,2018-03-02
CHN1,1920,2019-03-01,9605,Shanghai Port FC,False,5,5,0,0,19,4,15,1.0,1.0,0.6799999999999999,2018-03-02
CHN1,1920,2019-03-01,9644,Beijing Renhe FC,True,5,1,1,3,3,9,4,0.26666666666666666,0.24,0.28,2018-03-02
CHN1,1920,2019-03-01,9605,Shanghai Port FC,False,5,5,0,0,19,4,15,1.0,1.0,0.6799999999999999,2018-03-02
CHN1,1920,2019-03-01,9640,Chongqing Lifan,True,5,2,1,2,8,7,7,0.4666666666666667,0.64,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9622,Guangzhou City,True,5,3,0,2,11,12,9,0.6,0.8800000000000001,0.040000000000000036,2018-03-02
CHN1,1920,2019-03-01,9596,Beijing Guoan,False,5,3,1,1,10,5,10,0.6666666666666666,0.8,0.6,2018-03-02
CHN1,1920,2019-03-01,9636,Hebei China Fortune,True,5,2,1,2,9,10,7,0.4666666666666667,0.72,0.19999999999999996,2018-03-02
CHN1,1920,2019-03-01,9634,Guangzhou Evergrande,False,5,4,0,1,12,5,12,0.8,0.96,0.6,2018-03-02
CHN1,1920,2019-03-01,9601,Shandong Taishan,True,5,3,0,2,7,4,9,0.6,0.5599999999999999,0.6799999999999999,2018-03-02
CHN1,1920,2019-03-01,9641,Tianjin Teda,False,5,1,2,2,6,7,5,0.3333333333333333,0.48,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9593,Shanghai Shenhua,True,5,3,1,1,8,5,10,0.6666666666666666,0.64,0.6,2018-03-02
CHN1,1920,2019-03-01,9639,Jiāngsū Sūníng,False,5,3,0,2,9,8,9,0.6,0.72,0.36,2018-03-02
CHN1,1920,2019-03-01,9638,Henan Jianye,False,5,1,1,3,3,7,4,0.26666666666666666,0.24,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9641,Tianjin Teda,True,5,1,2,2,6,7,5,0.3333333333333333,0.48,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9600,Dalian Yingbo,False,5,0,2,3,3,16,2,0.13333333333333333,0.24,0.0,2018-03-02
CHN1,1920,2019-03-01,9596,Beijing Guoan,True,5,3,1,1,10,5,10,0.6666666666666666,0.8,0.6,2018-03-02
CHN1,1920,2019-03-01,9601,Shandong Taishan,False,5,3,0,2,7,4,9,0.6,0.5599999999999999,0.6799999999999999,2018-03-02
CHN1,1920,2019-03-01,9600,Dalian Yingbo,True,5,0,2,3,3,16,2,0.13333333333333333,0.24,0.0,2018-03-02
CHN1,1920,2019-03-01,9644,Beijing Renhe FC,False,5,1,1,3,3,9,4,0.26666666666666666,0.24,0.28,2018-03-02
CHN1,1920,2019-03-01,9634,Guangzhou Evergrande,True,5,4,0,1,12,5,12,0.8,0.96,0.6,2018-03-02
CHN1,1920,2019-03-01,9593,Shanghai Shenhua,False,5,3,1,1,8,5,10,0.6666666666666666,0.64,0.6,2018-03-02
CHN1,1920,2019-03-01,9638,Henan Jianye,True,5,1,1,3,3,7,4,0.26666666666666666,0.24,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9622,Guangzhou City,False,5,3,0,2,11,12,9,0.6,0.8800000000000001,0.040000000000000036,2018-03-02
CHN1,1920,2019-03-01,9639,Jiāngsū Sūníng,True,5,3,0,2,9,8,9,0.6,0.72,0.36,2018-03-02
CHN1,1920,2019-03-01,9641,Tianjin Teda,False,5,1,2,2,6,7,5,0.3333333333333333,0.48,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9605,Shanghai Port FC,True,5,5,0,0,19,4,15,1.0,1.0,0.6799999999999999,2018-03-02
CHN1,1920,2019-03-01,9641,Tianjin Teda,True,5,1,2,2,6,7,5,0.3333333333333333,0.48,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9640,Chongqing Lifan,False,5,2,1,2,8,7,7,0.4666666666666667,0.64,0.44000000000000006,2018-03-02
CHN1,1920,2019-03-01,9636,Hebei China Fortune,False,5,2,1,2,9,10,7,0.4666666666666667,0.72,0.19999999999999996,2018-03-02
