league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
F1,1819,2018-08-10,9343,Marseille,True,5,3,2,0,10,4,11,0.7333333333333333,0.8,0.6799999999999999,2018-08-04
F1,1819,2018-08-10,9349,Toulouse,False,5,1,1,3,5,7,4,0.26666666666666666,0.4,0.44000000000000006,2018-07-04
F1,1819,2018-08-11,9352,Angers,True,5,1,2,2,5,7,5,0.3333333333333333,0.4,0.44000000000000006,2018-07-04
F1,1819,2018-08-11,9348,Nice,True,5,1,2,2,6,7,5,0.3333333333333333,0.48,0.44000000000000006,2018-08-04
F1,1819,2018-08-11,9358,Nantes,True,5,1,1,3,3,7,4,0.26666666666666666,0.24,0.44000000000000006,2018-07-04
F1,1819,2018-08-11,9346,Monaco,False,5,3,1,1,8,5,10,0.6666666666666666,0.64,0.6,2018-07-04
F1,1819,2018-08-11,9361,Montpellier,True,5,1,2,2,3,3,5,0.3333333333333333,0.24,0.76,2018-08-04
F1,1819,2018-08-11,9366,Dijon,False,5,3,0,2,9,10,9,0.6,0.72,0.19999999999999996,2018-07-04
F1,1819,2018-08-11,9351,Lille,True,5,2,0,3,8,15,6,0.4,0.64,0.0,2018-07-04
F1,1819,2018-08-11,9342,Rennes,False,5,2,3,0,7,5,9,0.6,0.5599999999999999,0.6,2018-08-04
F1,1819,2018-08-12,9345,Lyon,True,5,5,0,0,18,4,15,1.0,1.0,0.6799999999999999,2018-08-04
F1,1819,2018-08-12,9368,Amiens,False,5,2,1,2,7,6,7,0.4666666666666667,0.5599999999999999,0.52,2018-07-04
F1,1819,2018-08-12,9365,Bordeaux,True,5,4,0,1,12,4,12,0.8,0.96,0.6799999999999999,2018-07-04
F1,1819,2018-08-12,9357,Strasbourg,False,5,0,2,3,4,8,2,0.13333333333333333,0.32,0.36,2018-07-04
F1,1819,2018-08-17,9345,Lyon,False,5,5,0,0,15,2,15,1.0,1.0,0.84,2018-08-12
F1,1819,2018-08-18,9342,Rennes,True,5,2,2,1,7,7,8,0.5333333333333333,0.5599999999999999,0.44000000000000006,2018-08-11
F1,1819,2018-08-18,9352,Angers,False,5,1,2,2,8,9,5,0.3333333333333333,0.64,0.28,2018-08-11
F1,1819,2018-08-18,9366,Dijon,True,5,4,0,1,9,6,12,0.8,0.72,0.52,2018-08-11
F1,1819,2018-08-18,9358,Nantes,False,5,1,0,4,3,9,3,0.2,0.24,0.28,2018-08-11
F1,1819,2018-08-18,9369,Guingamp,True,5,2,1,2,11,8,7,0.4666666666666667,0.8800000000000001,0.36,2018-07-04
