league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
G1,2122,2021-09-11,8977,Panathinaikos,True,5,0,3,2,3,7,3,0.2,0.24,0.44000000000000006,2021-05-16
G1,2122,2021-09-11,8982,Apollon,False,5,1,2,2,2,2,5,0.3333333333333333,0.16,0.84,2021-05-19
G1,2122,2021-09-11,8969,Panetolikos,True,5,2,1,2,6,8,7,0.4666666666666667,0.48,0.36,2021-05-15
G1,2122,2021-09-11,8968,Asteras Tripolis,False,5,1,4,0,5,4,7,0.4666666666666667,0.4,0.6799999999999999,2021-05-16
G1,2122,2021-09-12,8973,PAOK,True,5,2,1,2,4,3,7,0.4666666666666667,0.32,0.76,2021-05-16
G1,2122,2021-09-12,8980,Giannina,False,5,0,1,4,2,8,1,0.06666666666666667,0.16,0.36,2021-05-19
G1,2122,2021-09-12,8966,Volos NFC,True,5,2,2,1,7,4,8,0.5333333333333333,0.5599999999999999,0.6799999999999999,2021-05-15
G1,2122,2021-09-12,8979,Lamia,False,5,2,2,1,3,3,8,0.5333333333333333,0.24,0.76,2021-05-15
G1,2122,2021-09-12,8967,Olympiakos,True,5,3,2,0,8,2,11,0.7333333333333333,0.64,0.84,2021-05-16
G1,2122,2021-09-12,8970,Atromitos,False,5,2,2,1,5,3,8,0.5333333333333333,0.4,0.76,2021-05-15
G1,2122,2021-09-12,8971,AEK,True,5,1,2,2,3,5,5,0.3333333333333333,0.24,0.6,2021-05-16
G1,2122,2021-09-12,8981,Ionikos,False,5,2,2,1,3,3,8,0.5333333333333333,0.24,0.76,2020-07-18
G1,2122,2021-09-13,8965,Aris,True,5,1,2,2,3,5,5,0.3333333333333333,0.24,0.6,2021-05-16
G1,2122,2021-09-13,8976,OFI Crete,False,5,2,3,0,6,3,9,0.6,0.48,0.76,2021-05-15
G1,2122,2021-09-17,8981,Ionikos,True,5,1,2,2,2,6,5,0.3333333333333333,0.16,0.52,2021-09-12
G1,2122,2021-09-17,8965,Aris,False,5,1,3,1,2,2,6,0.4,0.16,0.84,2021-09-13
G1,2122,2021-09-18,8980,Giannina,True,5,1,1,3,2,6,4,0.26666666666666666,0.16,0.52,2021-09-12
G1,2122,2021-09-18,8977,Panathinaikos,False,5,1,2,2,7,7,5,0.3333333333333333,0.5599999999999999,0.44000000000000006,2021-09-11
G1,2122,2021-09-19,8970,Atromitos,True,5,2,3,0,5,2,9,0.6,0.4,0.84,2021-09-12
G1,2122,2021-09-19,8969,Panetolikos,False,5,2,2,1,5,5,8,0.5333333333333333,0.4,0.6,2021-09-11
G1,2122,2021-09-19,8976,OFI Crete,True,5,2,3,0,6,3,9,0.6,0.48,0.76,2021-09-13
G1,2122,2021-09-19,8971,AEK,False,5,2,2,1,6,3,8,0.5333333333333333,0.48,0.76,2021-09-12
G1,2122,2021-09-19,8968,Asteras Tripolis,True,5,1,4,0,4,3,7,0.4666666666666667,0.32,0.76,2021-09-11
G1,2122,2021-09-19,8973,PAOK,False,5,2,0,3,4,4,6,0.4,0.32,0.6799999999999999,2021-09-12
G1,2122,2021-09-19,8979,Lamia,True,5,1,2,2,2,4,5,0.3333333333333333,0.16,0.6799999999999999,2021-09-12
G1,2122,2021-09-19,8967,Olympiakos,False,5,2,3,0,6,2,9,0.6,0.48,0.84,2021-09-12
G1,2122,2021-09-19,8982,Apollon,True,5,1,1,3,2,6,4,0.26666666666666666,0.16,0.52,2021-09-11
G1,2122,2021-09-19,8966,Volos NFC,False,5,2,2,1,6,4,8,0.5333333333333333,0.48,0.6799999999999999,2021-09-12
G1,2122,2021-09-22,8967,Olympiakos,True,5,3,2,0,7,2,11,0.7333333333333333,0.5599999999999999,0.84,2021-09-19
G1,2122,2021-09-22,8982,Apollon,False,5,1,1,3,3,8,4,0.26666666666666666,0.24,0.36,2021-09-19
G1,2122,2021-09-22,8969,Panetolikos,True,5,2,2,1,6,6,8,0.5333333333333333,0.48,0.52,2021-09-19
G1,2122,2021-09-22,8973,PAOK,False,5,2,0,3,3,3,6,0.4,0.24,0.76,2021-09-19
G1,2122,2021-09-22,8971,AEK,True,5,2,3,0,8,4,9,0.6,0.64,0.6799999999999999,2021-09-19
G1,2122,2021-09-22,8979,Lamia,False,5,1,1,3,3,6,4,0.26666666666666666,0.24,0.52,2021-09-19
G1,2122,2021-09-22,8965,Aris,True,5,1,3,1,2,1,6,0.4,0.16,0.92,2021-09-17
G1,2122,2021-09-22,8977,Panathinaikos,False,5,1,1,3,5,6,4,0.26666666666666666,0.4,0.52,2021-09-18
G1,2122,2021-09-22,8976,OFI Crete,True,5,2,3,0,8,5,9,0.6,0.64,0.6,2021-09-19
G1,2122,2021-09-22,8968,Asteras Tripolis,False,5,1,3,1,2,2,6,0.4,0.16,0.84,2021-09-19
G1,2122,2021-09-23,8966,Volos NFC,True,5,3,1,1,8,4,10,0.6666666666666666,0.64,0.6799999999999999,2021-09-19
G1,2122,2021-09-23,8970,Atromitos,False,5,2,2,1,5,3,8,0.5333333333333333,0.4,0.76,2021-09-19
G1,2122,2021-09-23,8981,Ionikos,True,5,1,2,2,1,5,5,0.3333333333333333,0.08,0.6,2021-09-17
G1,2122,2021-09-23,8980,Giannina,False,5,2,0,3,2,5,6,0.4,0.16,0.6,2021-09-18
G1,2122,2021-09-26,8977,Panathinaikos,True,5,1,1,3,5,6,4,0.26666666666666666,0.4,0.52,2021-09-22
G1,2122,2021-09-26,8966,Volos NFC,False,5,4,0,1,11,4,12,0.8,0.8800000000000001,0.6799999999999999,2021-09-23
G1,2122,2021-09-26,8979,Lamia,True,5,1,0,4,3,7,3,0.2,0.24,0.44000000000000006,2021-09-22
G1,2122,2021-09-26,8969,Panetolikos,False,5,1,2,2,6,8,5,0.3333333333333333,0.48,0.36,2021-09-22
G1,2122,2021-09-26,8973,PAOK,True,5,2,0,3,3,4,6,0.4,0.24,0.6799999999999999,2021-09-22
G1,2122,2021-09-26,8971,AEK,False,5,2,3,0,8,4,9,0.6,0.64,0.6799999999999999,2021-09-22
G1,2122,2021-09-26,8968,Asteras Tripolis,True,5,1,3,1,2,2,6,0.4,0.16,0.84,2021-09-22
G1,2122,2021-09-26,8967,Olympiakos,False,5,4,1,0,11,3,13,0.8666666666666667,0.8800000000000001,0.76,2021-09-22
G1,2122,2021-09-27,8982,Apollon,True,5,1,0,4,4,12,3,0.2,0.32,0.040000000000000036,2021-09-22
G1,2122,2021-09-27,8981,Ionikos,False,5,1,2,2,1,5,5,0.3333333333333333,0.08,0.6,2021-09-23
G1,2122,2021-09-27,8970,Atromitos,True,5,2,1,2,5,6,7,0.4666666666666667,0.4,0.52,2021-09-23
G1,2122,2021-09-27,8965,Aris,False,5,2,2,1,3,1,8,0.5333333333333333,0.24,0.92,2021-09-22
G1,2122,2021-09-27,8980,Giannina,True,5,2,1,2,2,4,7,0.4666666666666667,0.16,0.6799999999999999,2021-09-23
G1,2122,2021-09-27,8976,OFI Crete,False,5,1,4,0,7,5,7,0.4666666666666667,0.5599999999999999,0.6,2021-09-22
G1,2122,2021-10-02,8966,Volos NFC,True,5,3,0,2,9,8,9,0.6,0.72,0.36,2021-09-26
