league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
I2,2223,2022-08-12,8783,Parma,True,5,1,1,3,4,6,4,0.26666666666666666,0.32,0.52,2022-05-06
I2,2223,2022-08-12,8769,Bari,False,5,2,2,1,6,4,8,0.5333333333333333,0.48,0.6799999999999999,2018-12-05
I2,2223,2022-08-13,8764,Palermo,True,5,1,4,0,9,8,7,0.4666666666666667,0.72,0.36,2019-05-11
I2,2223,2022-08-13,8788,Perugia,False,5,3,1,1,6,4,10,0.6666666666666666,0.48,0.6799999999999999,2022-05-06
I2,2223,2022-08-13,8778,Cittadella,True,5,2,1,2,4,4,7,0.4666666666666667,0.32,0.6799999999999999,2022-05-06
I2,2223,2022-08-13,8776,Pisa,False,5,2,2,1,7,6,8,0.5333333333333333,0.5599999999999999,0.52,2022-05-06
I2,2223,2022-08-13,8785,Como,True,5,1,0,4,7,10,3,0.2,0.5599999999999999,0.19999999999999996,2022-05-06
I2,2223,2022-08-14,8790,Spal,True,5,2,2,1,7,4,8,0.5333333333333333,0.5599999999999999,0.6799999999999999,2022-05-06
I2,2223,2022-08-14,8765,Reggiana,False,5,1,1,3,2,9,4,0.26666666666666666,0.16,0.28,2022-05-06
I2,2223,2022-08-14,8781,Ascoli,True,5,4,1,0,8,1,13,0.8666666666666667,0.64,0.92,2022-05-06
I2,2223,2022-08-14,8782,Ternana,False,5,3,1,1,10,10,10,0.6666666666666666,0.8,0.19999999999999996,2022-05-06
I2,2223,2022-08-14,8789,Benevento,True,5,1,0,4,6,9,3,0.2,0.48,0.28,2022-05-06
I2,2223,2022-08-14,8757,Cesena,False,5,3,1,1,7,5,10,0.6666666666666666,0.5599999999999999,0.6,2022-05-06
I2,2223,2022-08-14,8775,Brescia,True,5,2,2,1,6,3,8,0.5333333333333333,0.48,0.76,2022-05-06
I2,2223,2022-08-14,8768,Venezia,True,5,3,0,2,6,4,9,0.6,0.48,0.6799999999999999,2022-05-06
I2,2223,2022-08-14,8762,Monza,True,5,2,1,2,7,6,7,0.4666666666666667,0.5599999999999999,0.52,2022-05-06
I2,2223,2022-08-14,8772,Frosinone,False,5,2,1,2,11,11,7,0.4666666666666667,0.8800000000000001,0.11999999999999988,2022-05-06
