league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
MEX1,2223,2022-07-01,9448,Club Tijuana,True,5,1,2,2,4,7,5,0.3333333333333333,0.32,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9452,CF América,False,5,1,1,3,8,11,4,0.26666666666666666,0.64,0.11999999999999988,2022-01-06
MEX1,2223,2022-07-01,9458,Mazatlán FC,True,5,2,0,3,8,9,6,0.4,0.64,0.28,2022-01-06
MEX1,2223,2022-07-01,9445,Puebla FC,False,5,3,2,0,8,3,11,0.7333333333333333,0.64,0.76,2022-01-06
MEX1,2223,2022-07-01,9454,Club Necaxa,True,5,2,1,2,9,8,7,0.4666666666666667,0.72,0.36,2022-01-06
MEX1,2223,2022-07-01,9456,Deportivo Toluca,False,5,3,1,1,9,8,10,0.6666666666666666,0.72,0.36,2022-01-06
MEX1,2223,2022-07-01,9455,Deportivo Guadalajara,True,5,1,1,3,7,9,4,0.26666666666666666,0.5599999999999999,0.28,2022-01-06
MEX1,2223,2022-07-01,9449,FC Juárez,False,5,1,1,3,5,10,4,0.26666666666666666,0.4,0.19999999999999996,2022-01-06
MEX1,2223,2022-07-01,9453,UANL Tigres,True,5,4,1,0,12,7,13,0.8666666666666667,0.96,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9457,Cruz Azul,False,5,2,1,2,9,7,7,0.4666666666666667,0.72,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9452,CF América,True,5,1,1,3,8,11,4,0.26666666666666666,0.64,0.11999999999999988,2022-01-06
MEX1,2223,2022-07-01,9450,Atlas Guadalajara,False,5,1,3,1,4,5,6,0.4,0.32,0.6,2022-01-06
MEX1,2223,2022-07-01,9459,Pumas UNAM,True,5,2,1,2,6,5,7,0.4666666666666667,0.48,0.6,2022-01-06
MEX1,2223,2022-07-01,9448,Club Tijuana,False,5,1,2,2,4,7,5,0.3333333333333333,0.32,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9451,Atlético San Luis,True,5,2,1,2,8,7,7,0.4666666666666667,0.64,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9460,Club León,False,5,1,2,2,5,6,5,0.3333333333333333,0.4,0.52,2022-01-06
MEX1,2223,2022-07-01,9446,Santos Laguna,True,5,0,1,4,6,13,1,0.06666666666666667,0.48,0.0,2022-01-06
MEX1,2223,2022-07-01,9462,CF Monterrey,False,5,1,2,2,7,7,5,0.3333333333333333,0.5599999999999999,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9461,CF Pachuca,True,5,3,1,1,11,7,10,0.6666666666666666,0.8800000000000001,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9447,Gallos Blancos,False,5,1,2,2,6,8,5,0.3333333333333333,0.48,0.36,2022-01-06
MEX1,2223,2022-07-01,9458,Mazatlán FC,True,5,2,0,3,8,9,6,0.4,0.64,0.28,2022-01-06
MEX1,2223,2022-07-01,9453,UANL Tigres,False,5,4,1,0,12,7,13,0.8666666666666667,0.96,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9448,Club Tijuana,True,5,1,2,2,4,7,5,0.3333333333333333,0.32,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9449,FC Juárez,False,5,1,1,3,5,10,4,0.26666666666666666,0.4,0.19999999999999996,2022-01-06
MEX1,2223,2022-07-01,9445,Puebla FC,True,5,3,2,0,8,3,11,0.7333333333333333,0.64,0.76,2022-01-06
MEX1,2223,2022-07-01,9446,Santos Laguna,False,5,0,1,4,6,13,1,0.06666666666666667,0.48,0.0,2022-01-06
MEX1,2223,2022-07-01,9460,Club León,True,5,1,2,2,5,6,5,0.3333333333333333,0.4,0.52,2022-01-06
MEX1,2223,2022-07-01,9459,Pumas UNAM,False,5,2,1,2,6,5,7,0.4666666666666667,0.48,0.6,2022-01-06
MEX1,2223,2022-07-01,9455,Deportivo Guadalajara,True,5,1,1,3,7,9,4,0.26666666666666666,0.5599999999999999,0.28,2022-01-06
MEX1,2223,2022-07-01,9451,Atlético San Luis,False,5,2,1,2,8,7,7,0.4666666666666667,0.64,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9462,CF Monterrey,True,5,1,2,2,7,7,5,0.3333333333333333,0.5599999999999999,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9452,CF América,False,5,1,1,3,8,11,4,0.26666666666666666,0.64,0.11999999999999988,2022-01-06
MEX1,2223,2022-07-01,9457,Cruz Azul,True,5,2,1,2,9,7,7,0.4666666666666667,0.72,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9461,CF Pachuca,False,5,3,1,1,11,7,10,0.6666666666666666,0.8800000000000001,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9456,Deportivo Toluca,True,5,3,1,1,9,8,10,0.6666666666666666,0.72,0.36,2022-01-06
MEX1,2223,2022-07-01,9450,Atlas Guadalajara,False,5,1,3,1,4,5,6,0.4,0.32,0.6,2022-01-06
MEX1,2223,2022-07-01,9447,Gallos Blancos,True,5,1,2,2,6,8,5,0.3333333333333333,0.48,0.36,2022-01-06
MEX1,2223,2022-07-01,9454,Club Necaxa,False,5,2,1,2,9,8,7,0.4666666666666667,0.72,0.36,2022-01-06
MEX1,2223,2022-07-01,9452,CF América,True,5,1,1,3,8,11,4,0.26666666666666666,0.64,0.11999999999999988,2022-01-06
MEX1,2223,2022-07-01,9456,Deportivo Toluca,False,5,3,1,1,9,8,10,0.6666666666666666,0.72,0.36,2022-01-06
MEX1,2223,2022-07-01,9445,Puebla FC,True,5,3,2,0,8,3,11,0.7333333333333333,0.64,0.76,2022-01-06
MEX1,2223,2022-07-01,9460,Club León,False,5,1,2,2,5,6,5,0.3333333333333333,0.4,0.52,2022-01-06
MEX1,2223,2022-07-01,9449,FC Juárez,True,5,1,1,3,5,10,4,0.26666666666666666,0.4,0.19999999999999996,2022-01-06
MEX1,2223,2022-07-01,9447,Gallos Blancos,False,5,1,2,2,6,8,5,0.3333333333333333,0.48,0.36,2022-01-06
MEX1,2223,2022-07-01,9450,Atlas Guadalajara,True,5,1,3,1,4,5,6,0.4,0.32,0.6,2022-01-06
MEX1,2223,2022-07-01,9457,Cruz Azul,False,5,2,1,2,9,7,7,0.4666666666666667,0.72,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9446,Santos Laguna,True,5,0,1,4,6,13,1,0.06666666666666667,0.48,0.0,2022-01-06
MEX1,2223,2022-07-01,9455,Deportivo Guadalajara,False,5,1,1,3,7,9,4,0.26666666666666666,0.5599999999999999,0.28,2022-01-06
MEX1,2223,2022-07-01,9459,Pumas UNAM,True,5,2,1,2,6,5,7,0.4666666666666667,0.48,0.6,2022-01-06
MEX1,2223,2022-07-01,9454,Club Necaxa,False,5,2,1,2,9,8,7,0.4666666666666667,0.72,0.36,2022-01-06
MEX1,2223,2022-07-01,9451,Atlético San Luis,True,5,2,1,2,8,7,7,0.4666666666666667,0.64,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9462,CF Monterrey,False,5,1,2,2,7,7,5,0.3333333333333333,0.5599999999999999,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9453,UANL Tigres,True,5,4,1,0,12,7,13,0.8666666666666667,0.96,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9448,Club Tijuana,False,5,1,2,2,4,7,5,0.3333333333333333,0.32,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9461,CF Pachuca,True,5,3,1,1,11,7,10,0.6666666666666666,0.8800000000000001,0.44000000000000006,2022-01-06
MEX1,2223,2022-07-01,9458,Mazatlán FC,False,5,2,0,3,8,9,6,0.4,0.64,0.28,2022-01-06
