league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
N1,1819,2018-08-10,9425,Zwolle,True,5,1,0,4,5,14,3,0.2,0.4,0.0,2018-07-04
N1,1819,2018-08-10,9421,Heerenveen,False,5,1,1,3,7,10,4,0.26666666666666666,0.5599999999999999,0.19999999999999996,2018-08-04
N1,1819,2018-08-11,9433,Willem II,True,5,2,1,2,8,9,7,0.4666666666666667,0.64,0.28,2018-07-02
N1,1819,2018-08-11,9439,VVV Venlo,False,5,0,0,5,4,15,0,0.0,0.32,0.0,2018-07-04
N1,1819,2018-08-11,9423,PSV Eindhoven,True,5,2,3,0,9,7,9,0.6,0.72,0.44000000000000006,2018-07-04
N1,1819,2018-08-11,9431,Utrecht,False,5,2,3,0,8,6,9,0.6,0.64,0.52,2018-08-04
N1,1819,2018-08-11,9427,Ajax,True,5,5,0,0,14,4,15,1.0,1.0,0.6799999999999999,2018-08-04
N1,1819,2018-08-11,9432,Heracles,False,5,1,2,2,10,13,5,0.3333333333333333,0.8,0.0,2018-08-04
N1,1819,2018-08-11,9418,Excelsior,True,5,1,1,3,5,10,4,0.26666666666666666,0.4,0.19999999999999996,2018-07-02
N1,1819,2018-08-12,9419,Feyenoord,False,5,5,0,0,17,5,15,1.0,1.0,0.6,2018-08-04
N1,1819,2018-08-12,9440,Den Haag,True,5,2,2,1,10,10,8,0.5333333333333333,0.8,0.19999999999999996,2018-08-04
N1,1819,2018-08-12,9436,Vitesse,True,5,1,1,3,10,8,4,0.26666666666666666,0.8,0.36,2018-08-02
N1,1819,2018-08-12,9430,Groningen,False,5,1,3,1,6,5,6,0.4,0.48,0.6,2018-08-04
N1,1819,2018-08-12,9429,AZ Alkmaar,True,5,3,0,2,16,9,9,0.6,1.0,0.28,2018-07-04
N1,1819,2018-08-12,9420,NAC Breda,False,5,3,1,1,12,4,10,0.6666666666666666,0.96,0.6799999999999999,2018-07-04
N1,1819,2018-08-17,9430,Groningen,True,5,1,2,2,6,9,5,0.3333333333333333,0.48,0.28,2018-08-12
N1,1819,2018-08-17,9433,Willem II,False,5,2,1,2,7,5,7,0.4666666666666667,0.5599999999999999,0.6,2018-08-11
N1,1819,2018-08-18,9420,NAC Breda,True,5,3,1,1,11,7,10,0.6666666666666666,0.8800000000000001,0.44000000000000006,2018-08-12
