league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
NO1,2021,2020-09-12,9027,Zwolle,True,5,1,2,2,8,10,5,0.3333333333333333,0.64,0.19999999999999996,2020-03-06
NO1,2021,2020-09-12,9021,Feyenoord,False,5,4,1,0,12,5,13,0.8666666666666667,0.96,0.6,2020-03-08
NO1,2021,2020-09-12,9028,Twente,True,5,1,0,4,5,8,3,0.2,0.4,0.36,2020-03-07
NO1,2021,2020-09-12,9017,For Sittard,False,5,0,3,2,2,5,3,0.2,0.16,0.6,2020-03-06
NO1,2021,2020-09-12,9023,Heerenveen,True,5,1,2,2,9,12,5,0.3333333333333333,0.72,0.040000000000000036,2020-03-07
NO1,2021,2020-09-12,9035,Willem II,False,5,1,1,3,6,11,4,0.26666666666666666,0.48,0.11999999999999988,2020-03-08
NO1,2021,2020-09-13,9040,FC Emmen,True,5,3,1,1,10,7,10,0.6666666666666666,0.8,0.44000000000000006,2020-03-07
NO1,2021,2020-09-13,9041,VVV Venlo,False,5,2,2,1,3,4,8,0.5333333333333333,0.24,0.6799999999999999,2020-03-07
NO1,2021,2020-09-13,9034,Heracles,True,5,3,1,1,7,3,10,0.6666666666666666,0.5599999999999999,0.76,2020-03-08
NO1,2021,2020-09-13,9042,Den Haag,False,5,0,2,3,4,13,2,0.13333333333333333,0.32,0.0,2020-03-07
NO1,2021,2020-09-13,9026,Sparta Rotterdam,True,5,3,0,2,12,10,9,0.6,0.96,0.19999999999999996,2020-03-08
NO1,2021,2020-09-13,9029,Ajax,False,5,3,0,2,7,4,9,0.6,0.5599999999999999,0.6799999999999999,2020-03-07
NO1,2021,2020-09-13,9032,Groningen,True,5,2,0,3,4,6,6,0.4,0.32,0.52,2020-03-08
NO1,2021,2020-09-13,9025,PSV Eindhoven,False,5,4,1,0,10,2,13,0.8666666666666667,0.8,0.84,2020-03-08
NO1,2021,2020-09-13,9037,Waalwijk,True,5,1,1,3,4,9,4,0.26666666666666666,0.32,0.28,2020-03-08
NO1,2021,2020-09-13,9038,Vitesse,False,5,2,0,3,9,9,6,0.4,0.72,0.28,2020-03-07
NO1,2021,2020-09-18,9041,VVV Venlo,True,5,3,1,1,7,6,10,0.6666666666666666,0.5599999999999999,0.52,2020-09-13
NO1,2021,2020-09-18,9033,Utrecht,False,5,2,2,1,10,6,8,0.5333333333333333,0.8,0.52,2020-03-08
NO1,2021,2020-09-19,9025,PSV Eindhoven,True,5,4,1,0,10,3,13,0.8666666666666667,0.8,0.76,2020-09-13
NO1,2021,2020-09-19,9040,FC Emmen,False,5,2,1,2,11,12,7,0.4666666666666667,0.8800000000000001,0.040000000000000036,2020-09-13
NO1,2021,2020-09-19,9017,For Sittard,True,5,0,3,2,2,5,3,0.2,0.16,0.6,2020-09-12
NO1,2021,2020-09-19,9023,Heerenveen,False,5,2,1,2,10,11,7,0.4666666666666667,0.8,0.11999999999999988,2020-09-12
NO1,2021,2020-09-19,9038,Vitesse,True,5,3,0,2,10,8,9,0.6,0.8,0.36,2020-09-13
NO1,2021,2020-09-19,9026,Sparta Rotterdam,False,5,2,0,3,8,9,6,0.4,0.64,0.28,2020-09-13
NO1,2021,2020-09-19,9031,AZ Alkmaar,True,5,4,0,1,12,2,12,0.8,0.96,0.84,2020-03-07
NO1,2021,2020-09-19,9027,Zwolle,False,5,1,1,3,8,12,4,0.26666666666666666,0.64,0.040000000000000036,2020-09-12
NO1,2021,2020-09-20,9035,Willem II,True,5,1,1,3,6,10,4,0.26666666666666666,0.48,0.19999999999999996,2020-09-12
NO1,2021,2020-09-20,9034,Heracles,False,5,3,1,1,7,3,10,0.6666666666666666,0.5599999999999999,0.76,2020-09-13
NO1,2021,2020-09-20,9029,Ajax,True,5,3,0,2,7,4,9,0.6,0.5599999999999999,0.6799999999999999,2020-09-13
NO1,2021,2020-09-20,9037,Waalwijk,False,5,1,0,4,4,10,3,0.2,0.32,0.19999999999999996,2020-09-13
NO1,2021,2020-09-20,9042,Den Haag,True,5,0,2,3,2,11,2,0.13333333333333333,0.16,0.11999999999999988,2020-09-13
NO1,2021,2020-09-20,9032,Groningen,False,5,1,0,4,4,9,3,0.2,0.32,0.28,2020-09-13
NO1,2021,2020-09-20,9021,Feyenoord,True,5,4,1,0,11,5,13,0.8666666666666667,0.8800000000000001,0.6,2020-09-12
NO1,2021,2020-09-20,9028,Twente,False,5,2,0,3,7,6,6,0.4,0.5599999999999999,0.52,2020-09-12
NO1,2021,2020-09-25,9028,Twente,True,5,1,1,3,6,7,4,0.26666666666666666,0.48,0.44000000000000006,2020-09-20
NO1,2021,2020-09-25,9032,Groningen,False,5,1,0,4,3,8,3,0.2,0.24,0.36,2020-09-20
NO1,2021,2020-09-26,9023,Heerenveen,True,5,3,1,1,11,8,10,0.6666666666666666,0.8800000000000001,0.36,2020-09-19
NO1,2021,2020-09-26,9041,VVV Venlo,False,5,2,2,1,7,7,8,0.5333333333333333,0.5599999999999999,0.44000000000000006,2020-09-18
NO1,2021,2020-09-26,9029,Ajax,True,5,3,0,2,7,4,9,0.6,0.5599999999999999,0.6799999999999999,2020-09-20
NO1,2021,2020-09-26,9038,Vitesse,False,5,3,0,2,8,6,9,0.6,0.64,0.52,2020-09-19
NO1,2021,2020-09-26,9017,For Sittard,True,5,0,2,3,3,8,2,0.13333333333333333,0.24,0.36,2020-09-19
NO1,2021,2020-09-26,9031,AZ Alkmaar,False,5,3,1,1,9,3,10,0.6666666666666666,0.72,0.76,2020-09-19
NO1,2021,2020-09-26,9027,Zwolle,True,5,1,2,2,6,9,5,0.3333333333333333,0.48,0.28,2020-09-19
NO1,2021,2020-09-26,9026,Sparta Rotterdam,False,5,2,0,3,7,9,6,0.4,0.5599999999999999,0.28,2020-09-19
NO1,2021,2020-09-27,9040,FC Emmen,True,5,2,0,3,12,14,6,0.4,0.96,0.0,2020-09-19
NO1,2021,2020-09-27,9035,Willem II,False,5,2,0,3,9,9,6,0.4,0.72,0.28,2020-09-20
NO1,2021,2020-09-27,9034,Heracles,True,5,3,1,1,7,6,10,0.6666666666666666,0.5599999999999999,0.52,2020-09-20
NO1,2021,2020-09-27,9025,PSV Eindhoven,False,5,4,1,0,9,4,13,0.8666666666666667,0.72,0.6799999999999999,2020-09-19
NO1,2021,2020-09-27,9021,Feyenoord,True,5,3,2,0,8,3,11,0.7333333333333333,0.64,0.76,2020-09-20
NO1,2021,2020-09-27,9042,Den Haag,False,5,0,2,3,2,9,2,0.13333333333333333,0.16,0.28,2020-09-20
NO1,2021,2020-09-27,9033,Utrecht,True,5,2,2,1,10,6,8,0.5333333333333333,0.8,0.52,2020-09-18
NO1,2021,2020-09-27,9037,Waalwijk,False,5,1,0,4,4,10,3,0.2,0.32,0.19999999999999996,2020-09-20
NO1,2021,2020-10-02,9033,Utrecht,True,5,3,1,1,12,6,10,0.6666666666666666,0.96,0.52,2020-09-27
NO1,2021,2020-10-02,9023,Heerenveen,False,5,4,0,1,10,6,12,0.8,0.8,0.52,2020-09-26
NO1,2021,2020-10-03,9028,Twente,True,5,2,1,2,8,6,7,0.4666666666666667,0.64,0.52,2020-09-25
NO1,2021,2020-10-03,9040,FC Emmen,False,5,1,1,3,9,13,4,0.26666666666666666,0.72,0.0,2020-09-27
NO1,2021,2020-10-03,9041,VVV Venlo,True,5,1,2,2,6,8,5,0.3333333333333333,0.48,0.36,2020-09-26
NO1,2021,2020-10-03,9042,Den Haag,False,5,0,1,4,2,11,1,0.06666666666666667,0.16,0.11999999999999988,2020-09-27
NO1,2021,2020-10-03,9038,Vitesse,True,5,3,0,2,8,6,9,0.6,0.64,0.52,2020-09-26
NO1,2021,2020-10-03,9034,Heracles,False,5,2,2,1,7,7,8,0.5333333333333333,0.5599999999999999,0.44000000000000006,2020-09-27
NO1,2021,2020-10-04,9025,PSV Eindhoven,True,5,3,2,0,8,4,11,0.7333333333333333,0.64,0.6799999999999999,2020-09-27
NO1,2021,2020-10-04,9017,For Sittard,False,5,0,3,2,5,9,3,0.2,0.4,0.28,2020-09-26
NO1,2021,2020-10-04,9032,Groningen,True,5,1,0,4,4,10,3,0.2,0.32,0.19999999999999996,2020-09-25
NO1,2021,2020-10-04,9029,Ajax,False,5,4,0,1,9,4,12,0.8,0.72,0.6799999999999999,2020-09-26
NO1,2021,2020-10-04,9026,Sparta Rotterdam,True,5,1,0,4,6,13,3,0.2,0.48,0.0,2020-09-26
NO1,2021,2020-10-04,9031,AZ Alkmaar,False,5,3,2,0,12,4,11,0.7333333333333333,0.96,0.6799999999999999,2020-09-26
NO1,2021,2020-10-04,9035,Willem II,True,5,2,1,2,8,6,7,0.4666666666666667,0.64,0.52,2020-09-27
NO1,2021,2020-10-04,9021,Feyenoord,False,5,3,2,0,10,4,11,0.7333333333333333,0.8,0.6799999999999999,2020-09-27
NO1,2021,2020-10-17,9031,AZ Alkmaar,True,5,2,3,0,14,8,9,0.6,1.0,0.36,2020-10-04
NO1,2021,2020-10-17,9041,VVV Venlo,False,5,1,1,3,7,10,4,0.26666666666666666,0.5599999999999999,0.19999999999999996,2020-10-03
NO1,2021,2020-10-17,9034,Heracles,True,5,2,1,2,7,10,7,0.4666666666666667,0.5599999999999999,0.19999999999999996,2020-10-03
NO1,2021,2020-10-17,9037,Waalwijk,False,5,1,0,4,5,12,3,0.2,0.4,0.040000000000000036,2020-09-27
NO1,2021,2020-10-17,9035,Willem II,True,5,1,1,3,6,9,4,0.26666666666666666,0.48,0.28,2020-10-04
NO1,2021,2020-10-17,9028,Twente,False,5,2,2,1,7,4,8,0.5333333333333333,0.5599999999999999,0.6799999999999999,2020-10-03
NO1,2021,2020-10-18,9042,Den Haag,True,5,1,0,4,4,12,3,0.2,0.32,0.040000000000000036,2020-10-03
NO1,2021,2020-10-18,9038,Vitesse,False,5,4,0,1,8,2,12,0.8,0.64,0.84,2020-10-03
NO1,2021,2020-10-18,9021,Feyenoord,True,5,4,1,0,13,4,13,0.8666666666666667,1.0,0.6799999999999999,2020-10-04
NO1,2021,2020-10-18,9026,Sparta Rotterdam,False,5,0,1,4,5,16,1,0.06666666666666667,0.4,0.0,2020-10-04
NO1,2021,2020-10-18,9029,Ajax,True,5,4,0,1,9,3,12,0.8,0.72,0.76,2020-10-04
NO1,2021,2020-10-18,9023,Heerenveen,False,5,3,1,1,8,5,10,0.6666666666666666,0.64,0.6,2020-10-02
NO1,2021,2020-10-18,9032,Groningen,True,5,2,0,3,4,7,6,0.4,0.32,0.44000000000000006,2020-10-04
NO1,2021,2020-10-18,9033,Utrecht,False,5,2,2,1,11,6,8,0.5333333333333333,0.8800000000000001,0.52,2020-10-02
NO1,2021,2020-10-18,9027,Zwolle,True,5,2,2,1,10,7,8,0.5333333333333333,0.8,0.44000000000000006,2020-09-26
NO1,2021,2020-10-18,9025,PSV Eindhoven,False,5,4,1,0,9,3,13,0.8666666666666667,0.72,0.76,2020-10-04
NO1,2021,2020-10-18,9040,FC Emmen,True,5,1,2,2,9,9,5,0.3333333333333333,0.72,0.28,2020-10-03
NO1,2021,2020-10-18,9017,For Sittard,False,5,0,2,3,5,11,2,0.13333333333333333,0.4,0.11999999999999988,2020-10-04
NO1,2021,2020-10-21,9037,Waalwijk,True,5,1,0,4,4,11,3,0.2,0.32,0.11999999999999988,2020-10-17
NO1,2021,2020-10-21,9027,Zwolle,False,5,1,2,2,6,7,5,0.3333333333333333,0.48,0.44000000000000006,2020-10-18
NO1,2021,2020-10-24,9027,Zwolle,True,5,1,2,2,6,7,5,0.3333333333333333,0.48,0.44000000000000006,2020-10-21
NO1,2021,2020-10-24,9035,Willem II,False,5,1,1,3,6,10,4,0.26666666666666666,0.48,0.19999999999999996,2020-10-17
NO1,2021,2020-10-24,9023,Heerenveen,True,5,3,1,1,8,7,10,0.6666666666666666,0.64,0.44000000000000006,2020-10-18
NO1,2021,2020-10-24,9040,FC Emmen,False,5,0,3,2,8,11,3,0.2,0.64,0.11999999999999988,2020-10-18
NO1,2021,2020-10-24,9033,Utrecht,True,5,2,3,0,10,4,9,0.6,0.8,0.6799999999999999,2020-10-18
NO1,2021,2020-10-24,9028,Twente,False,5,3,2,0,10,3,11,0.7333333333333333,0.8,0.76,2020-10-17
NO1,2021,2020-10-24,9041,VVV Venlo,True,5,1,2,2,9,9,5,0.3333333333333333,0.72,0.28,2020-10-17
NO1,2021,2020-10-24,9029,Ajax,False,5,4,0,1,11,3,12,0.8,0.8800000000000001,0.76,2020-10-18
NO1,2021,2020-10-25,9038,Vitesse,True,5,4,0,1,9,2,12,0.8,0.72,0.84,2020-10-18
NO1,2021,2020-10-25,9025,PSV Eindhoven,False,5,4,1,0,11,3,13,0.8666666666666667,0.8800000000000001,0.76,2020-10-18
NO1,2021,2020-10-25,9037,Waalwijk,True,5,1,1,3,3,8,4,0.26666666666666666,0.24,0.36,2020-10-21
NO1,2021,2020-10-25,9021,Feyenoord,False,5,3,2,0,12,5,11,0.7333333333333333,0.96,0.6,2020-10-18
NO1,2021,2020-10-25,9042,Den Haag,True,5,1,0,4,4,10,3,0.2,0.32,0.19999999999999996,2020-10-18
NO1,2021,2020-10-25,9031,AZ Alkmaar,False,5,1,4,0,14,10,7,0.4666666666666667,1.0,0.19999999999999996,2020-10-17
NO1,2021,2020-10-25,9017,For Sittard,True,5,0,2,3,6,12,2,0.13333333333333333,0.48,0.040000000000000036,2020-10-18
NO1,2021,2020-10-25,9032,Groningen,False,5,2,1,2,4,6,7,0.4666666666666667,0.32,0.52,2020-10-18
NO1,2021,2020-10-25,9026,Sparta Rotterdam,True,5,0,2,3,5,12,2,0.13333333333333333,0.4,0.040000000000000036,2020-10-18
NO1,2021,2020-10-25,9034,Heracles,False,5,1,1,3,3,9,4,0.26666666666666666,0.24,0.28,2020-10-17
NO1,2021,2020-10-31,9032,Groningen,True,5,3,1,1,6,4,10,0.6666666666666666,0.48,0.6799999999999999,2020-10-25
NO1,2021,2020-10-31,9041,VVV Venlo,False,5,0,2,3,4,19,2,0.13333333333333333,0.32,0.0,2020-10-24
NO1,2021,2020-10-31,9035,Willem II,True,5,1,2,2,6,8,5,0.3333333333333333,0.48,0.36,2020-10-24
NO1,2021,2020-10-31,9038,Vitesse,False,5,4,0,1,10,3,12,0.8,0.8,0.76,2020-10-25
NO1,2021,2020-10-31,9028,Twente,True,5,2,2,1,9,5,8,0.5333333333333333,0.72,0.6,2020-10-24
NO1,2021,2020-10-31,9027,Zwolle,False,5,1,3,1,6,5,6,0.4,0.48,0.6,2020-10-24
NO1,2021,2020-10-31,9029,Ajax,True,5,4,0,1,23,3,12,0.8,1.0,0.76,2020-10-24
NO1,2021,2020-10-31,9017,For Sittard,False,5,0,2,3,7,13,2,0.13333333333333333,0.5599999999999999,0.0,2020-10-25
NO1,2021,2020-11-01,9026,Sparta Rotterdam,True,5,0,3,2,6,12,3,0.2,0.48,0.040000000000000036,2020-10-25
