league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
SC2,2021,2020-10-17,8867,Montrose,True,5,3,0,2,7,4,9,0.6,0.5599999999999999,0.6799999999999999,2020-03-10
SC2,2021,2020-10-17,8877,Falkirk,False,5,3,1,1,9,4,10,0.6666666666666666,0.72,0.6799999999999999,2020-03-07
SC2,2021,2020-10-17,8881,Airdrie Utd,True,5,3,1,1,5,1,10,0.6666666666666666,0.4,0.92,2020-03-07
SC2,2021,2020-10-17,8870,Peterhead,False,5,0,1,4,4,11,1,0.06666666666666667,0.32,0.11999999999999988,2020-03-07
SC2,2021,2020-10-17,8871,East Fife,False,5,3,0,2,6,5,9,0.6,0.48,0.6,2020-03-07
SC2,2021,2020-10-17,8882,Clyde,True,5,3,0,2,7,5,9,0.6,0.5599999999999999,0.6,2020-03-07
SC2,2021,2020-10-17,8885,Forfar,True,5,0,2,3,3,7,2,0.13333333333333333,0.24,0.44000000000000006,2020-03-07
SC2,2021,2020-10-17,8875,Dumbarton,False,5,3,0,2,5,4,9,0.6,0.4,0.6799999999999999,2020-03-07
SC2,2021,2020-10-24,8877,Falkirk,True,5,3,1,1,10,5,10,0.6666666666666666,0.8,0.6,2020-10-17
SC2,2021,2020-10-24,8885,Forfar,False,5,0,2,3,2,6,2,0.13333333333333333,0.16,0.52,2020-10-17
SC2,2021,2020-10-24,8870,Peterhead,True,5,0,1,4,1,9,1,0.06666666666666667,0.08,0.28,2020-10-17
SC2,2021,2020-10-24,8871,East Fife,True,5,2,0,3,6,8,6,0.4,0.48,0.36,2020-10-17
SC2,2021,2020-10-24,8867,Montrose,False,5,3,0,2,8,6,9,0.6,0.64,0.52,2020-10-17
SC2,2021,2020-10-24,8881,Airdrie Utd,False,5,4,0,1,7,1,12,0.8,0.5599999999999999,0.92,2020-10-17
SC2,2021,2020-10-31,8877,Falkirk,True,5,2,2,1,10,6,8,0.5333333333333333,0.8,0.52,2020-10-24
SC2,2021,2020-10-31,8871,East Fife,False,5,2,1,2,8,8,7,0.4666666666666667,0.64,0.36,2020-10-24
SC2,2021,2020-10-31,8885,Forfar,True,5,0,2,3,2,6,2,0.13333333333333333,0.16,0.52,2020-10-24
SC2,2021,2020-10-31,8867,Montrose,False,5,2,1,2,9,8,7,0.4666666666666667,0.72,0.36,2020-10-24
SC2,2021,2020-10-31,8881,Airdrie Utd,True,5,3,0,2,6,3,9,0.6,0.48,0.76,2020-10-24
SC2,2021,2020-10-31,8875,Dumbarton,False,5,3,1,1,4,2,10,0.6666666666666666,0.32,0.84,2020-10-17
SC2,2021,2020-10-31,8882,Clyde,True,5,4,0,1,8,4,12,0.8,0.64,0.6799999999999999,2020-10-17
SC2,2021,2020-10-31,8870,Peterhead,False,5,0,1,4,1,10,1,0.06666666666666667,0.08,0.19999999999999996,2020-10-24
SC2,2021,2020-11-03,8875,Dumbarton,True,5,3,1,1,5,2,10,0.6666666666666666,0.4,0.84,2020-10-31
SC2,2021,2020-11-03,8882,Clyde,False,5,4,0,1,8,5,12,0.8,0.64,0.6,2020-10-31
SC2,2021,2020-11-07,8864,Cove Rangers,True,3,3,0,0,6,1,9,1.0,0.8,0.8666666666666667,2020-10-31
SC2,2021,2020-11-07,8885,Forfar,False,5,0,2,3,4,8,2,0.13333333333333333,0.32,0.36,2020-10-31
SC2,2021,2020-11-07,8881,Airdrie Utd,True,5,2,0,3,4,5,6,0.4,0.32,0.6,2020-10-31
SC2,2021,2020-11-07,8882,Clyde,False,5,3,0,2,5,4,9,0.6,0.4,0.6799999999999999,2020-11-03
