league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
SP2,2122,2021-08-13,9227,Huesca,True,5,3,0,2,7,4,9,0.6,0.5599999999999999,0.6799999999999999,2020-07-20
SP2,2122,2021-08-13,9224,Zaragoza,True,5,2,1,2,6,7,7,0.4666666666666667,0.48,0.44000000000000006,2021-05-30
SP2,2122,2021-08-14,9228,Leganes,False,5,3,2,0,10,1,11,0.7333333333333333,0.8,0.92,2021-05-30
SP2,2122,2021-08-14,9249,Girona,True,5,4,1,0,8,2,13,0.8666666666666667,0.64,0.84,2021-05-30
SP2,2122,2021-08-14,9248,Ponferradina,True,5,1,1,3,5,9,4,0.26666666666666666,0.4,0.28,2021-05-30
SP2,2122,2021-08-14,9244,Alcorcon,False,5,2,1,2,3,3,7,0.4666666666666667,0.24,0.76,2021-05-30
SP2,2122,2021-08-15,9231,Sp Gijon,True,5,2,1,2,2,3,7,0.4666666666666667,0.16,0.76,2021-05-30
SP2,2122,2021-08-15,9236,Oviedo,True,5,2,2,1,7,8,8,0.5333333333333333,0.5599999999999999,0.36,2021-05-29
SP2,2122,2021-08-15,9247,Lugo,False,5,3,1,1,6,4,10,0.6666666666666666,0.48,0.6799999999999999,2021-05-30
SP2,2122,2021-08-15,9250,Fuenlabrada,True,5,1,1,3,4,6,4,0.26666666666666666,0.32,0.52,2021-05-30
SP2,2122,2021-08-15,9240,Tenerife,False,5,1,2,2,5,5,5,0.3333333333333333,0.4,0.6,2021-05-29
SP2,2122,2021-08-15,9229,Las Palmas,True,5,2,1,2,4,5,7,0.4666666666666667,0.32,0.6,2021-05-30
SP2,2122,2021-08-15,9215,Valladolid,False,5,1,1,3,5,8,4,0.26666666666666666,0.4,0.36,2018-12-05
SP2,2122,2021-08-16,9219,Malaga,True,5,1,1,3,4,4,4,0.26666666666666666,0.32,0.6799999999999999,2021-05-30
SP2,2122,2021-08-16,9226,Mirandes,False,5,1,2,2,4,6,5,0.3333333333333333,0.32,0.52,2021-05-30
SP2,2122,2021-08-16,9237,Cartagena,True,5,3,1,1,8,5,10,0.6666666666666666,0.64,0.6,2021-05-30
SP2,2122,2021-08-16,9233,Almeria,False,5,3,1,1,8,5,10,0.6666666666666666,0.64,0.6,2021-05-30
SP2,2122,2021-08-20,9215,Valladolid,True,5,1,2,2,4,5,5,0.3333333333333333,0.32,0.6,2021-08-15
SP2,2122,2021-08-20,9224,Zaragoza,False,5,2,1,2,6,7,7,0.4666666666666667,0.48,0.44000000000000006,2021-08-13
SP2,2122,2021-08-20,9233,Almeria,True,5,3,1,1,10,6,10,0.6666666666666666,0.8,0.52,2021-08-16
SP2,2122,2021-08-20,9236,Oviedo,False,5,1,3,1,7,9,6,0.4,0.5599999999999999,0.28,2021-08-15
SP2,2122,2021-08-21,9247,Lugo,True,5,3,2,0,8,5,11,0.7333333333333333,0.64,0.6,2021-08-15
SP2,2122,2021-08-21,9240,Tenerife,True,5,2,2,1,7,5,8,0.5333333333333333,0.5599999999999999,0.6,2021-08-15
SP2,2122,2021-08-21,9231,Sp Gijon,False,5,2,1,2,2,3,7,0.4666666666666667,0.16,0.76,2021-08-15
SP2,2122,2021-08-21,9244,Alcorcon,True,5,2,0,3,3,4,6,0.4,0.24,0.6799999999999999,2021-08-14
SP2,2122,2021-08-21,9250,Fuenlabrada,False,5,1,1,3,4,6,4,0.26666666666666666,0.32,0.52,2021-08-15
SP2,2122,2021-08-22,9219,Malaga,False,5,1,1,3,3,3,4,0.26666666666666666,0.24,0.76,2021-08-16
SP2,2122,2021-08-22,9248,Ponferradina,False,5,2,1,2,6,8,7,0.4666666666666667,0.48,0.36,2021-08-14
SP2,2122,2021-08-22,9249,Girona,True,5,4,1,0,6,1,13,0.8666666666666667,0.48,0.92,2021-08-14
SP2,2122,2021-08-22,9229,Las Palmas,False,5,2,1,2,5,6,7,0.4666666666666667,0.4,0.52,2021-08-15
SP2,2122,2021-08-22,9227,Huesca,True,5,4,0,1,8,2,12,0.8,0.64,0.84,2021-08-13
SP2,2122,2021-08-22,9237,Cartagena,False,5,2,1,2,8,8,7,0.4666666666666667,0.64,0.36,2021-08-16
SP2,2122,2021-08-23,9226,Mirandes,True,5,0,3,2,2,5,3,0.2,0.16,0.6,2021-08-16
SP2,2122,2021-08-23,9228,Leganes,True,5,3,1,1,9,1,10,0.6666666666666666,0.72,0.92,2021-08-14
SP2,2122,2021-08-27,9229,Las Palmas,True,5,2,2,1,5,4,8,0.5333333333333333,0.4,0.6799999999999999,2021-08-22
SP2,2122,2021-08-27,9227,Huesca,False,5,4,0,1,8,1,12,0.8,0.64,0.92,2021-08-22
SP2,2122,2021-08-27,9219,Malaga,True,5,1,2,2,5,4,5,0.3333333333333333,0.4,0.6799999999999999,2021-08-22
SP2,2122,2021-08-27,9244,Alcorcon,False,5,2,0,3,3,4,6,0.4,0.24,0.6799999999999999,2021-08-21
SP2,2122,2021-08-28,9231,Sp Gijon,True,5,2,2,1,2,2,8,0.5333333333333333,0.16,0.84,2021-08-21
SP2,2122,2021-08-28,9226,Mirandes,False,5,1,3,1,3,3,6,0.4,0.24,0.76,2021-08-23
SP2,2122,2021-08-28,9228,Leganes,True,5,2,2,1,6,1,8,0.5333333333333333,0.48,0.92,2021-08-23
SP2,2122,2021-08-28,9236,Oviedo,True,5,0,3,2,7,11,3,0.2,0.5599999999999999,0.11999999999999988,2021-08-20
SP2,2122,2021-08-28,9240,Tenerife,False,5,1,3,1,5,5,6,0.4,0.4,0.6,2021-08-21
SP2,2122,2021-08-28,9248,Ponferradina,True,5,2,1,2,5,8,7,0.4666666666666667,0.4,0.36,2021-08-22
SP2,2122,2021-08-28,9249,Girona,False,5,3,2,0,5,1,11,0.7333333333333333,0.4,0.92,2021-08-22
SP2,2122,2021-08-29,9233,Almeria,False,5,4,0,1,11,6,12,0.8,0.8800000000000001,0.52,2021-08-20
SP2,2122,2021-08-29,9247,Lugo,True,5,2,3,0,6,4,9,0.6,0.48,0.6799999999999999,2021-08-21
SP2,2122,2021-08-29,9215,Valladolid,False,5,2,2,1,6,4,8,0.5333333333333333,0.48,0.6799999999999999,2021-08-20
SP2,2122,2021-08-29,9250,Fuenlabrada,False,5,2,1,2,5,4,7,0.4666666666666667,0.4,0.6799999999999999,2021-08-21
SP2,2122,2021-08-30,9224,Zaragoza,True,5,1,1,3,4,9,4,0.26666666666666666,0.32,0.28,2021-08-20
SP2,2122,2021-08-30,9237,Cartagena,False,5,1,1,3,6,10,4,0.26666666666666666,0.48,0.19999999999999996,2021-08-22
SP2,2122,2021-09-03,9249,Girona,True,5,2,2,1,5,3,8,0.5333333333333333,0.4,0.76,2021-08-28
SP2,2122,2021-09-03,9231,Sp Gijon,False,5,2,2,1,3,3,8,0.5333333333333333,0.24,0.76,2021-08-28
SP2,2122,2021-09-04,9220,Eibar,True,3,1,0,2,1,3,3,0.3333333333333333,0.13333333333333333,0.6,2021-08-29
SP2,2122,2021-09-04,9228,Leganes,False,5,2,1,2,7,3,7,0.4666666666666667,0.5599999999999999,0.76,2021-08-28
SP2,2122,2021-09-04,9237,Cartagena,True,5,1,1,3,4,8,4,0.26666666666666666,0.32,0.36,2021-08-30
SP2,2122,2021-09-04,9223,Sociedad B,False,3,1,2,0,1,0,5,0.5555555555555556,0.13333333333333333,1.0,2021-08-29
SP2,2122,2021-09-04,9240,Tenerife,True,5,1,4,0,5,4,7,0.4666666666666667,0.4,0.6799999999999999,2021-08-28
SP2,2122,2021-09-04,9248,Ponferradina,False,5,3,1,1,6,5,10,0.6666666666666666,0.48,0.6,2021-08-28
SP2,2122,2021-09-04,9233,Almeria,True,5,4,0,1,10,5,12,0.8,0.8,0.6,2021-08-29
SP2,2122,2021-09-04,9219,Malaga,False,5,2,2,1,6,3,8,0.5333333333333333,0.48,0.76,2021-08-27
SP2,2122,2021-09-04,9250,Fuenlabrada,True,5,2,2,1,5,3,8,0.5333333333333333,0.4,0.76,2021-08-29
