league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
T1,2223,2022-08-05,8947,Trabzonspor,False,5,2,2,1,9,8,8,0.5333333333333333,0.72,0.36,2022-05-22
T1,2223,2022-08-06,8940,Samsunspor,True,5,4,0,1,9,7,12,0.8,0.72,0.44000000000000006,2022-05-21
T1,2223,2022-08-06,8938,Gaziantep,False,5,1,2,2,6,8,5,0.3333333333333333,0.48,0.36,2022-05-20
T1,2223,2022-08-06,8951,Besiktas,True,5,2,2,1,7,7,8,0.5333333333333333,0.5599999999999999,0.44000000000000006,2022-05-21
T1,2223,2022-08-06,8948,Kocaelispor,False,5,1,2,2,8,7,5,0.3333333333333333,0.64,0.44000000000000006,2022-05-21
T1,2223,2022-08-07,8957,Giresunspor,True,5,1,2,2,6,8,5,0.3333333333333333,0.48,0.36,2022-05-22
T1,2223,2022-08-07,8953,Ad. Demirspor,False,5,1,0,4,11,10,3,0.2,0.8800000000000001,0.19999999999999996,2022-05-22
T1,2223,2022-08-07,8949,Karagumruk,True,5,3,1,1,7,4,10,0.6666666666666666,0.5599999999999999,0.6799999999999999,2022-05-22
T1,2223,2022-08-07,8942,Antalyaspor,False,5,3,2,0,10,3,11,0.7333333333333333,0.8,0.76,2022-05-22
T1,2223,2022-08-07,8942,Antalyaspor,True,5,3,2,0,10,3,11,0.7333333333333333,0.8,0.76,2022-05-22
T1,2223,2022-08-07,8939,Galatasaray,False,5,2,2,1,7,6,8,0.5333333333333333,0.5599999999999999,0.52,2022-05-20
T1,2223,2022-08-08,8952,Buyuksehyr,True,5,3,2,0,10,4,11,0.7333333333333333,0.8,0.6799999999999999,2022-05-22
T1,2223,2022-08-08,8943,Kasimpasa,False,5,3,0,2,14,10,9,0.6,1.0,0.19999999999999996,2022-05-21
T1,2223,2022-08-08,8949,Karagumruk,True,5,2,1,2,7,7,7,0.4666666666666667,0.5599999999999999,0.44000000000000006,2022-08-07
T1,2223,2022-08-08,8942,Antalyaspor,False,5,3,1,1,10,5,10,0.6666666666666666,0.8,0.6,2022-08-07
T1,2223,2022-08-08,8950,Fenerbahce,True,5,3,2,0,15,3,11,0.7333333333333333,1.0,0.76,2022-05-21
T1,2223,2022-08-08,8944,Rizespor,False,5,2,0,3,11,12,6,0.4,0.8800000000000001,0.040000000000000036,2022-05-20
T1,2223,2022-08-12,8947,Trabzonspor,True,5,2,2,1,8,7,8,0.5333333333333333,0.64,0.44000000000000006,2022-08-05
T1,2223,2022-08-12,8942,Antalyaspor,False,5,3,1,1,9,4,10,0.6666666666666666,0.72,0.6799999999999999,2022-08-08
T1,2223,2022-08-13,8948,Kocaelispor,True,5,1,1,3,7,7,4,0.26666666666666666,0.5599999999999999,0.44000000000000006,2022-08-06
T1,2223,2022-08-13,8953,Ad. Demirspor,True,5,2,0,3,13,9,6,0.4,1.0,0.28,2022-08-07
T1,2223,2022-08-13,8940,Samsunspor,False,5,3,1,1,9,8,10,0.6666666666666666,0.72,0.36,2022-08-06
T1,2223,2022-08-13,8939,Galatasaray,True,5,2,2,1,7,6,8,0.5333333333333333,0.5599999999999999,0.52,2022-08-07
T1,2223,2022-08-13,8957,Giresunspor,False,5,1,2,2,7,9,5,0.3333333333333333,0.5599999999999999,0.28,2022-08-07
T1,2223,2022-08-14,8938,Gaziantep,True,5,1,2,2,6,8,5,0.3333333333333333,0.48,0.36,2022-08-06
T1,2223,2022-08-14,8949,Karagumruk,False,5,1,2,2,5,6,5,0.3333333333333333,0.4,0.52,2022-08-08
T1,2223,2022-08-14,8944,Rizespor,True,5,2,1,2,14,9,7,0.4666666666666667,1.0,0.28,2022-08-08
T1,2223,2022-08-14,8942,Antalyaspor,False,5,2,1,2,5,4,7,0.4666666666666667,0.4,0.6799999999999999,2022-08-12
T1,2223,2022-08-14,8942,Antalyaspor,True,5,2,1,2,5,4,7,0.4666666666666667,0.4,0.6799999999999999,2022-08-12
T1,2223,2022-08-14,8951,Besiktas,False,5,3,2,0,8,4,11,0.7333333333333333,0.64,0.6799999999999999,2022-08-06
T1,2223,2022-08-15,8942,Antalyaspor,True,5,2,2,1,8,6,8,0.5333333333333333,0.64,0.52,2022-08-14
T1,2223,2022-08-15,8952,Buyuksehyr,False,5,3,2,0,11,4,11,0.7333333333333333,0.8800000000000001,0.6799999999999999,2022-08-08
T1,2223,2022-08-15,8943,Kasimpasa,True,5,2,0,3,11,14,6,0.4,0.8800000000000001,0.0,2022-08-08
T1,2223,2022-08-15,8950,Fenerbahce,False,5,2,3,0,12,6,9,0.6,0.96,0.52,2022-08-08
T1,2223,2022-08-19,8944,Rizespor,True,5,1,1,3,7,9,4,0.26666666666666666,0.5599999999999999,0.28,2022-08-14
T1,2223,2022-08-19,8939,Galatasaray,False,5,2,2,1,5,4,8,0.5333333333333333,0.4,0.6799999999999999,2022-08-13
T1,2223,2022-08-20,8957,Giresunspor,True,5,1,2,2,6,9,5,0.3333333333333333,0.48,0.28,2022-08-13
T1,2223,2022-08-20,8943,Kasimpasa,False,5,2,0,3,9,17,6,0.4,0.72,0.0,2022-08-15
T1,2223,2022-08-20,8942,Antalyaspor,True,5,1,3,1,4,4,6,0.4,0.32,0.6799999999999999,2022-08-15
T1,2223,2022-08-20,8938,Gaziantep,False,5,2,2,1,5,5,8,0.5333333333333333,0.4,0.6,2022-08-14
T1,2223,2022-08-20,8942,Antalyaspor,True,5,1,3,1,4,4,6,0.4,0.32,0.6799999999999999,2022-08-15
T1,2223,2022-08-20,8947,Trabzonspor,False,5,3,1,1,7,5,10,0.6666666666666666,0.5599999999999999,0.6,2022-08-12
T1,2223,2022-08-21,8952,Buyuksehyr,True,5,2,3,0,8,2,9,0.6,0.64,0.84,2022-08-15
T1,2223,2022-08-21,8948,Kocaelispor,False,5,2,1,2,6,4,7,0.4666666666666667,0.48,0.6799999999999999,2022-08-13
T1,2223,2022-08-21,8951,Besiktas,True,5,2,3,0,8,5,9,0.6,0.64,0.6,2022-08-14
T1,2223,2022-08-21,8949,Karagumruk,False,5,0,2,3,2,6,2,0.13333333333333333,0.16,0.52,2022-08-14
T1,2223,2022-08-22,8942,Antalyaspor,False,5,2,2,1,10,7,8,0.5333333333333333,0.8,0.44000000000000006,2022-08-20
T1,2223,2022-08-22,8940,Samsunspor,True,5,2,1,2,6,9,7,0.4666666666666667,0.48,0.28,2022-08-13
T1,2223,2022-08-22,8942,Antalyaspor,False,5,2,2,1,10,7,8,0.5333333333333333,0.8,0.44000000000000006,2022-08-20
T1,2223,2022-08-22,8950,Fenerbahce,True,5,2,3,0,15,4,9,0.6,1.0,0.6799999999999999,2022-08-15
T1,2223,2022-08-22,8953,Ad. Demirspor,False,5,3,0,2,16,7,9,0.6,1.0,0.44000000000000006,2022-08-13
