league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
USA1,2021,2020-02-29,9549,Seattle Sounders,True,5,1,2,2,8,8,5,0.3333333333333333,0.64,0.36,2017-03-03
USA1,2021,2020-02-29,9547,Los Angeles Galaxy,False,5,1,1,3,8,11,4,0.26666666666666666,0.64,0.11999999999999988,2017-03-03
USA1,2021,2020-02-29,9567,Orlando City,True,5,3,1,1,10,8,10,0.6666666666666666,0.8,0.36,2017-03-03
USA1,2021,2020-02-29,9560,New England Revolution,False,5,1,3,1,12,10,6,0.4,0.96,0.19999999999999996,2017-03-03
USA1,2021,2020-02-29,9570,Columbus Crew,True,5,3,1,1,11,8,10,0.6666666666666666,0.8800000000000001,0.36,2017-03-03
USA1,2021,2020-02-29,9549,Seattle Sounders,True,5,1,2,2,8,8,5,0.3333333333333333,0.64,0.36,2017-03-03
USA1,2021,2020-02-29,9563,FC Dallas,False,5,2,2,1,8,9,8,0.5333333333333333,0.64,0.28,2017-03-03
USA1,2021,2020-02-29,9562,Sporting Kansas City,True,5,4,0,1,14,8,12,0.8,1.0,0.36,2018-03-03
USA1,2021,2020-02-29,9550,Minnesota United FC,False,5,1,1,3,10,20,4,0.26666666666666666,0.8,0.0,2017-03-03
USA1,2021,2020-02-29,9570,Columbus Crew,True,5,3,1,1,11,8,10,0.6666666666666666,0.8800000000000001,0.36,2017-03-03
USA1,2021,2020-02-29,9560,New England Revolution,False,5,1,3,1,12,10,6,0.4,0.96,0.19999999999999996,2017-03-03
USA1,2021,2020-02-29,9549,Seattle Sounders,True,5,1,2,2,8,8,5,0.3333333333333333,0.64,0.36,2017-03-03
USA1,2021,2020-02-29,9550,Minnesota United FC,False,5,1,1,3,10,20,4,0.26666666666666666,0.8,0.0,2017-03-03
USA1,2021,2020-02-29,9570,Columbus Crew,True,5,3,1,1,11,8,10,0.6666666666666666,0.8800000000000001,0.36,2017-03-03
USA1,2021,2020-02-29,9549,Seattle Sounders,False,5,1,2,2,8,8,5,0.3333333333333333,0.64,0.36,2017-03-03
