league_code,season,match_date,home_team,away_team,temperature,rainfall,wind_speed,weather_draw_index
E0,2223,2022-08-05,Crystal Palace,Arsenal,21.2,0.0,18.2,1.15
E0,2223,2022-08-06,Fulham,Liverpool,23.1,0.0,8.4,1.084
E0,2223,2022-08-06,Bournemouth,Aston Villa,23.1,0.0,8.4,1.084
E0,2223,2022-08-06,Leeds,Wolves,23.1,0.0,8.4,1.084
E0,2223,2022-08-06,Newcastle,Nott'm Forest,23.1,0.0,8.4,1.084
E0,2223,2022-08-06,Tottenham,Southampton,23.1,0.0,8.4,1.084
E0,2223,2022-08-06,Everton,Chelsea,23.1,0.0,8.4,1.084
E0,2223,2022-08-07,Leicester,Brentford,26.1,0.0,8.7,1.087
E0,2223,2022-08-07,Man City,Brighton,26.1,0.0,8.7,1.087
E0,2223,2022-08-07,West Ham,Man City,26.1,0.0,8.7,1.087
E0,2223,2022-08-13,Aston Villa,Everton,32.7,0.0,17.1,1.15
E0,2223,2022-08-13,Arsenal,Leicester,32.7,0.0,17.1,1.15
E0,2223,2022-08-13,Brighton,Newcastle,32.7,0.0,17.1,1.15
E0,2223,2022-08-13,Man City,Bournemouth,32.7,0.0,17.1,1.15
E0,2223,2022-08-13,Southampton,Leeds,32.7,0.0,17.1,1.15
E0,2223,2022-08-13,Wolves,Fulham,32.7,0.0,17.1,1.15
E0,2223,2022-08-13,Brentford,Man City,32.7,0.0,17.1,1.15
E0,2223,2022-08-14,Nott'm Forest,West Ham,31.2,0.0,17.5,1.15
E0,2223,2022-08-14,Chelsea,Tottenham,31.2,0.0,17.5,1.15
E0,2223,2022-08-15,Liverpool,Crystal Palace,27.2,0.0,10.9,1.109
E0,2223,2022-08-20,Tottenham,Wolves,23.0,0.0,17.6,1.15
E0,2223,2022-08-20,Crystal Palace,Aston Villa,23.0,0.0,17.6,1.15
E0,2223,2022-08-20,Everton,Nott'm Forest,23.0,0.0,17.6,1.15
E0,2223,2022-08-20,Fulham,Brentford,23.0,0.0,17.6,1.15
E0,2223,2022-08-20,Leicester,Southampton,23.0,0.0,17.6,1.15
E0,2223,2022-08-20,Bournemouth,Arsenal,23.0,0.0,17.6,1.15
E0,2223,2022-08-21,Leeds,Chelsea,23.2,0.0,5.2,1.052
E0,2223,2022-08-21,West Ham,Brighton,23.2,0.0,5.2,1.052
E0,2223,2022-08-21,Newcastle,Man City,23.2,0.0,5.2,1.052
E0,2223,2022-08-22,Man City,Liverpool,20.9,0.0,11.6,1.116
E0,2223,2022-08-27,Southampton,Man City,23.1,0.0,11.7,1.117
E0,2223,2022-08-27,Brentford,Everton,23.1,0.0,11.7,1.117
E0,2223,2022-08-27,Brighton,Leeds,23.1,0.0,11.7,1.117
E0,2223,2022-08-27,Chelsea,Leicester,23.1,0.0,11.7,1.117
