home_team_id,home_team_name,away_team_id,away_team_name,season,matches_played,draw_count,draw_rate,avg_goals
8989,RB Leipzig,8995,Wolfsburg,2122,2,0,0.0,1.5
9003,M'gladbach,9006,Bochum,2122,2,0,0.0,2.5
8996,Leverkusen,9003,M'gladbach,2122,2,0,0.0,3.5
8992,Freiburg,8997,Union Berlin,2122,2,1,0.5,2.5
8988,Bayern Munich,9002,FC Koln,2122,2,0,0.0,4.5
8989,RB Leipzig,8993,Augsburg,2122,2,1,0.5,3.0
8988,Bayern Munich,8989,RB Leipzig,2122,2,0,0.0,5.0
8989,RB Leipzig,8994,Heidenheim,2122,2,0,0.0,2.5
8988,Bayern Munich,9001,Mainz,2122,2,0,0.0,3.5
8993,Augsburg,8995,Wolfsburg,2122,2,0,0.0,2.0
8995,Wolfsburg,9001,Mainz,2122,2,0,0.0,4.0
8990,Ein Frankfurt,8997,Union Berlin,2122,2,0,0.0,2.5
8992,Freiburg,9002,FC Koln,2122,2,1,0.5,1.5
8993,Augsburg,8997,Union Berlin,2122,2,1,0.5,1.0
8988,Bayern Munich,9006,Bochum,2122,2,0,0.0,6.5
8988,Bayern Munich,9008,Hertha,2122,2,0,0.0,5.0
8989,RB Leipzig,8992,Freiburg,2122,2,2,1.0,2.0
8989,RB Leipzig,9006,Bochum,2122,2,0,0.0,2.0
8998,Stuttgart,9003,M'gladbach,2122,2,1,0.5,3.5
8994,Heidenheim,9003,M'gladbach,2122,2,1,0.5,4.0
8989,RB Leipzig,9002,FC Koln,2122,2,1,0.5,3.0
9000,Dortmund,9003,M'gladbach,2122,2,0,0.0,3.5
8990,Ein Frankfurt,9000,Dortmund,2122,2,0,0.0,6.0
9003,M'gladbach,9008,Hertha,2122,2,0,0.0,1.5
8989,RB Leipzig,9010,Bielefeld,2122,2,1,0.5,2.0
8990,Ein Frankfurt,8993,Augsburg,2122,2,2,1.0,1.0
9003,M'gladbach,9010,Bielefeld,2122,2,1,0.5,3.0
8989,RB Leipzig,8996,Leverkusen,2122,2,0,0.0,2.5
9000,Dortmund,9002,FC Koln,2122,2,1,0.5,2.0
8995,Wolfsburg,8996,Leverkusen,2122,2,0,0.0,2.0
9008,Hertha,9011,Greuther Furth,2122,2,0,0.0,3.0
8995,Wolfsburg,9008,Hertha,2122,2,1,0.5,1.5
8992,Freiburg,9010,Bielefeld,2122,2,2,1.0,2.0
9001,Mainz,9002,FC Koln,2122,2,1,0.5,3.5
8988,Bayern Munich,8994,Heidenheim,2122,2,1,0.5,3.0
9000,Dortmund,9008,Hertha,2122,2,0,0.0,4.0
9000,Dortmund,9011,Greuther Furth,2122,2,0,0.0,3.5
8992,Freiburg,8996,Leverkusen,2122,2,0,0.0,3.0
8997,Union Berlin,9000,Dortmund,2122,2,0,0.0,4.5
8994,Heidenheim,9000,Dortmund,2122,2,0,0.0,5.0
9002,FC Koln,9010,Bielefeld,2122,2,1,0.5,3.0
8988,Bayern Munich,8996,Leverkusen,2122,2,1,0.5,4.0
9006,Bochum,9011,Greuther Furth,2122,2,0,0.0,2.0
8995,Wolfsburg,8998,Stuttgart,2122,2,1,0.5,2.0
8988,Bayern Munich,9003,M'gladbach,2122,2,1,0.5,2.5
8994,Heidenheim,8998,Stuttgart,2122,2,0,0.0,3.5
9002,FC Koln,9003,M'gladbach,2122,2,0,0.0,4.5
8996,Leverkusen,9008,Hertha,2122,2,1,0.5,2.5
8993,Augsburg,8994,Heidenheim,2122,2,0,0.0,4.0
8993,Augsburg,8996,Leverkusen,2122,2,0,0.0,5.5
8996,Leverkusen,9010,Bielefeld,2122,2,0,0.0,3.5
8989,RB Leipzig,9001,Mainz,2122,2,0,0.0,3.0
8990,Ein Frankfurt,9006,Bochum,2122,2,0,0.0,2.5
8997,Union Berlin,9011,Greuther Furth,2122,2,1,0.5,1.5
8996,Leverkusen,9011,Greuther Furth,2122,2,0,0.0,6.5
9008,Hertha,9010,Bielefeld,2122,2,1,0.5,2.0
8998,Stuttgart,9011,Greuther Furth,2122,2,1,0.5,3.0
8989,RB Leipzig,8997,Union Berlin,2122,2,0,0.0,3.0
8996,Leverkusen,8998,Stuttgart,2122,2,0,0.0,5.0
8990,Ein Frankfurt,9010,Bielefeld,2122,2,1,0.5,2.0
8997,Union Berlin,8998,Stuttgart,2122,2,2,1.0,2.0
8988,Bayern Munich,8990,Ein Frankfurt,2122,2,0,0.0,2.0
8998,Stuttgart,9010,Bielefeld,2122,2,1,0.5,1.5
8993,Augsburg,9008,Hertha,2122,2,1,0.5,1.5
8995,Wolfsburg,9003,M'gladbach,2122,2,1,0.5,4.0
8989,RB Leipzig,9003,M'gladbach,2122,2,0,0.0,4.5
8995,Wolfsburg,9010,Bielefeld,2122,2,1,0.5,4.0
8998,Stuttgart,9001,Mainz,2122,2,1,0.5,1.5
8990,Ein Frankfurt,9001,Mainz,2122,2,1,0.5,2.5
8988,Bayern Munich,8995,Wolfsburg,2122,2,1,0.5,4.0
8994,Heidenheim,9002,FC Koln,2122,2,0,0.0,3.0
8990,Ein Frankfurt,9008,Hertha,2122,2,0,0.0,4.0
8990,Ein Frankfurt,8996,Leverkusen,2122,2,0,0.0,4.5
8996,Leverkusen,9000,Dortmund,2122,2,0,0.0,7.0
8989,RB Leipzig,9011,Greuther Furth,2122,2,0,0.0,6.0
8988,Bayern Munich,9011,Greuther Furth,2122,2,0,0.0,4.5
8990,Ein Frankfurt,9011,Greuther Furth,2122,2,1,0.5,1.5
8993,Augsburg,9000,Dortmund,2122,2,1,0.5,2.5
8993,Augsburg,9010,Bielefeld,2122,2,1,0.5,1.5
8993,Augsburg,9001,Mainz,2122,2,0,0.0,4.0
8992,Freiburg,9001,Mainz,2122,2,2,1.0,1.0
8997,Union Berlin,9002,FC Koln,2122,2,1,0.5,2.5
8989,RB Leipzig,8990,Ein Frankfurt,2122,2,2,1.0,1.0
8988,Bayern Munich,8997,Union Berlin,2122,2,0,0.0,5.5
8993,Augsburg,8998,Stuttgart,2122,2,0,0.0,5.0
8990,Ein Frankfurt,9002,FC Koln,2122,2,1,0.5,1.5
8988,Bayern Munich,8998,Stuttgart,2122,2,1,0.5,4.5
