home_team_id,home_team_name,away_team_id,away_team_name,season,matches_played,draw_count,draw_rate,avg_goals
9448,Club Tijuana,9463,Monarcas Morelia,1920,2,1,0.5,3.5
9446,Santos Laguna,9464,CD Veracruz,1920,1,0,0.0,5.0
9446,Santos Laguna,9457,Cruz Azul,1920,1,0,0.0,3.0
9452,CF América,9459,Pumas UNAM,1920,2,2,1.0,4.0
9449,FC Juárez,9462,CF Monterrey,1920,2,1,0.5,1.5
9455,Deportivo Guadalajara,9462,CF Monterrey,1920,1,1,1.0,2.0
9451,Atlético San Luis,9460,Club León,1920,1,0,0.0,4.0
9457,Cruz Azul,9464,CD Veracruz,1920,1,1,1.0,
9446,Santos Laguna,9451,Atlético San Luis,1920,1,0,0.0,5.0
9451,Atlético San Luis,9456,Deportivo Toluca,1920,1,0,0.0,4.0
9461,CF Pachuca,9463,Monarcas Morelia,1920,1,0,0.0,3.0
9445,Puebla FC,9449,FC Juárez,1920,1,0,0.0,3.0
9449,FC Juárez,9464,CD Veracruz,1920,1,0,0.0,2.0
9447,Gallos Blancos,9452,CF América,1920,2,1,0.5,3.5
9456,Deportivo Toluca,9462,CF Monterrey,1920,2,0,0.0,2.0
9445,Puebla FC,9455,Deportivo Guadalajara,1920,1,1,1.0,2.0
9454,Club Necaxa,9460,Club León,1920,2,0,0.0,4.5
9460,Club León,9463,Monarcas Morelia,1920,1,0,0.0,3.0
9452,CF América,9460,Club León,1920,1,1,1.0,
9459,Pumas UNAM,9460,Club León,1920,1,0,0.0,4.0
9446,Santos Laguna,9450,Atlas Guadalajara,1920,2,0,0.0,2.0
9448,Club Tijuana,9454,Club Necaxa,1920,1,0,0.0,5.0
9450,Atlas Guadalajara,9463,Monarcas Morelia,1920,2,0,0.0,2.5
9453,UANL Tigres,9457,Cruz Azul,1920,1,0,0.0,3.0
9448,Club Tijuana,9457,Cruz Azul,1920,2,0,0.0,5.5
9453,UANL Tigres,9460,Club León,1920,1,1,1.0,2.0
9445,Puebla FC,9446,Santos Laguna,1920,2,1,0.5,4.5
9455,Deportivo Guadalajara,9461,CF Pachuca,1920,1,0,0.0,6.0
9445,Puebla FC,9453,UANL Tigres,1920,2,1,0.5,0.5
9446,Santos Laguna,9461,CF Pachuca,1920,2,1,0.5,2.5
9450,Atlas Guadalajara,9452,CF América,1920,2,0,0.0,2.5
9450,Atlas Guadalajara,9457,Cruz Azul,1920,1,0,0.0,4.0
9445,Puebla FC,9461,CF Pachuca,1920,2,0,0.0,2.5
9447,Gallos Blancos,9454,Club Necaxa,1920,2,0,0.0,4.0
9454,Club Necaxa,9459,Pumas UNAM,1920,1,0,0.0,2.0
9460,Club León,9461,CF Pachuca,1920,2,0,0.0,3.5
9447,Gallos Blancos,9448,Club Tijuana,1920,2,1,0.5,2.5
9446,Santos Laguna,9459,Pumas UNAM,1920,1,1,1.0,2.0
9446,Santos Laguna,9455,Deportivo Guadalajara,1920,1,0,0.0,3.0
9445,Puebla FC,9460,Club León,1920,1,0,0.0,3.0
9454,Club Necaxa,9455,Deportivo Guadalajara,1920,1,0,0.0,3.0
9445,Puebla FC,9447,Gallos Blancos,1920,2,1,0.5,1.5
9454,Club Necaxa,9463,Monarcas Morelia,1920,1,0,0.0,3.0
9448,Club Tijuana,9456,Deportivo Toluca,1920,2,1,0.5,2.0
9452,CF América,9456,Deportivo Toluca,1920,1,0,0.0,1.0
9447,Gallos Blancos,9451,Atlético San Luis,1920,1,0,0.0,1.0
9457,Cruz Azul,9459,Pumas UNAM,1920,1,1,1.0,2.0
9445,Puebla FC,9456,Deportivo Toluca,1920,1,0,0.0,2.0
9450,Atlas Guadalajara,9456,Deportivo Toluca,1920,2,0,0.0,3.0
9448,Club Tijuana,9453,UANL Tigres,1920,1,1,1.0,2.0
9445,Puebla FC,9448,Club Tijuana,1920,2,0,0.0,2.5
9454,Club Necaxa,9462,CF Monterrey,1920,1,0,0.0,2.0
9459,Pumas UNAM,9464,CD Veracruz,1920,1,0,0.0,2.0
9447,Gallos Blancos,9449,FC Juárez,1920,1,0,0.0,2.0
9447,Gallos Blancos,9456,Deportivo Toluca,1920,2,1,0.5,2.0
9450,Atlas Guadalajara,9461,CF Pachuca,1920,2,0,0.0,3.0
9457,Cruz Azul,9461,CF Pachuca,1920,1,0,0.0,4.0
9451,Atlético San Luis,9453,UANL Tigres,1920,1,1,1.0,2.0
9459,Pumas UNAM,9462,CF Monterrey,1920,2,0,0.0,1.5
9449,FC Juárez,9451,Atlético San Luis,1920,1,0,0.0,3.0
9449,FC Juárez,9460,Club León,1920,2,0,0.0,4.5
9450,Atlas Guadalajara,9460,Club León,1920,1,1,1.0,2.0
9450,Atlas Guadalajara,9453,UANL Tigres,1920,2,1,0.5,2.5
9453,UANL Tigres,9455,Deportivo Guadalajara,1920,2,0,0.0,2.5
9457,Cruz Azul,9463,Monarcas Morelia,1920,1,0,0.0,6.0
9449,FC Juárez,9463,Monarcas Morelia,1920,1,0,0.0,3.0
9449,FC Juárez,9457,Cruz Azul,1920,1,0,0.0,2.0
9445,Puebla FC,9454,Club Necaxa,1920,1,0,0.0,2.0
9462,CF Monterrey,9463,Monarcas Morelia,1920,1,0,0.0,1.0
9451,Atlético San Luis,9462,CF Monterrey,1920,2,1,0.5,2.5
9459,Pumas UNAM,9463,Monarcas Morelia,1920,2,0,0.0,2.5
9447,Gallos Blancos,9463,Monarcas Morelia,1920,1,0,0.0,4.0
9451,Atlético San Luis,9464,CD Veracruz,1920,1,0,0.0,3.0
9454,Club Necaxa,9457,Cruz Azul,1920,1,1,1.0,
9448,Club Tijuana,9461,CF Pachuca,1920,2,0,0.0,5.0
9445,Puebla FC,9457,Cruz Azul,1920,1,1,1.0,2.0
9460,Club León,9462,CF Monterrey,1920,2,0,0.0,4.5
9452,CF América,9463,Monarcas Morelia,1920,1,0,0.0,1.0
9455,Deportivo Guadalajara,9457,Cruz Azul,1920,2,1,0.5,2.5
9446,Santos Laguna,9449,FC Juárez,1920,2,0,0.0,3.0
9449,FC Juárez,9453,UANL Tigres,1920,1,0,0.0,5.0
9451,Atlético San Luis,9461,CF Pachuca,1920,1,0,0.0,2.0
9451,Atlético San Luis,9463,Monarcas Morelia,1920,1,1,1.0,2.0
9452,CF América,9453,UANL Tigres,1920,1,1,1.0,2.0
9446,Santos Laguna,9454,Club Necaxa,1920,2,0,0.0,3.0
9452,CF América,9454,Club Necaxa,1920,1,0,0.0,3.0
9451,Atlético San Luis,9459,Pumas UNAM,1920,2,0,0.0,3.0
9445,Puebla FC,9462,CF Monterrey,1920,1,0,0.0,5.0
9456,Deportivo Toluca,9457,Cruz Azul,1920,2,2,1.0,4.0
9447,Gallos Blancos,9461,CF Pachuca,1920,2,1,0.5,2.5
9448,Club Tijuana,9455,Deportivo Guadalajara,1920,1,0,0.0,1.0
9449,FC Juárez,9450,Atlas Guadalajara,1920,1,0,0.0,1.0
9447,Gallos Blancos,9462,CF Monterrey,1920,1,0,0.0,3.0
9448,Club Tijuana,9452,CF América,1920,2,1,0.5,2.0
9450,Atlas Guadalajara,9455,Deportivo Guadalajara,1920,2,0,0.0,2.0
9456,Deportivo Toluca,9463,Monarcas Morelia,1920,1,0,0.0,2.0
9453,UANL Tigres,9459,Pumas UNAM,1920,2,0,0.0,2.0
9457,Cruz Azul,9462,CF Monterrey,1920,1,1,1.0,2.0
9448,Club Tijuana,9450,Atlas Guadalajara,1920,1,0,0.0,3.0
9446,Santos Laguna,9460,Club León,1920,2,1,0.5,4.5
9453,UANL Tigres,9461,CF Pachuca,1920,1,0,0.0,2.0
9451,Atlético San Luis,9455,Deportivo Guadalajara,1920,2,1,0.5,3.5
9453,UANL Tigres,9454,Club Necaxa,1920,1,0,0.0,4.0
9461,CF Pachuca,9464,CD Veracruz,1920,1,1,1.0,6.0
9454,Club Necaxa,9456,Deportivo Toluca,1920,2,1,0.5,3.5
9456,Deportivo Toluca,9459,Pumas UNAM,1920,2,0,0.0,4.0
9451,Atlético San Luis,9454,Club Necaxa,1920,1,1,1.0,2.0
9454,Club Necaxa,9464,CD Veracruz,1920,1,0,0.0,7.0
9447,Gallos Blancos,9460,Club León,1920,1,0,0.0,4.0
9449,FC Juárez,9454,Club Necaxa,1920,1,0,0.0,3.0
9446,Santos Laguna,9453,UANL Tigres,1920,1,0,0.0,3.0
9449,FC Juárez,9456,Deportivo Toluca,1920,1,0,0.0,2.0
9446,Santos Laguna,9462,CF Monterrey,1920,1,0,0.0,3.0
9445,Puebla FC,9451,Atlético San Luis,1920,2,0,0.0,2.5
9449,FC Juárez,9452,CF América,1920,2,1,0.5,3.0
9452,CF América,9462,CF Monterrey,1920,2,0,0.0,3.5
9455,Deportivo Guadalajara,9456,Deportivo Toluca,1920,1,1,1.0,4.0
9447,Gallos Blancos,9464,CD Veracruz,1920,1,0,0.0,5.0
9463,Monarcas Morelia,9464,CD Veracruz,1920,1,0,0.0,1.0
9455,Deportivo Guadalajara,9463,Monarcas Morelia,1920,1,0,0.0,1.0
9450,Atlas Guadalajara,9464,CD Veracruz,1920,1,0,0.0,3.0
9452,CF América,9457,Cruz Azul,1920,1,0,0.0,1.0
9452,CF América,9461,CF Pachuca,1920,1,1,1.0,2.0
9455,Deportivo Guadalajara,9460,Club León,1920,2,0,0.0,4.5
9448,Club Tijuana,9459,Pumas UNAM,1920,1,0,0.0,1.0
9447,Gallos Blancos,9457,Cruz Azul,1920,1,0,0.0,3.0
