home_team_id,home_team_name,away_team_id,away_team_name,season,matches_played,draw_count,draw_rate,avg_goals
8704,Villarreal,8715,Sevilla,2425,2,0,0.0,4.5
8707,Barcelona,8719,Betis,2425,2,2,1.0,3.0
8710,Valencia,8712,Celta,2425,2,0,0.0,3.5
8716,Espanol,8719,Betis,2425,2,0,0.0,2.0
8704,Villarreal,8708,Alaves,2425,2,0,0.0,2.0
8708,Alaves,8716,Espanol,2425,2,0,0.0,3.0
8719,Betis,9875,CD Leganes,2425,1,0,0.0,5.0
8706,Mallorca,8712,Celta,2425,2,0,0.0,2.5
8708,Alaves,8719,Betis,2425,2,1,0.5,2.0
8702,Girona,9875,CD Leganes,2425,2,1,0.5,4.5
8711,Sociedad,8721,Las Palmas,2425,2,1,0.5,2.0
8717,Ath Madrid,8722,Valladolid,2425,4,0,0.0,4.25
8711,Sociedad,8719,Betis,2425,2,0,0.0,2.5
8711,Sociedad,8716,Espanol,2425,2,0,0.0,2.0
8721,Las Palmas,9875,CD Leganes,2425,1,0,0.0,3.0
8719,Betis,8720,Osasuna,2425,2,1,0.5,2.5
8702,Girona,8716,Espanol,2425,2,1,0.5,3.5
8720,Osasuna,8722,Valladolid,2425,2,0,0.0,3.0
8717,Ath Madrid,8720,Osasuna,2425,4,1,0.25,2.25
8707,Barcelona,8710,Valencia,2425,2,0,0.0,5.5
8713,Getafe,9875,CD Leganes,2425,1,1,1.0,2.0
8704,Villarreal,8717,Ath Madrid,2425,4,2,0.5,2.75
8702,Girona,8703,Vallecano,2425,2,1,0.5,1.5
8703,Vallecano,8715,Sevilla,2425,2,1,0.5,1.5
8717,Ath Madrid,8721,Las Palmas,2425,4,1,0.25,2.5
8702,Girona,8710,Valencia,2425,2,1,0.5,2.0
8709,Levante,8715,Sevilla,2425,2,1,0.5,2.5
8714,Ath Bilbao,8722,Valladolid,2425,2,1,0.5,5.0
8710,Valencia,8720,Osasuna,2425,2,2,1.0,3.0
8706,Mallorca,8716,Espanol,2425,2,0,0.0,3.0
8715,Sevilla,8722,Valladolid,2425,2,0,0.0,3.5
8702,Girona,8714,Ath Bilbao,2425,2,0,0.0,3.0
8711,Sociedad,8717,Ath Madrid,2425,4,1,0.25,2.5
8703,Vallecano,8709,Levante,2425,2,1,0.5,1.5
8711,Sociedad,8715,Sevilla,2425,2,0,0.0,1.5
8703,Vallecano,8713,Getafe,2425,2,1,0.5,0.5
8717,Ath Madrid,9875,CD Leganes,2425,2,0,0.0,4.5
8712,Celta,8713,Getafe,2425,2,0,0.0,2.0
8712,Celta,8715,Sevilla,2425,2,0,0.0,3.0
8704,Villarreal,8709,Levante,2425,2,0,0.0,5.0
8710,Valencia,8717,Ath Madrid,2425,4,0,0.0,3.0
8704,Villarreal,8710,Valencia,2425,2,2,1.0,2.0
8715,Sevilla,8717,Ath Madrid,2425,4,0,0.0,4.5
8712,Celta,8717,Ath Madrid,2425,4,1,0.25,2.75
8702,Girona,8721,Las Palmas,2425,2,0,0.0,2.0
8712,Celta,9875,CD Leganes,2425,1,0,0.0,3.0
8704,Villarreal,8712,Celta,2425,2,0,0.0,5.0
8702,Girona,8706,Mallorca,2425,2,0,0.0,2.0
8708,Alaves,8712,Celta,2425,2,1,0.5,2.5
8703,Vallecano,8714,Ath Bilbao,2425,2,0,0.0,3.5
