Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,TotalGoals,GoalDifference,Overround,prob_home_market,prob_draw_market,prob_away_market,Year,Month,DayOfWeek,is_extreme_favorite_home,is_extreme_favorite_away,is_mismatch,is_high_scoring_match,is_very_high_scoring,draw_prob_category,has_extreme_draw_odds,has_extreme_home_odds,has_extreme_away_odds,home_team_strength_category,away_team_strength_category
B1,2021-07-23,19:45,Standard,Genk,1,1,D,0.0,0.0,D,17.0,17.0,5.0,5.0,11.0,8.0,7.0,3.0,1.0,2.0,0.0,0.0,2.75,3.5,2.37,2.8,3.6,2.4,2.65,3.5,2.4,2.76,3.74,2.48,2.75,3.4,2.37,2.7,3.6,2.45,2.82,3.78,2.5,2.73,3.59,2.42,1.57,2.35,1.59,2.44,1.65,2.44,1.59,2.33,0.0,2.02,1.83,2.06,1.84,2.1,1.88,2.03,1.82,3.4,3.5,2.0,3.6,3.5,2.05,3.05,3.75,2.05,3.29,3.91,2.11,3.2,3.6,2.05,3.13,3.75,2.1,3.6,3.96,2.18,3.2,3.75,2.08,1.53,2.4,1.56,2.52,1.59,2.56,1.54,2.42,0.25,2.1,1.77,2.05,1.85,2.11,1.9,2.01,1.82,2,0,0.05807503882966025,0.346195073938737,0.26326254926260506,0.39054237679865794,2021.0,7.0,4.0,0,0,0,0,0,medium,0,0,0,medium,strong
B1,2021-07-24,15:15,Oud-Heverlee Leuven,Waregem,1,1,D,1.0,1.0,D,13.0,10.0,4.0,4.0,12.0,17.0,0.0,4.0,5.0,6.0,0.0,1.0,1.95,3.75,3.5,2.05,3.7,3.4,2.05,3.6,3.25,2.06,3.77,3.46,2.05,3.5,3.3,2.05,3.6,3.4,2.1,3.9,3.54,2.03,3.68,3.36,1.65,2.2,1.68,2.24,1.74,2.26,1.66,2.19,-0.5,2.02,1.83,2.06,1.83,2.08,1.87,2.02,1.82,1.95,3.6,3.6,2.0,4.0,3.3,1.97,3.85,3.2,1.97,4.11,3.52,2.15,3.5,3.0,1.95,4.0,3.4,2.04,4.11,3.6,1.97,3.95,3.35,1.4,2.87,1.44,2.85,1.51,2.96,1.42,2.78,-0.5,1.93,1.93,1.97,1.92,1.99,1.95,1.95,1.88,2,0,0.061969015492253865,0.46386554621848747,0.25588235294117645,0.28025210084033614,2021.0,7.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
B1,2021-07-24,17:30,Kortrijk,Seraing,2,0,H,1.0,0.0,H,9.0,9.0,4.0,4.0,16.0,15.0,2.0,1.0,4.0,2.0,0.0,0.0,1.75,3.8,4.5,1.83,3.8,4.1,1.77,3.7,4.1,1.8,3.8,4.5,1.78,3.5,4.33,1.75,3.75,4.33,1.83,3.88,4.53,1.78,3.75,4.26,1.8,2.05,1.83,2.04,1.85,2.07,1.8,2.0,-0.75,2.02,1.83,2.05,1.83,2.08,1.88,2.01,1.83,1.8,3.8,4.33,1.75,3.8,4.6,1.8,3.6,4.1,1.78,3.88,4.6,1.78,3.5,4.33,1.75,3.75,4.5,1.83,3.9,4.63,1.78,3.73,4.34,1.8,2.0,1.83,2.05,1.93,2.06,1.82,1.98,-0.75,2.0,1.85,2.03,1.87,2.08,1.9,2.01,1.83,2,2,0.06320620351321415,0.5283996189568945,0.2508136857982059,0.22078669524489958,2021.0,7.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
B1,2021-07-24,19:45,Oostende,Charleroi,0,3,A,0.0,1.0,A,11.0,10.0,3.0,6.0,13.0,9.0,9.0,2.0,3.0,1.0,0.0,0.0,2.3,3.5,2.9,2.35,3.4,3.0,2.25,3.45,2.9,2.29,3.52,3.14,2.3,3.25,3.0,2.3,3.4,3.0,2.42,3.59,3.14,2.28,3.45,2.98,1.83,2.02,1.8,2.05,1.88,2.06,1.8,2.0,-0.25,1.98,1.88,1.98,1.89,2.06,1.91,1.98,1.86,2.2,3.5,3.1,2.3,3.4,3.1,2.2,3.35,3.0,2.25,3.53,3.27,2.3,3.3,2.9,2.25,3.4,3.1,2.38,3.55,3.27,2.25,3.41,3.1,1.88,1.98,1.89,1.98,1.93,2.06,1.86,1.94,-0.25,1.93,1.93,1.94,1.94,2.06,1.98,1.95,1.88,3,-3,0.06402203349049596,0.41220621135942653,0.2724145396810123,0.31537924895956126,2021.0,7.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
B1,2021-07-25,12:30,Mechelen,Antwerp,3,2,H,0.0,1.0,A,18.0,10.0,9.0,5.0,12.0,10.0,13.0,2.0,2.0,2.0,0.0,0.0,2.7,3.5,2.45,2.75,3.6,2.45,2.65,3.4,2.4,2.85,3.5,2.49,2.75,3.3,2.4,2.75,3.4,2.5,2.86,3.64,2.5,2.74,3.46,2.44,1.72,2.07,1.76,2.1,1.79,2.18,1.72,2.1,0.0,2.02,1.83,2.08,1.81,2.08,1.89,2.03,1.82,2.05,3.5,3.6,2.05,3.75,3.4,2.0,3.6,3.25,2.16,3.8,3.26,2.6,3.3,2.55,2.0,3.7,3.4,2.17,3.87,3.6,2.08,3.67,3.27,1.65,2.2,1.69,2.23,1.69,2.34,1.64,2.23,-0.5,2.08,1.73,2.15,1.76,2.15,1.83,2.06,1.78,5,1,0.06381691026386793,0.343069846068822,0.27167958908340245,0.3852505648477756,2021.0,7.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
B1,2021-07-25,15:00,Club Brugge,Eupen,2,2,D,0.0,0.0,D,21.0,13.0,11.0,5.0,9.0,14.0,10.0,3.0,3.0,6.0,0.0,0.0,1.18,6.5,15.0,1.2,6.75,15.0,1.22,6.75,12.0,1.19,7.06,14.84,1.18,6.0,15.0,1.2,6.5,15.0,1.22,7.5,15.0,1.19,6.77,13.41,1.47,2.6,1.48,2.66,1.52,2.7,1.48,2.6,-2.0,2.02,1.83,2.03,1.83,2.09,1.87,2.02,1.82,1.22,6.5,13.0,1.2,7.0,14.0,1.22,7.0,11.0,1.22,6.83,12.95,1.18,6.0,15.0,1.22,6.5,12.0,1.25,7.0,14.0,1.21,6.61,11.89,1.4,2.87,1.39,3.07,1.48,3.1,1.41,2.86,-1.75,1.83,2.02,1.84,2.04,1.89,2.07,1.83,2.01,4,0,0.06261783740920301,0.7908168909554799,0.13900621864653193,0.07017689039798813,2021.0,7.0,6.0,0,0,0,0,0,low,0,0,0,strong,medium
B1,2021-07-25,17:30,Anderlecht,St. Gilloise,1,3,A,1.0,1.0,D,9.0,8.0,2.0,5.0,11.0,7.0,4.0,2.0,3.0,3.0,0.0,0.0,1.5,4.33,5.5,1.57,4.2,5.75,1.6,4.1,5.25,1.57,4.31,5.65,1.57,3.9,5.25,1.57,4.1,5.5,1.64,4.55,6.63,1.56,4.18,5.46,1.75,2.05,1.81,2.04,1.83,2.2,1.77,2.03,-1.0,2.0,1.85,2.04,1.83,2.13,2.09,1.99,1.85,2.0,3.4,3.5,2.05,3.4,3.7,2.1,3.25,3.45,2.08,3.33,3.95,1.61,3.75,5.25,2.05,3.4,3.6,2.11,4.3,5.65,2.04,3.33,3.73,1.95,1.85,1.98,1.88,2.06,2.04,1.94,1.86,-0.5,2.05,1.8,2.08,1.83,2.11,1.84,2.05,1.79,4,-2,0.0634102739365896,0.6028018129377833,0.22496909765142156,0.17222908941079523,2021.0,7.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
B1,2021-07-25,20:00,St Truiden,Gent,2,1,H,1.0,1.0,D,6.0,12.0,2.0,4.0,12.0,6.0,1.0,8.0,2.0,1.0,0.0,0.0,4.75,3.75,1.7,4.4,3.8,1.78,4.3,3.8,1.7,4.62,3.95,1.75,4.6,3.6,1.7,4.6,3.8,1.73,4.75,3.99,1.78,4.51,3.8,1.73,1.75,2.05,1.79,2.07,1.85,2.13,1.78,2.02,0.75,1.9,1.95,1.91,1.96,1.94,2.0,1.89,1.93,4.5,3.6,1.75,4.6,3.8,1.75,4.2,3.7,1.75,4.62,3.71,1.82,4.4,3.6,1.73,4.4,3.8,1.75,4.74,3.94,1.83,4.43,3.7,1.77,1.8,2.0,1.82,2.04,1.83,2.12,1.78,2.01,0.75,1.8,2.05,1.85,2.05,1.93,2.16,1.82,2.01,3,1,0.06292206683993995,0.20860371323494414,0.24757967018147314,0.5438166165835827,2021.0,7.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
B1,2021-07-27,17:30,Beerschot VA,Cercle Brugge,0,1,A,0.0,1.0,A,,,,,,,,,1.0,1.0,0.0,0.0,2.2,3.6,3.1,2.2,3.5,3.2,2.25,3.35,2.95,2.33,3.4,3.16,2.25,3.3,3.0,2.3,3.3,3.1,2.36,3.6,3.2,2.27,3.41,3.05,1.83,2.02,1.86,1.99,1.87,2.07,1.82,1.98,-0.25,1.98,1.88,2.01,1.87,2.03,1.92,1.97,1.86,2.37,3.6,2.75,2.4,3.3,3.0,2.35,3.2,2.9,2.44,3.36,3.07,2.37,3.2,2.87,2.4,3.3,2.9,2.51,3.6,3.14,2.4,3.26,2.95,2.07,1.72,2.12,1.76,2.16,1.9,2.06,1.75,-0.25,2.05,1.8,2.09,1.81,2.13,1.84,2.06,1.79,1,-1,0.06165261878505923,0.4149461194428818,0.2762251293652028,0.3088287511919154,2021.0,7.0,1.0,0,0,0,0,0,medium,0,0,0,medium,medium
B1,2021-07-30,19:45,Genk,Oostende,3,4,A,2.0,1.0,H,25.0,16.0,9.0,7.0,2.0,12.0,9.0,5.0,0.0,1.0,0.0,0.0,1.53,4.0,6.5,1.6,3.9,6.0,1.57,4.3,5.0,1.59,4.23,5.85,1.6,3.6,5.5,1.53,4.33,5.25,1.61,4.5,6.5,1.57,4.19,5.53,1.53,2.4,1.59,2.45,1.59,2.57,1.56,2.39,-1.0,1.93,1.93,1.96,1.93,2.02,1.98,1.95,1.89,1.45,4.5,6.5,1.48,4.6,6.25,1.45,4.8,6.0,1.52,4.5,6.44,1.6,3.6,5.5,1.44,4.75,6.0,1.54,4.9,6.59,1.47,4.57,6.07,1.44,2.7,1.49,2.68,1.51,2.81,1.45,2.69,-1.25,1.98,1.88,2.02,1.87,2.04,1.96,1.98,1.85,7,-1,0.05643798604755568,0.6029153472057787,0.22591338785514858,0.1711712649390728,2021.0,7.0,4.0,0,0,0,0,0,medium,0,0,0,strong,medium
