Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,season,league_id,home_team_id,away_team_id,TotalGoals,GoalDifference,Year,Month,DayOfWeek,is_high_scoring_match,is_very_high_scoring
2018-03-02,CHN1,Guizhou Hengfeng,Beijing Renhe FC,1,1,D,1819,45,9646,9644,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Henan Jianye,Tianjin Quanjian FC,0,4,A,1819,45,9638,9645,4,-4,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Hebei China Fortune,Beijing Guoan,2,1,H,1819,45,9636,9596,3,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Quanjian FC,Shanghai Port FC,3,2,H,1819,45,9645,9605,5,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shanghai Shenhua,Shandong Taishan,2,2,D,1819,45,9593,9601,4,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guizhou Hengfeng,Chongqing Lifan,1,0,H,1819,45,9646,9640,1,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Dalian Yingbo,Changchun Yatai,2,0,H,1819,45,9600,9594,2,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou Evergrande,Tianjin Teda,5,1,H,1819,45,9634,9641,6,4,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Jiāngsū Sūníng,Henan Jianye,4,0,H,1819,45,9639,9638,4,4,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Renhe FC,Guangzhou City,0,0,D,1819,45,9644,9622,0,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Guoan,Shanghai Shenhua,3,1,H,1819,45,9596,9593,4,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Changchun Yatai,Tianjin Quanjian FC,2,2,D,1819,45,9594,9645,4,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shandong Taishan,Jiāngsū Sūníng,3,2,H,1819,45,9601,9639,5,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou City,Hebei China Fortune,2,1,H,1819,45,9622,9636,3,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Henan Jianye,Guizhou Hengfeng,4,0,H,1819,45,9638,9646,4,4,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Chongqing Lifan,Guangzhou Evergrande,2,0,H,1819,45,9640,9634,2,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Teda,Dalian Yingbo,3,1,H,1819,45,9641,9600,4,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shanghai Port FC,Beijing Renhe FC,2,1,H,1819,45,9605,9644,3,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou Evergrande,Shanghai Port FC,4,5,A,1819,45,9634,9605,9,-1,2018.0,3.0,4.0,1,0
2018-03-02,CHN1,Chongqing Lifan,Tianjin Teda,1,1,D,1819,45,9640,9641,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Jiāngsū Sūníng,Hebei China Fortune,3,1,H,1819,45,9639,9636,4,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Dalian Yingbo,Beijing Renhe FC,1,2,A,1819,45,9600,9644,3,-1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Quanjian FC,Beijing Guoan,0,0,D,1819,45,9645,9596,0,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shandong Taishan,Changchun Yatai,2,0,H,1819,45,9601,9594,2,2,2018.0,3.0,4.0,0,0
