Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,season,league_id,home_team_id,away_team_id,prob_home_market,prob_draw_market,prob_away_market,TotalGoals,GoalDifference,Overround,Year,Month,DayOfWeek,is_extreme_favorite_home,is_extreme_favorite_away,is_mismatch,is_high_scoring_match,is_very_high_scoring,draw_prob_category,has_extreme_draw_odds,has_extreme_home_odds,has_extreme_away_odds,home_team_strength_category,away_team_strength_category
2016-01-10,SC3,Edinburgh City,Arbroath,3,3,D,2.22,3.46,2.92,1617,23,8898,8914,0.4135467861598356,0.2649329698716318,0.3145853592023516,6,0,0.0819335449155704,2016.0,1.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2016-01-10,SC3,Forfar,Montrose,1,3,A,2.22,3.46,2.92,1617,23,8900,8913,0.4135467861598356,0.2649329698716318,0.3145853592023516,4,-2,0.0819335449155704,2016.0,1.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2016-01-10,SC3,Elgin,Annan Athletic,0,2,A,2.22,3.46,2.92,1617,23,8893,8892,0.4135467861598356,0.2649329698716318,0.3145853592023516,2,-2,0.0819335449155704,2016.0,1.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2016-01-10,SC3,Cowdenbeath,Stirling,0,2,A,2.22,3.46,2.92,1617,23,8908,8899,0.4135467861598356,0.2649329698716318,0.3145853592023516,2,-2,0.0819335449155704,2016.0,1.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2016-01-10,SC3,Berwick,Clyde,1,1,D,2.22,3.46,2.92,1617,23,8912,8895,0.4135467861598356,0.2649329698716318,0.3145853592023516,2,0,0.0819335449155704,2016.0,1.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2016-03-12,SC3,Elgin,Montrose,4,1,H,2.22,3.46,2.92,1617,23,8893,8913,0.4135467861598356,0.2649329698716318,0.3145853592023516,5,3,0.0819335449155704,2016.0,3.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2016-03-12,SC3,Arbroath,Edinburgh City,0,1,A,2.22,3.46,2.92,1617,23,8914,8898,0.4135467861598356,0.2649329698716318,0.3145853592023516,1,-1,0.0819335449155704,2016.0,3.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2016-03-12,SC3,Cowdenbeath,Clyde,1,0,H,2.22,3.46,2.92,1617,23,8908,8895,0.4135467861598356,0.2649329698716318,0.3145853592023516,1,1,0.0819335449155704,2016.0,3.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2016-05-11,SC3,Stirling,Forfar,0,3,A,2.22,3.46,2.92,1617,23,8899,8900,0.4135467861598356,0.2649329698716318,0.3145853592023516,3,-3,0.0819335449155704,2016.0,5.0,2.0,0,0,0,0,0,medium,0,0,0,medium,strong
2016-05-11,SC3,Annan Athletic,Arbroath,1,2,A,2.22,3.46,2.92,1617,23,8892,8914,0.4135467861598356,0.2649329698716318,0.3145853592023516,3,-1,0.0819335449155704,2016.0,5.0,2.0,0,0,0,0,0,medium,0,0,0,medium,strong
