Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,season,league_id,home_team_id,away_team_id,prob_home_market,prob_draw_market,prob_away_market,TotalGoals,GoalDifference,Overround,Year,Month,DayOfWeek,is_extreme_favorite_home,is_extreme_favorite_away,is_mismatch,is_high_scoring_match,is_very_high_scoring,draw_prob_category,has_extreme_draw_odds,has_extreme_home_odds,has_extreme_away_odds,home_team_strength_category,away_team_strength_category
2019-08-24,I1,Parma,Juventus,0,1,A,10.41,5.13,1.31,1920,4,325,319,0.0911094932667396,0.1848830068044365,0.7240074999288238,1,-1,0.0543520318518784,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,weak,strong
2019-08-24,I1,Fiorentina,Napoli,3,4,A,4.73,3.67,1.76,1920,4,315,324,0.2009513705896444,0.2589918209506862,0.5400568084596695,7,-1,0.0520778727007735,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-25,I1,Cagliari,Brescia,0,1,A,1.82,3.6,4.45,1920,4,310,309,0.5223174986143263,0.2640605131883539,0.2136219881973199,1,-1,0.0519474283519225,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-25,I1,Udinese,Milan,1,0,H,3.8,3.31,2.06,1920,4,334,322,0.2504573069944095,0.2875340684527964,0.4620086245527942,1,1,0.0507095915661031,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-25,I1,Sampdoria,Lazio,0,3,A,3.53,3.35,2.13,1920,4,329,320,0.2694685402890494,0.2839474469314461,0.4465840127795045,3,-3,0.0512771497418544,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-25,I1,Spal,Atalanta,2,3,A,4.89,3.61,1.76,1920,4,331,306,0.194818614719942,0.2638955750638551,0.5412858102162027,5,-1,0.0496891059362383,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-25,I1,Verona,Bologna,1,1,D,3.39,3.18,2.27,1920,4,336,308,0.2809438742746389,0.2994967716323981,0.4195593540929629,2,0,0.049979293903728,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-25,I1,Torino,Sassuolo,2,1,H,1.89,3.46,4.32,1920,4,333,330,0.5040976142779093,0.2753596794755054,0.2205427062465852,3,1,0.049599351622473,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-25,I1,Roma,Genoa,3,3,D,1.49,4.21,7.13,1920,4,327,317,0.6398380863667272,0.2264510091891742,0.1337109044440986,6,0,0.0489230852266691,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-26,I1,Inter,Lecce,4,0,H,1.23,6.1,13.23,1920,4,318,321,0.772433476998705,0.1557529797882635,0.0718135432130315,4,4,0.0525283461823131,2019.0,8.0,0.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-30,I1,Bologna,Spal,1,0,H,1.84,3.5,4.65,1920,4,308,331,0.5204502574270091,0.2736081353330562,0.2059416072399347,1,1,0.044246310024711,2019.0,8.0,4.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-31,I1,Milan,Brescia,1,0,H,1.48,4.18,7.48,1920,4,322,309,0.6443598113891912,0.2281465360899529,0.1274936525208559,1,1,0.0485999650086337,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-31,I1,Juventus,Napoli,4,3,H,1.98,3.35,4.13,1920,4,319,324,0.4829836032381597,0.2854649356452406,0.2315514611165995,7,1,0.045688718342399,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-09-01,I1,Sassuolo,Sampdoria,4,1,H,2.27,3.49,3.12,1920,4,330,329,0.4205225249580011,0.2735203815629405,0.3059570934790584,5,3,0.0475744061634522,2019.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-09-01,I1,Lazio,Roma,1,1,D,2.14,3.63,3.29,1920,4,320,327,0.4464310412500234,0.2631852419490496,0.290383716800927,2,0,0.0467231810712349,2019.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-09-01,I1,Atalanta,Torino,2,3,A,1.61,4.08,5.54,1920,4,306,333,0.5933937844237807,0.2341578414025213,0.172448374173698,5,-1,0.0467214668005013,2019.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-09-01,I1,Cagliari,Inter,1,2,A,5.43,3.9,1.65,1920,4,310,318,0.1759566875845945,0.2449858496370124,0.579057462778393,3,-1,0.0466329250859638,2019.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-09-01,I1,Genoa,Fiorentina,2,1,H,2.56,3.47,2.71,1920,4,317,315,0.3728002537215802,0.2750341929473329,0.3521655533310868,3,1,0.0478131280772462,2019.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-09-01,I1,Lecce,Verona,0,1,A,1.92,3.59,4.05,1920,4,321,336,0.4977865880588736,0.2662256961206232,0.235987715820503,1,-1,0.0462984456136732,2019.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-09-01,I1,Udinese,Parma,1,3,A,2.03,3.32,3.95,1920,4,334,325,0.4705063486425494,0.2876891228145709,0.2418045285428797,4,-2,0.0469802136775574,2019.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-09-14,I1,Napoli,Sampdoria,2,0,H,1.27,6.19,9.85,1920,4,324,329,0.749566953479309,0.1537883733309729,0.096644673189718,2,2,0.0504753059726303,2019.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-09-14,I1,Fiorentina,Juventus,0,0,D,5.0,3.88,1.7,1920,4,315,319,0.1912105751391465,0.2464053803339517,0.5623840445269016,0,0,0.0459672528805337,2019.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-09-14,I1,Inter,Udinese,1,0,H,1.33,5.29,9.27,1920,4,318,334,0.7169017193665199,0.1802418311450797,0.1028564494884003,1,1,0.0487904812287354,2019.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-09-15,I1,Parma,Cagliari,1,3,A,2.28,3.25,3.3,1920,4,325,310,0.4179819946217701,0.2932304454577341,0.2887875599204957,4,-2,0.0493191019506809,2019.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-09-15,I1,Genoa,Atalanta,1,2,A,3.34,3.75,2.08,1920,4,317,306,0.2860055294402359,0.25473559155477,0.459258879004994,3,-1,0.0468370950406877,2019.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-09-15,I1,Brescia,Bologna,3,4,A,3.04,3.29,2.41,1920,4,309,308,0.3139300547573139,0.2900751873745393,0.395994757868147,7,-1,0.047836495538307,2019.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-09-15,I1,Spal,Lazio,2,1,H,5.55,4.07,1.61,1920,4,331,320,0.1720921193275678,0.2346710718103197,0.5932368088621126,3,1,0.0469984383027859,2019.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-09-15,I1,Roma,Sassuolo,4,2,H,1.69,4.13,4.73,1920,4,327,330,0.5660927950666942,0.2316457200151847,0.2022614849181211,6,2,0.0452632174229457,2019.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-09-15,I1,Verona,Milan,0,1,A,5.62,3.72,1.67,1920,4,336,322,0.170183157006591,0.2571046619293122,0.5727121810640967,1,-1,0.0455555425711544,2019.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
