Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,season,league_id,home_team_id,away_team_id,TotalGoals,GoalDifference,Year,Month,DayOfWeek,is_high_scoring_match,is_very_high_scoring
2019-07-19,MEX1,Deportivo Guadalajara,Atlas Guadalajara,1,0,H,1920,43,625,632,1,1,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,Deportivo Toluca,Monarcas Morelia,0,2,A,1920,43,636,638,2,-2,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,Santos Laguna,CF Pachuca,2,2,D,1920,43,635,628,4,0,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,Monarcas Morelia,Deportivo Guadalajara,1,0,H,1920,43,638,625,1,1,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,Atlas Guadalajara,Deportivo Toluca,0,1,A,1920,43,632,636,1,-1,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,Atlético San Luis,Santos Laguna,2,3,A,1920,43,623,635,5,-1,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,Club Necaxa,Club León,2,4,A,1920,43,633,634,6,-2,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,CF Monterrey,Puebla FC,3,2,H,1920,43,637,620,5,1,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,CF Pachuca,Club Tijuana,4,1,H,1920,43,628,631,5,3,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,CF América,Gallos Blancos,2,2,D,1920,43,629,621,4,0,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,Pumas UNAM,Cruz Azul,1,1,D,1920,43,627,626,2,0,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,FC Juárez,CD Veracruz,2,0,H,1920,43,622,639,2,2,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,Gallos Blancos,Club Necaxa,1,2,A,1920,43,621,633,3,-1,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,UANL Tigres,Puebla FC,0,1,A,1920,43,624,620,1,-1,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,Deportivo Guadalajara,CF Pachuca,2,4,A,1920,43,625,628,6,-2,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,Club León,Atlas Guadalajara,1,1,D,1920,43,634,632,2,0,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,FC Juárez,CF América,1,1,D,1920,43,622,629,2,0,2019.0,7.0,4.0,0,0
2019-07-19,MEX1,Santos Laguna,CD Veracruz,5,0,H,1920,43,635,639,5,5,2019.0,7.0,4.0,0,0
