Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,season,league_id,home_team_id,away_team_id,prob_home_market,prob_draw_market,prob_away_market,TotalGoals,GoalDifference,Overround,Year,Month,DayOfWeek,is_extreme_favorite_home,is_extreme_favorite_away,is_mismatch,is_high_scoring_match,is_very_high_scoring,draw_prob_category,has_extreme_draw_odds,has_extreme_home_odds,has_extreme_away_odds,home_team_strength_category,away_team_strength_category
2019-08-09,PL1,Portimonense,Belenenses,0,0,D,1.98,3.38,3.78,1920,38,707,693,0.4740216375050086,0.2776813142780819,0.2482970482169093,0,0,0.0654587577664502,2019.0,8.0,4.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-10,PL1,Santa Clara,Famalicao,0,2,A,2.04,3.18,3.77,1920,38,710,699,0.4581642246222284,0.2939166723991653,0.2479191029786063,2,-2,0.0699134766263243,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-08-10,PL1,Gil Vicente,Porto,2,1,H,9.88,5.21,1.29,1920,38,701,708,0.0947394239430286,0.179659406632845,0.7256011694241262,3,1,0.0683469530029083,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-10,PL1,Benfica,Pacos Ferreira,5,0,H,1.12,8.26,18.66,1920,38,694,706,0.8363898807262782,0.113408797386614,0.0502013218871078,5,5,0.0675130862198276,2019.0,8.0,5.0,0,0,0,0,0,low,0,0,0,strong,medium
2019-08-11,PL1,Maritimo,Sp Lisbon,1,1,D,5.07,3.68,1.67,1920,38,703,713,0.1847184108253356,0.2544897670881662,0.5607918220864981,2,0,0.0677801844214838,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-11,PL1,Boavista,AVS,2,1,H,2.26,3.04,3.37,1920,38,695,690,0.4142426227387046,0.3079566866412738,0.2778006906200215,3,1,0.0681611495717577,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-08-11,PL1,Sp Braga,Moreirense,3,1,H,1.43,4.3,7.43,1920,38,712,704,0.6557286204228402,0.2180678900475956,0.1262034895295641,4,2,0.0664483408544256,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-12,PL1,Setubal,Tondela,0,0,D,2.15,3.15,3.46,1920,38,711,714,0.4340415364090719,0.296250572469684,0.2697078911212441,0,0,0.0715939375705472,2019.0,8.0,0.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-08-16,PL1,Famalicao,Rio Ave,1,0,H,2.78,3.43,2.43,1920,38,699,709,0.338463475149945,0.2743231664480603,0.3872133584019946,1,1,0.0627800534650564,2019.0,8.0,4.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-17,PL1,Belenenses,Benfica,0,2,A,14.32,6.88,1.18,1920,38,693,694,0.0657160249187292,0.1367810286099131,0.7975029464713578,2,-2,0.0626388665625832,2019.0,8.0,5.0,0,0,0,0,0,low,0,0,0,weak,strong
2019-08-17,PL1,Moreirense,Gil Vicente,3,0,H,2.24,3.18,3.28,1920,38,704,701,0.4188781083338688,0.2950587932917818,0.2860630983743494,3,3,0.0657720290140906,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-08-17,PL1,Porto,Setubal,4,0,H,1.16,6.97,16.64,1920,38,708,711,0.80897045653017,0.1346349683751789,0.0563945750946512,4,4,0.0656371423189188,2019.0,8.0,5.0,0,0,0,0,0,low,0,0,0,strong,medium
2019-08-18,PL1,Sp Lisbon,Sp Braga,2,1,H,1.97,3.4,3.78,1920,38,713,712,0.4760599482897845,0.2758347347443752,0.2481053169658401,3,1,0.0662821248070577,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-18,PL1,AVS,Maritimo,3,1,H,2.27,3.16,3.25,1920,38,690,703,0.4137675408026365,0.2972317460829066,0.2890007131144569,4,2,0.0646766382560728,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-08-18,PL1,Pacos Ferreira,Santa Clara,0,1,A,2.36,3.21,3.03,1920,38,706,710,0.3977597565912967,0.2924339643474953,0.3098062790612079,1,-1,0.0652882966104309,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-08-18,PL1,Guimaraes,Boavista,1,1,D,1.63,3.72,5.42,1920,38,702,695,0.5750728738241787,0.2519808560036052,0.1729462701722161,2,0,0.0668159818348628,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-19,PL1,Tondela,Portimonense,1,2,A,2.71,3.27,2.55,1920,38,714,707,0.345842302380271,0.2866154860704998,0.3675422115492293,3,-1,0.0669709503355151,2019.0,8.0,0.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-23,PL1,Setubal,Moreirense,0,0,D,2.57,3.02,2.89,1920,38,711,704,0.3649279785921853,0.3105512930403696,0.324520728367445,0,0,0.066251647426003,2019.0,8.0,4.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-23,PL1,Rio Ave,AVS,5,1,H,1.8,3.61,4.34,1920,38,709,690,0.5226403890931168,0.2605963158913048,0.2167632950155784,6,4,0.0629786123486417,2019.0,8.0,4.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-24,PL1,Benfica,Porto,0,2,A,1.9,3.43,4.03,1920,38,694,708,0.4937296629269669,0.2734945654697484,0.2327757716032846,2,-2,0.0659999367944343,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-24,PL1,Boavista,Pacos Ferreira,1,1,D,2.14,3.13,3.58,1920,38,695,706,0.4383136187257478,0.2996776818124921,0.2620086994617599,2,0,0.0661081464560895,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-08-25,PL1,Gil Vicente,Sp Braga,1,1,D,4.85,3.55,1.73,1920,38,701,712,0.1934361171042063,0.264271878297296,0.5422920045984976,2,0,0.0659103899363047,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-25,PL1,Maritimo,Tondela,2,3,A,2.02,3.16,3.94,1920,38,703,714,0.4646989444767919,0.2970543885579492,0.2382466669652587,5,-1,0.0653123077520114,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-08-25,PL1,Santa Clara,Belenenses,0,0,D,2.11,3.2,3.58,1920,38,710,693,0.4446894238756608,0.2932170888680138,0.2620934872563252,0,0,0.065763258227647,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-08-25,PL1,Portimonense,Sp Lisbon,1,3,A,4.15,3.54,1.85,1920,38,707,713,0.2264718596005878,0.2654966715656609,0.5080314688337512,4,-2,0.0639902716684419,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-25,PL1,Guimaraes,Famalicao,1,1,D,1.73,3.54,4.9,1920,38,702,699,0.5429583813291932,0.2653440677117243,0.1916975509590824,2,0,0.0646021904402007,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-30,PL1,Moreirense,Portimonense,1,0,H,2.3,3.27,3.12,1920,38,704,707,0.4097448131280272,0.2881997156557989,0.3020554712161739,1,1,0.0611058267619895,2019.0,8.0,4.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-08-30,PL1,Belenenses,Boavista,0,1,A,2.43,3.04,3.09,1920,38,693,695,0.3867350089544864,0.3091335762366454,0.3041314148088681,1,-1,0.0640945976351643,2019.0,8.0,4.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-08-31,PL1,Sp Lisbon,Rio Ave,2,3,A,1.37,4.92,7.54,1920,38,713,709,0.6848597854782432,0.1907028264441449,0.1244373880776118,5,-1,0.0658050345145555,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-31,PL1,AVS,Famalicao,2,3,A,2.41,3.26,2.9,1920,38,690,699,0.3890599022206126,0.2876179031753609,0.3233221946040264,5,-1,0.0665138118006649,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-31,PL1,Pacos Ferreira,Maritimo,0,1,A,2.04,3.24,3.74,1920,38,706,703,0.4597523219814242,0.2894736842105263,0.2507739938080495,1,-1,0.0662177328843993,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-08-31,PL1,Gil Vicente,Setubal,0,0,D,2.21,3.12,3.42,1920,38,701,711,0.4247128221049364,0.3008382489909966,0.2744489289040671,0,0,0.0653991691143391,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-09-01,PL1,Porto,Guimaraes,3,0,H,1.18,6.78,14.55,1920,38,708,702,0.7967232656858755,0.1386627512550638,0.0646139830590606,3,3,0.0636787748241454,2019.0,9.0,6.0,0,0,0,0,0,low,0,0,0,strong,medium
2019-09-01,PL1,Tondela,Santa Clara,0,0,D,2.31,3.2,3.14,1920,38,714,710,0.4069103485141779,0.2937384078336721,0.29935124365215,0,0,0.0638717704800506,2019.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-09-01,PL1,Sp Braga,Benfica,0,4,A,5.02,3.94,1.64,1920,38,712,694,0.1874383579128134,0.2388174001833308,0.5737442419038558,4,-4,0.0627663914109564,2019.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-09-08,PL1,Rio Ave,Guimaraes,1,1,D,1.89,3.55,3.92,1920,38,709,702,0.4963919198981248,0.2642762615795651,0.2393318185223101,2,0,0.065892710761926,2019.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
