Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,season,league_id,home_team_id,away_team_id,TotalGoals,GoalDifference,Year,Month,DayOfWeek,is_high_scoring_match,is_very_high_scoring
2020-02-29,USA1,Seattle Sounders,Los Angeles Galaxy,3,1,H,2021,44,9549,9547,4,2,2020.0,2.0,5.0,0,0
2020-02-29,USA1,Orlando City,New England Revolution,1,3,A,2021,44,9567,9560,4,-2,2020.0,2.0,5.0,0,0
2020-02-29,USA1,Columbus Crew,Nashville SC,2,0,H,2021,44,9570,9558,2,2,2020.0,2.0,5.0,0,0
2020-02-29,USA1,Seattle Sounders,FC Dallas,1,0,H,2021,44,9549,9563,1,1,2020.0,2.0,5.0,0,0
2020-02-29,USA1,Sporting Kansas City,Minnesota United FC,0,3,A,2021,44,9562,9550,3,-3,2020.0,2.0,5.0,0,0
2020-02-29,USA1,Columbus Crew,New England Revolution,1,0,H,2021,44,9570,9560,1,1,2020.0,2.0,5.0,0,0
2020-02-29,USA1,Seattle Sounders,Minnesota United FC,3,2,H,2021,44,9549,9550,5,1,2020.0,2.0,5.0,0,0
2020-02-29,USA1,Columbus Crew,Seattle Sounders,3,0,H,2021,44,9570,9549,3,3,2020.0,2.0,5.0,0,0
2022-02-26,USA1,San Jose Earthquakes,Inter Miami CF,0,1,A,2223,44,9564,9556,1,-1,2022.0,2.0,5.0,0,0
2022-02-26,USA1,Vancouver Whitecaps,Houston Dynamo,2,1,H,2223,44,9559,9555,3,1,2022.0,2.0,5.0,0,0
2022-02-26,USA1,Atlanta United FC,Seattle Sounders,2,1,H,2223,44,9548,9549,3,1,2022.0,2.0,5.0,0,0
2022-02-26,USA1,Charlotte FC,Chicago Fire,2,3,A,2223,44,9569,9552,5,-1,2022.0,2.0,5.0,0,0
2022-02-26,USA1,CF Montréal,Inter Miami CF,2,2,D,2223,44,9553,9556,4,0,2022.0,2.0,5.0,0,0
2022-02-26,USA1,Columbus Crew,New York RB,3,2,H,2223,44,9570,9546,5,1,2022.0,2.0,5.0,0,0
2022-02-26,USA1,D.C. United,New York RB,0,0,D,2223,44,9566,9546,0,0,2022.0,2.0,5.0,0,0
2022-02-26,USA1,FC Cincinnati,Philadelphia Union,3,1,H,2223,44,9557,9554,4,2,2022.0,2.0,5.0,0,0
2022-02-26,USA1,Orlando City,New England Revolution,0,3,A,2223,44,9567,9560,3,-3,2022.0,2.0,5.0,0,0
2022-02-26,USA1,Nashville SC,Toronto FC,3,4,A,2223,44,9558,9561,7,-1,2022.0,2.0,5.0,0,0
2022-02-26,USA1,Sporting Kansas City,Los Angeles Galaxy,4,2,H,2223,44,9562,9547,6,2,2022.0,2.0,5.0,0,0
2022-02-26,USA1,Austin FC,San Jose Earthquakes,3,3,D,2223,44,9545,9564,6,0,2022.0,2.0,5.0,0,0
2022-02-26,USA1,Colorado Rapids,Minnesota United FC,4,3,H,2223,44,9568,9550,7,1,2022.0,2.0,5.0,0,0
2022-02-26,USA1,Real Salt Lake,Los Angeles Galaxy,1,4,A,2223,44,9565,9547,5,-3,2022.0,2.0,5.0,0,0
2022-02-26,USA1,Portland Timbers,FC Dallas,1,1,D,2223,44,9551,9563,2,0,2022.0,2.0,5.0,0,0
